raw	permuted
01110001010001100100110001100001110010110001	01100100001110000101100000111010101010110001
01110010110011101100101000000010111000010100	01000100011100110001000011110101111000100001
00101111101010111100011101000100011110001000	10001100010010101011110001111101010010001110
11111100010010001100010100011011100100010100	01010110000100011010000110011101101000111100
11100100010010001100011000001001001011010001	01010110100100101100000000011101010010110000
11110010010010000100010001010011111011011001	01010100100100100100110111111100101010110000
11100011001010101100010100111011100100010011	01010110000010000111000111011111100100111010
01110010001011110000010001011011101000010001	11000110000000100101100111001100101000110011
11110000010011101000110001011001101000000000	00010110001100100001100100001101101000110001
01000101001001110100010101111010100111110001	11100010100010001111100110011010100010101011
01100001011010111100001100101001100110001001	10000110000110000111010000010111110010111010
11111100010011101110011001001000001100001111	00010110000100111101110000011101011101101101
11110001011001000100010001010100011000010001	01011100000110100100100100111000001000100011
11111010010011110100001100011001101010001001	10010110000100100111010101010100111010110101
11101000010010101100011100000110111010000110	00011100000100110011000010111101110110100100
01100110110011110100011001001000111110000011	10000110010100101101100001111100110110101001
00111110011010011100011000001011100000000111	10000110000100011100000011011101111100010110
11100010010010000010010101001010100110010111	01010110000100010110100011001100100111101000
00101000011011111000011001001000101001010001	11000110100100100101100000001101110000000111
01111110011010110100011001001011101001000011	10000110100100101101100011011100111100110110
01100001011011100000001010001111101110110100	01101110000110110001001010000100110010111011
11101110001011110100001011011010101010011001	11010110000000101101111111010100110010100111
11110011011011000000011011110001101110010101	01010100000110110100101101001110111010111011
01111011010011101100011101100001111000100011	00100100000110100111100001111111111100110101
11110110011011110100110101110011100101100010	10110100101100001011100111011110101100111011
00101010011011001100010001101010001001000110	00000110100100110000100011011111000100000111
11010111101000001100011001101010101100000110	00010010010010111000100011011011111100101010
11011010101011101010010101111011000010010001	01010010010000000111100111001111001011110111
01100011110001100100011101000111111110001001	00001100010110100111110011111000110010111001
11100000101011010010010101011001101010010001	11010110010000100110100100001100100011110011
11100001111010001100011001000101100011011101	01011100110110010100110000011101110010110010
11110110011011011100011101101100100100110010	11111110000100001010100001011111111100101011
11011110010011100000001000000101100101000110	00011000100100011001000001000100111100111101
11111100010011101100011111000100100000011001	01011100000100001111111000011101111000100101
00010000010111111000011100001011111100000101	10000011000100110111000010101101111000011001
01010000011011111100011101101101100101010001	11001010100100000111100000011111111000111011
11110110010011111100011111011110111010101001	10111110000100101111111111111101111010100001
01111011111001000100011101001110111110110010	01101110010110100010100011111000111110101111
11111100010001101100011101100011100110001100	00010100000100011011110010011011111010111101
11010111001011101100001111100001101011010000	01010000100010101011101001010111111010110011
11100010111011101100011101100010100110110001	01110100010100000111100011011111110010101011
11110010010011101100111010111001100010011011	01010110001100000101011101011111111110110001
01100001011010101100011100010100011000000101	00001100000110110111000100111101010000100010
00111111110011111100010001001001100010011001	11000110010110001101110001011101101010010101
01100011011011100000111010010011110011011001	01000100101110000101011111101100110010110011
11111100000110110000011101100110101101000000	10011101100000101011100010001110111000101100
11100010111010100100111001100011000000000110	00010100011100010001100011011110010100110010
11000101011011100100110001111110101000001001	00011010001110101101110110011110100000100011
00101110011011111000010100110001110110001001	10000100000100001111010101101111100010011111
11100110001010101100000100011100001100011001	01011110000000101111010101010101000000101010
11100011010011110100010101110100001010111011	11111100000110100111110101011110000110100001
01100111100011110100000001100001100010000000	10000100010010001001100001010110100010110001
01101111011001111100010000111001111000011001	11000110000110101101010101111011100000110111
01010101001010110010110000010101101010110001	11101000001010101101000100001100101011110010
11110000011010101000010000011011100000000000	00010110000100000001000110001101101000110010
01110000010011110000110001111110101000001101	10001110001100110101110110001110101000100001
11100100010011010000110001011000011110001000	10010110001100101000110100101100000010101001
11100010010010111000110000010011101100000111	10010100001100110101000111001101100100111000
11101110010010100000011111101000100010000110	00010110000100011011101001001110110110100100
11101010001011101100010001000000100000001001	00010100000000000101110001011101100000100111
11100000111011100110011000001001000000001000	00010110010100000001010000011100010001110011
11000001011011101000111101111010100010000110	00010010001110010011100110001111110110100011
01111011010001011100111001001001101100000101	10000110001110110100100001011001111000111101
00110011011010100100010000010100001000010100	01001100000110110001000101011100001000000010
11110100010011101100101011100001101110110001	01110100001100101101101000010111111010111001
11000101010010101100110001000010001100010010	01010000001110101001100010011101000100101000
00111100010011101110000001001010101100011101	01000110000100111101110010010101101001001101
11100010101011111000110001111010101001110100	11110110111000110001100111001111100000100011
11100100101011011100011100001100100010010001	11011110010000001110000000011101110010100011
01110011111010001100110010110001101110000111	00000100011110110100001101011111101110111010
11111110010011101100010000110000101011110001	01110100100100101101000101011111101010100101
00100101110111111100011100001011101000101101	10100111010110111111010010011101110000010001
11111010101011011110011001100010100011010001	11010100110000000100100011011111111011100111
00100101010011101100110011111011101110101000	00100110001110101001111110011111100010011001
11100000010011111110100001011000111000000101	10010110001100110101100100110101100001100001
01000111001011001000100001000011100000000101	00000000001010011100100011000101100000110011
01110000010011111000011110000101100010010001	11001100000100000111001000001101111010110001
11010011011011100100011100001010100110010100	01010010000110010011000011011100111010101011
11111000010010001010011001101011000100000101	00010110000100010100100010001111011001111100
11110010011011110000111100000111100010001101	10011100001100010111010011001100111010110011
11100100010011001000010001011001101110010110	01010110000100111000100100001101100110111001
01110000010010100110011000100010101101010101	01000100100100110101000010011110111001101000
11010100001111011000011101101111011010010000	11011011000000101010100010101111011010110011
11111110011011001100010000101011100010000100	00010110000100011000000011011111101010110111
11001100001000101100011000001111100000010100	01011010000000011001000010011001110000110110
11110010110011110010010001010010100100000101	10010100010100010101100111001100101001101001
01000010001011100010011110001001000101001000	00000010100000000011011001001100010001111011
01111010101010101000010001101010101010101000	00100110010000100001110011001111101010100110
11100110010010101100010001011010100110111001	01110110000100001101110111011101100010101000
01100010110011111110010001110110101000000000	10001100010100100001100111011111100001100001
00111110010011011110011101100110111010010100	11001100000100111010100011111111111011000101
11110100001110111100110001001001100110010111	11010111001000011101100000011101101110111010
01100000110011000100011000101011110001100101	00100110110100010100000010111110110000110001
00010101001011100100000000111110001000010101	01001010000010111101000110010110001000000011
11110011011011101000010000001001100110011001	01010110000110000101010001001101101010111011
11100100111011110000011001001001001110000100	10010110010100111001100000001100010010111011
11011101001001001100110000110001101000000011	00010000001010101100000100011011101100110111
00110010001011000100010001111001101011011101	01000110100000110100110101011110101010010011
01100010010011010100010101110001101110011111	11000100000100110110110101011110100110111001
11110001010001100100011001100110100000110001	01111100000110000101100010011010111000100001
11010010001011111100011001100101101110110001	11111000000000100101100001011111111010111011
01100000111011110110011111111000101100000101	10000110010100110111101100011110110001101011
01101011100010110010010001011001101111110001	11100110110010100101100101001100100011111100
11010110010011101100011010001011000110010110	01010010000100011001001011011101011110111001
11011011001011101110001101011010100100010110	01010010000010010011100111010101111101101111
00110000111111100100011001000101101010000000	00001101010100100001100000011100111010010011
01110010010011111100010001011101111100000100	10001110000100110001100101111101101000111001
