raw	permuted
01111101101100101010011100000101111010101001100110100101	01101110111001100000100000001010011100101101010111111111
01111001101101101010001100000101111010101000100011100101	01101010011001100000110000100010011100101101010111110111
01111101111100100010001100000101111010101001100110100101	01101110111001100000100000001010011101101101010101110111
01111101101100101010001110000101111010001001100110100001	01101110101000100000101000001010011100101101010111110111
01111101101101101010001100000101111010101101100111100101	01111110111001100000110000101010011100101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100101010101100000101011010011001100110100101	01101110111100100000100000001010011100111101010111100111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100111010101100000101111010101001100110100101	01101110111111100000100000001010011100101101010111110111
01111101101100101010001100100101111010101001100110100101	01101110111001110000100000001010011100101101010111110111
01111101111100101000001110000101111010101001100110100101	01101110111001100000101000001010011101101001010111110111
01111101101100101010001100000101111010001001100110100101	01101110111000100000100000001010011100101101010111110111
01011101101100000011001100000101111010101000100110100101	01101010110001100000100000001011011100001101010101110111
01111101001100100010001100000101111010101001100110100101	01101110111001100000100000001000011100101101010101110111
11111101101100101010001100000101111010101001100110100101	01101110111001100100100000001010011100101101010111110111
01111101101100101011001100000101111010101001100010110101	01101110011001100000100000011011011100101101010111110111
01111101100100001010001100001101111010101001100111101101	01101110110001100001110100001010011100101101010111010111
00111001101100101010001100000101111000101001100110100101	01101110111001100000000000000010001100101101010111110111
01111101101100101010001100000101011010101001100110100101	01101110111001100000100000001010011100101101010111100111
01111101101100101010001100000101110011101001100110100101	11101110111001100000100000001010011100101101010111110110
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101100100101010000100000101111010111001100110100101	01101110111001100000100000001010011100111101010011010111
01111101101100101010001100000101010010101001100110100101	01101110111001100000100000001010011100101101010111100110
11111101101100111010001101000101111010101001100110100101	01101110111011100100100001001010011100101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01110101101100101010011100000101110010101001100110100101	01101110111001100000100000001010011100101101010110111110
01111101101100101010001100000101111000101001100110100101	01101110111001100000100000001010001100101101010111110111
01111001101100111010001100000101111010101001100110100101	01101110111011100000100000000010011100101101010111110111
01111101101100101110001100000101111010101001100110100101	01101110111001100000100000001010011100101111010111110111
01111101100100101010001100000101111010101101100110100101	01111110111001100000100000001010011100101101010111010111
01111101101100101010001100000101011000101101100110100101	01111110111001100000100000001010001100101101010111100111
01111101101100101010001100000101111010101001100110000101	01101110111001100000100000001010011100101101010111110101
01111101101100101010001100000001111010101001100110100001	00101110101001100000100000001010011100101101010111110111
01111101101100101010101100000001111010101001100110100001	00101110101101100000100000001010011100101101010111110111
01111101101100101010001100000111111010101001100110100101	01101110111001101000100000001010011100101101010111110111
01101001111100101010001100000101111010101001100110100101	01101110111001100000100000000010010101101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111001101100101010001100000101111010101001100110100101	01101110111001100000100000000010011100101101010111110111
01111101101100101010001100000101111010101001110110100101	01101111111001100000100000001010011100101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101111100101010001100000101101010101001100111111101	01100110111001100001110000011010011101101101010111110111
01111101101100101010001100000101111010100001100110100101	01101110111001100000100000001010011100101101010111110011
11111101101100101010001100000101111010101001100100100101	01001110111001100100100000001010011100101101010111110111
01111101101100101010001110000101101010101001100110100101	01100110111001100000101000001010011100101101010111110111
01111101100100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111010111
01111101101100100010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010101110111
11111101101100101010001100000101111010101001000010101101	01101110011001100101100000001010011100100101010111110111
01111111101100101010001000000101111010101001100110100101	01101110111001100000100000001010111100101101000111110111
01111101101100101000001100000101111011101001100110100100	11101110111001100000100000001010011000101001010111110111
01111101101100101010101110000101111010111001100110100101	01101110111101100000101000001010011100111101010111110111
01111101111100101010001100000101111000101001100110101101	01101110111001100001100000001010001101101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101000100101010001100000101111010101001100110100101	01101110111001100000100000001000011100101101010111010111
01111101101100101010001100000100111010101001100110100101	01101110111001100000100000001010011100101100010111110111
01111001101100111010001100000101111010101001101101100101	01001110111011100000110010000010011100101101010111110111
01011101001100101010001100000101101010101001100110100101	01100110111001100000100000001000011100001101010111110111
00111100111100101010011100000101111010101001100110000101	01101100111001100000000000001010011101101101010111111101
11111101101100101010001100000001111010101001100110100101	00101110111001100100100000001010011100101101010111110111
01111101101100101010001100000101111010101000100110100101	01101010111001100000100000001010011100101101010111110111
01111101101100101010001101000101111010101001000110100101	01101110111001100000100001001010011100100101010111110111
01111101101100101011001100000101111010001001100110100101	01101110111000100000100000001011011100101101010111110111
01111101101100101010001100000101111010101001100010100101	01101110011001100000100000001010011100101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101000101010001100000101111010101001100110100101	01101110111001000000100000001010011100101101010111110111
01111101101100101010001100000101111011101011100110100101	11101110111001100000100000001110011100101101010111110111
01110101101100101010001100000101111010101001100110100111	01101110111001100000100000001010011110101101010110110111
01111101101100101010001100000101111000101001100110100101	01101110111001100000100000001010001100101101010111110111
01111101001100101000011100000100111010101001100110100101	01101110111001100000100000001000011100101000010111111111
01111101101100101010001110000101111010101001100110100101	01101110111001100000101000001010011100101101010111110111
00111101101100101010001000000101111010101001100111100101	01101110111001100000010000001010011100101101000111110111
