time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,termination_reason,termination_detail,unswap_cycle,gates_consumed,total_work_gates,remaining_work_gates,abort_after_no_progress_unswap_cycles,hit_max_bond,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,rewire_wall_time_s,accounted_wall_time_s
1.3322788340155967,rewiring,left,initial,1.1745680829917546,1355,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5603948750067502,rewiring,right,initial,1.2278143340081442,1561,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6388388340128586,absorbing,,,,,,,L,1,0,1353,1559,0,0,0,11,0,0,0.03565766598330811,0.025305209012003615,0.06096287499531172,0.06150675000390038,224,512,1,4,False,False,False,False,224,1,False,4096,0.002,,224,0,total_elems,224,512,1,1,,,,0.0,1,4,224,334,222,56,,,,,,,,,,,,,,,,,,
2.6960876670200378,absorbing,,,,,,,R,1,1,1353,1559,0,0,0,12,0,0,0.027519374998519197,0.025043541012564674,0.05256291601108387,0.05315245798556134,520,512,4,4,False,False,False,False,512,4,False,4096,0.002,,224,0,total_elems,520,512,1,1,,,,0.0,4,4,512,406,222,56,,,,,,,,,,,,,,,,,,
2.7523123340215534,absorbing,,,,,,,L,2,1,1353,1559,1,0,1,11,1,1,0.026964374992530793,0.026800833002198488,0.05376520799472928,0.05432741699041799,844,1168,4,4,False,False,False,False,844,4,False,4096,0.002,,224,0,total_elems,844,1168,1,1,,,,0.0,4,4,844,450,222,56,,,,,,,,,,,,,,,,,,
2.8080656670208555,absorbing,,,,,,,R,2,2,1353,1559,1,1,2,10,1,2,0.026128916011657566,0.02719424999668263,0.053323166008340195,0.053897000005235896,1864,1456,16,4,False,False,False,False,1456,4,False,4096,0.002,,224,0,total_elems,1864,1456,1,1,,,,0.0,4,4,1456,504,222,56,,,,,,,,,,,,,,,,,,
2.8632417090120725,absorbing,,,,,,,L,3,2,1353,1559,1,1,2,14,0,2,0.026680041977670044,0.02604875000542961,0.052728791983099654,0.053333249990828335,2464,2732,16,16,False,False,False,False,2464,16,False,4096,0.002,,224,0,total_elems,2464,2732,1,1,,,,0.0,16,4,2464,576,222,56,,,,,,,,,,,,,,,,,,
2.920338875002926,absorbing,,,,,,,R,3,3,1353,1559,1,1,2,13,0,2,0.028325541003141552,0.026279957994120196,0.05460549899726175,0.055199333000928164,5280,4316,16,16,False,False,False,False,4316,16,False,4096,0.002,,224,0,total_elems,5280,4316,1,1,,,,0.0,16,4,4316,700,222,56,,,,,,,,,,,,,,,,,,
2.978198209020775,absorbing,,,,,,,R,3,4,1353,1559,1,1,2,13,0,2,0.027994291012873873,0.02737837500171736,0.05537266601459123,0.056003166013397276,10116,9464,16,16,False,False,False,False,9464,16,False,4096,0.002,,224,0,total_elems,10116,9464,1,1,,,,0.0,16,4,9464,844,222,56,,,,,,,,,,,,,,,,,,
3.041039458999876,absorbing,,,,,,,R,3,5,1353,1559,1,1,2,13,0,2,0.03223612500005402,0.028141082992078736,0.06037720799213275,0.06096624999190681,26420,13496,64,16,False,False,False,False,13496,16,False,4096,0.002,,224,0,total_elems,26420,13496,1,1,,,,0.0,16,4,13496,988,222,56,,,,,,,,,,,,,,,,,,
