time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s,termination_reason,termination_detail,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
1.5678987499995856,rewiring,left,initial,1.3049972910084762,1355,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9785475000098813,rewiring,right,initial,1.4103746659966419,1561,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.739637582999421,absorbing,,,,,,,L,1,0,1353,1559,0,0,0,11,0,0,1.7087616659991909,0.026606499988702126,1.735368165987893,1.7358759580092737,224,512,1,4,False,False,False,False,224,1,False,512,0.0006,128,224,0,total_elems,224,512,1,1,,,,0.0,1,4,224,334,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.7963432500109775,absorbing,,,,,,,R,1,1,1353,1559,0,0,0,12,0,0,0.027830374994664453,0.02521583299676422,0.05304620799142867,0.05362058398895897,520,512,4,4,False,False,False,False,512,4,False,512,0.0006,128,224,0,total_elems,520,512,1,1,,,,0.0,4,4,512,406,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.854205499999807,absorbing,,,,,,,L,2,1,1353,1559,1,0,1,11,1,1,0.02746899999328889,0.026643124991096556,0.054112124984385446,0.05463991699798498,844,1168,4,4,False,False,False,False,844,4,False,512,0.0006,128,224,0,total_elems,844,1168,1,1,,,,0.0,4,4,844,450,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.91199254100502,absorbing,,,,,,,R,2,2,1353,1559,1,1,2,10,1,2,0.026834457996301353,0.02706449999823235,0.0538989579945337,0.05443079100223258,1864,1456,16,4,False,False,False,False,1456,4,False,512,0.0006,128,224,0,total_elems,1864,1456,1,1,,,,0.0,4,4,1456,504,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.969498083009967,absorbing,,,,,,,L,3,2,1353,1559,1,1,2,14,0,2,0.026867749998928048,0.026630209002178162,0.05349795900110621,0.05401487500057556,2464,2732,16,16,False,False,False,False,2464,16,False,512,0.0006,128,224,0,total_elems,2464,2732,1,1,,,,0.0,16,4,2464,576,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.028650874999585,absorbing,,,,,,,R,3,3,1353,1559,1,1,2,13,0,2,0.028829167000367306,0.026431000005686656,0.05526016700605396,0.05580662499414757,5280,4316,16,16,False,False,False,False,4316,16,False,512,0.0006,128,224,0,total_elems,5280,4316,1,1,,,,0.0,16,4,4316,700,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.092942875009612,absorbing,,,,,,,R,3,4,1353,1559,1,1,2,13,0,2,0.030865749999065883,0.029185499995946884,0.06005124999501277,0.06076637501246296,10116,9464,16,16,False,False,False,False,9464,16,False,512,0.0006,128,224,0,total_elems,10116,9464,1,1,,,,0.0,16,4,9464,844,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.162885416008066,absorbing,,,,,,,R,3,5,1353,1559,1,1,2,13,0,2,0.034830417003831826,0.030155125001328997,0.06498554200516082,0.06559729200671427,26420,13496,64,16,False,False,False,False,13496,16,False,512,0.0006,128,224,0,total_elems,26420,13496,1,1,,,,0.0,16,4,13496,988,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
