2026-08-25 06:00:08,900 [INFO] loaded /Users/monitsharma/code_projects/qat/tracker/data/classically-verifiable-problems/circuit-models/peaked_circuit/peaked_circuit_P9_Hqap_56x1917.qasm: qubits=56 ops={'u': 3890, 'rzz': 1917}
2026-08-25 06:00:08,905 [INFO] Pass: Collect2qBlocks - 2.71988 (ms)
2026-08-25 06:00:08,915 [INFO] Pass: ConsolidateBlocks - 9.58109 (ms)
2026-08-25 06:00:08,915 [INFO] after two-qubit block consolidation: ops={'unitary': 1885}
2026-08-25 06:00:08,935 [INFO] environment: python=3.10.16 qiskit=1.4.5 quimb=1.11.2 numpy=2.2.6 scipy=1.15.3 machine=arm64
2026-08-25 06:00:09,087 [INFO] Total unitaries: 1885 = 942 (left) + 943 (right)
2026-08-25 06:00:09,087 [INFO] Rewiring with SabreSwap(trials=90, heuristic='decay', seed=123)
2026-08-25 06:00:09,087 [INFO] No-progress fail-fast guardrail enabled: abort after 40 consecutive zero-work unswap cycle(s)
2026-08-25 06:00:09,087 [INFO] [start rewire](phase=initial, side=left, layers=59, trials=90, seed=123, parallel=False)
2026-08-25 06:00:10,334 [INFO] [end rewire](phase=initial, side=left, routed_layers=1355, elapsed_s=1.25)
2026-08-25 06:00:10,334 [INFO] [start rewire](phase=initial, side=right, layers=58, trials=90, seed=123, parallel=False)
2026-08-25 06:00:11,615 [INFO] [end rewire](phase=initial, side=right, routed_layers=1561, elapsed_s=1.28)
2026-08-25 06:00:11,633 [INFO] [start compressing] -> {'max_bond': 1, 'max_links': 4, 'total_elems': 224, 'total_shapes': 334, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:11,694 [INFO] [1L/1353](swap: 11, u: 0 | c_u: 0 | t_u_l: 0/942 | t_u_r: 0/943 | t_u: 0/1885) -> {'max_bond': 1, 'max_links': 4, 'total_elems': 224, 'total_shapes': 334, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:11,750 [INFO] [1R/1559](swap: 12, u: 0 | c_u: 0 | t_u_l: 0/942 | t_u_r: 0/943 | t_u: 0/1885) -> {'max_bond': 4, 'max_links': 4, 'total_elems': 512, 'total_shapes': 406, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:11,807 [INFO] [2L/1353](swap: 11, u: 1 | c_u: 1 | t_u_l: 1/942 | t_u_r: 0/943 | t_u: 1/1885) -> {'max_bond': 4, 'max_links': 4, 'total_elems': 844, 'total_shapes': 450, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:11,864 [INFO] [2R/1559](swap: 10, u: 1 | c_u: 2 | t_u_l: 1/942 | t_u_r: 1/943 | t_u: 2/1885) -> {'max_bond': 4, 'max_links': 4, 'total_elems': 1456, 'total_shapes': 504, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:11,920 [INFO] [3L/1353](swap: 14, u: 0 | c_u: 2 | t_u_l: 1/942 | t_u_r: 1/943 | t_u: 2/1885) -> {'max_bond': 16, 'max_links': 4, 'total_elems': 2464, 'total_shapes': 576, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:11,979 [INFO] [3R/1559](swap: 13, u: 0 | c_u: 2 | t_u_l: 1/942 | t_u_r: 1/943 | t_u: 2/1885) -> {'max_bond': 16, 'max_links': 4, 'total_elems': 4316, 'total_shapes': 700, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:12,040 [INFO] [4R/1559](swap: 13, u: 0 | c_u: 2 | t_u_l: 1/942 | t_u_r: 1/943 | t_u: 2/1885) -> {'max_bond': 16, 'max_links': 4, 'total_elems': 9464, 'total_shapes': 844, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:12,105 [INFO] [5R/1559](swap: 13, u: 0 | c_u: 2 | t_u_l: 1/942 | t_u_r: 1/943 | t_u: 2/1885) -> {'max_bond': 16, 'max_links': 4, 'total_elems': 13496, 'total_shapes': 988, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:12,172 [INFO] [6R/1559](swap: 12, u: 0 | c_u: 2 | t_u_l: 1/942 | t_u_r: 1/943 | t_u: 2/1885) -> {'max_bond': 16, 'max_links': 4, 'total_elems': 17516, 'total_shapes': 1102, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:12,243 [INFO] [4L/1353](swap: 14, u: 1 | c_u: 3 | t_u_l: 2/942 | t_u_r: 1/943 | t_u: 3/1885) -> {'max_bond': 64, 'max_links': 4, 'total_elems': 33200, 'total_shapes': 1360, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:12,331 [INFO] [7R/1559](swap: 12, u: 0 | c_u: 3 | t_u_l: 2/942 | t_u_r: 1/943 | t_u: 3/1885) -> {'max_bond': 64, 'max_links': 4, 'total_elems': 50120, 'total_shapes': 1666, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:12,441 [INFO] [8R/1559](swap: 10, u: 1 | c_u: 4 | t_u_l: 2/942 | t_u_r: 2/943 | t_u: 4/1885) -> {'max_bond': 64, 'max_links': 4, 'total_elems': 85444, 'total_shapes': 1968, 'total_links': 222, 'num_tensors': 56}
2026-08-25 06:00:12,606 [INFO] [5L/1353](swap: 13, u: 1 | c_u: 5 | t_u_l: 3/942 | t_u_r: 2/943 | t_u: 5/1885) -> {'max_bond': 64, 'max_links': 4, 'total_elems': 124352, 'total_shapes': 2254, 'total_links': 222, 'num_tensors': 56}
