time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,rewire_side,rewire_phase,rewire_time_s,sabre_trials,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s
3.859735542006092,absorbing,L,1,0,2365,2264,0,0,0,19,0,0,0.03772212500916794,0.032764417002908885,0.07048654201207682,0.071088291995693,392,736,1,4,False,False,False,False,392,1,False,512,0.002,,392,0,total_elems,392,736,1,1,,,,0.0,1,4,392,586,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.928641417005565,absorbing,R,1,1,2365,2264,0,1,1,14,1,1,0.03233383400947787,0.032395125017501414,0.06472895902697928,0.0653981659852434,848,736,4,4,False,False,False,False,736,4,False,512,0.002,,392,0,total_elems,848,736,1,1,,,,0.0,4,4,736,672,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.996644124999875,absorbing,L,2,1,2365,2264,0,1,1,21,0,1,0.03259129199432209,0.03235854199738242,0.06494983399170451,0.06564383298973553,1288,1756,4,4,False,False,False,False,1288,4,False,512,0.002,,392,0,total_elems,1288,1756,1,1,,,,0.0,4,4,1288,774,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.067286834004335,absorbing,R,2,2,2365,2264,0,1,1,15,0,1,0.03507583399186842,0.032673792011337355,0.06774962600320578,0.06843324998044409,2840,2164,8,4,False,False,False,False,2164,4,False,512,0.002,,392,0,total_elems,2840,2164,1,1,,,,0.0,4,4,2164,846,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.137422083993442,absorbing,R,2,3,2365,2264,0,1,1,15,0,1,0.034754541993606836,0.032448750018374994,0.06720329201198183,0.06788058401434682,4556,3596,16,16,False,False,False,False,3596,16,False,512,0.002,,392,0,total_elems,4556,3596,1,1,,,,0.0,16,4,3596,946,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.207755999988876,absorbing,R,2,4,2365,2264,0,1,1,16,0,1,0.03469737499835901,0.0326323329936713,0.06732970799203031,0.06802095798775554,6540,6488,16,16,False,False,False,False,6488,16,False,512,0.002,,392,0,total_elems,6540,6488,1,1,,,,0.0,16,4,6488,1066,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.278762625006493,absorbing,L,3,4,2365,2264,2,1,3,20,2,3,0.03496212500613183,0.03310862500802614,0.06807075001415797,0.0687449170218315,10044,11744,16,16,False,False,False,False,10044,16,False,512,0.002,,392,0,total_elems,10044,11744,1,1,,,,0.0,16,4,10044,1292,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.350542375002988,absorbing,R,3,5,2365,2264,2,1,3,16,0,3,0.03460762501345016,0.034193625004263595,0.06880125001771376,0.06949100000201724,18156,17040,16,16,False,False,False,False,17040,16,False,512,0.002,,392,0,total_elems,18156,17040,1,1,,,,0.0,16,4,17040,1520,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.42500149999978,absorbing,R,3,6,2365,2264,2,1,3,15,0,3,0.03608300001360476,0.03543908300343901,0.07152208301704377,0.07226587500190362,32064,30852,64,64,False,False,False,False,30852,64,False,512,0.002,,392,0,total_elems,32064,30852,1,1,,,,0.0,64,4,30852,1826,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.516413749981439,absorbing,L,4,6,2365,2264,2,1,3,20,0,3,0.04519954198622145,0.04321941698435694,0.08841895897057839,0.08916224999120459,55836,64736,64,64,False,False,False,False,55836,64,False,512,0.002,,392,0,total_elems,55836,64736,1,1,,,,0.0,64,4,55836,2276,390,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
