time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s,termination_reason,termination_detail,stall_mode,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.8244007079920266,rewiring,left,initial,0.7305938749923371,1355,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5313400419981917,rewiring,right,initial,0.7067742920044111,1561,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.587775124993641,absorbing,,,,,,,L,1,0,1353,1559,0,0,0,11,0,0,0.02455287499469705,0.01885437499731779,0.04340724999201484,0.04374829100561328,224,512,1,4,False,False,False,False,224,1,False,512,0.0006,128,224,0,total_elems,224,512,1,1,,,,0.0,1,4,224,334,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6294482499943115,absorbing,,,,,,,R,1,1,1353,1559,0,0,0,12,0,0,0.02052824999555014,0.01840845799597446,0.0389367079915246,0.039305999991483986,520,512,4,4,False,False,False,False,512,4,False,512,0.0006,128,224,0,total_elems,520,512,1,1,,,,0.0,4,4,512,406,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6718237919994863,absorbing,,,,,,,L,2,1,1353,1559,1,0,1,11,1,1,0.020155791004071943,0.01949145800608676,0.0396472490101587,0.040006875002291054,844,1168,4,4,False,False,False,False,844,4,False,512,0.0006,128,224,0,total_elems,844,1168,1,1,,,,0.0,4,4,844,450,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7136913329886738,absorbing,,,,,,,R,2,2,1353,1559,1,1,2,10,1,2,0.01944491598987952,0.01978712499840185,0.03923204098828137,0.03959575000044424,1864,1456,16,4,False,False,False,False,1456,4,False,512,0.0006,128,224,0,total_elems,1864,1456,1,1,,,,0.0,4,4,1456,504,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8602497079991736,absorbing,,,,,,,L,3,2,1353,1559,1,1,2,14,0,2,0.01920979199348949,0.12462204199982807,0.14383183399331756,0.14419745800842065,2464,2732,16,16,False,False,False,False,2464,16,False,512,0.0006,128,224,0,total_elems,2464,2732,1,1,,,,0.0,16,4,2464,576,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9032449579972308,absorbing,,,,,,,R,3,3,1353,1559,1,1,2,13,0,2,0.020881832999293692,0.01945237499603536,0.04033420799532905,0.04069387500931043,5280,4316,16,16,False,False,False,False,4316,16,False,512,0.0006,128,224,0,total_elems,5280,4316,1,1,,,,0.0,16,4,4316,700,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9477197919914033,absorbing,,,,,,,R,3,4,1353,1559,1,1,2,13,0,2,0.02124458299658727,0.020642916002543643,0.04188749899913091,0.04224945799796842,10116,9464,16,16,False,False,False,False,9464,16,False,512,0.0006,128,224,0,total_elems,10116,9464,1,1,,,,0.0,16,4,9464,844,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9967062499927124,absorbing,,,,,,,R,3,5,1353,1559,1,1,2,13,0,2,0.024818165999022312,0.02144695799506735,0.04626512399408966,0.04664004199730698,26420,13496,64,16,False,False,False,False,13496,16,False,512,0.0006,128,224,0,total_elems,26420,13496,1,1,,,,0.0,16,4,13496,988,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.047126457997365,absorbing,,,,,,,R,3,6,1353,1559,1,1,2,12,0,2,0.025412874994799495,0.02199095800460782,0.047403832999407314,0.04777933300647419,29108,17516,64,16,False,False,False,False,17516,16,False,512,0.0006,128,224,0,total_elems,29108,17516,1,1,,,,0.0,16,4,17516,1102,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.101978249993408,absorbing,,,,,,,L,4,6,1353,1559,2,1,3,14,1,3,0.02691716598928906,0.02467895799782127,0.05159612398711033,0.051963124991743825,33200,36008,64,64,False,False,False,False,33200,64,False,512,0.0006,128,224,0,total_elems,33200,36008,1,1,,,,0.0,64,4,33200,1360,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1707052499987185,absorbing,,,,,,,R,4,7,1353,1559,2,1,3,12,0,3,0.0366702090104809,0.029052875004708767,0.06572308401518967,0.06609812499664258,62508,50120,64,64,False,False,False,False,50120,64,False,512,0.0006,128,224,0,total_elems,62508,50120,1,1,,,,0.0,64,4,50120,1666,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.255639999988489,absorbing,,,,,,,R,4,8,1353,1559,2,2,4,10,1,4,0.04613400000380352,0.035720332991331816,0.08185433299513534,0.08224141600658186,87492,85444,64,64,False,False,False,False,85444,64,False,512,0.0006,128,224,0,total_elems,87492,85444,1,1,,,,0.0,64,4,85444,1968,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3861631249892525,absorbing,,,,,,,L,5,8,1353,1559,3,2,5,13,1,5,0.06005437498970423,0.06741245799639728,0.1274668329861015,0.12786858399340417,124352,225600,64,256,False,False,False,False,124352,64,False,512,0.0006,128,224,0,total_elems,124352,225600,1,1,,,,0.0,64,4,124352,2254,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5502287919953233,absorbing,,,,,,,L,6,8,1353,1559,4,2,6,8,1,6,0.08290312498866115,0.07775237500027288,0.16065549998893403,0.16107045799435582,154672,271712,128,256,False,False,False,False,154672,128,False,512,0.0006,128,224,0,total_elems,154672,271712,1,1,,,,0.0,128,4,154672,2488,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7544360419997247,absorbing,,,,,,,R,6,9,1353,1559,4,3,7,9,1,7,0.1312164999981178,0.06980416701117065,0.20102066700928845,0.20145149999007117,357472,230320,256,128,False,False,False,False,230320,128,False,512,0.0006,128,224,0,total_elems,357472,230320,1,1,,,,0.0,128,4,230320,2992,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7792419170000358,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,4,287264,3076,222,56,0,both,0,28,28,6,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.307396042000619,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,125696,2206,222,56,0,both,1,27,27,16,22,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.39380879199598,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,125696,2206,222,56,0,left,0,28,28,0,22,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.57066445799137,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,195840,2536,222,56,0,left,1,27,27,1,23,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.781842917000176,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,101964,1882,222,56,0,right,0,28,28,15,38,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.885807832994033,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,73208,1494,222,56,0,right,1,27,27,10,48,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.027834707987495,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,1,both,0,28,28,4,4,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.113473166988115,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,1,both,1,27,27,0,4,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.141819166994537,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,1,left,0,28,28,0,4,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.169875541992951,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,1,left,1,27,27,0,4,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.223503707995405,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,1,right,0,28,28,0,4,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.281211416993756,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,1,right,1,27,27,0,4,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.362880291999318,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,2,both,0,28,28,0,0,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.448609207989648,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,2,both,1,27,27,0,0,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.476973249998991,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,71756,1438,222,56,2,left,0,28,28,0,0,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
