raw	permuted
01111101101100101010001100000101111010101011100110100101	01101110111001100000100000001110011100101101010111110111
01111101101100101010001100000111111010101001100110100101	01101110111001101000100000001010011100101101010111110111
11111101101100101010001110000001111010100001100110100101	00101110111001100100101000001010011100101101010111110011
01111101111100101110001100000101111010101001110110100111	01101111111001100000100000001010011111101111010111110111
01111101101100001011001000000101111011101001100111100001	11101110100001100000110000001011011100101101000111110111
00111001111100101010001100000101111010101001100110100101	01101110111001100000000000000010011101101101010111110111
01111101101101101010001100000101111110101001100110100101	01101110111001100000100000101010011100101101011111110111
01111101101100101010001100000101111010111001100110100101	01101110111001100000100000001010011100111101010111110111
01111111101100101010001000000101111010000101100110100101	01111110111000100000100000001010111100101101000111110011
01101101101101101010001100000101111010101001100110100101	01101110111001100000100000101010010100101101010111110111
01111101101100100010001110000101111011101001100110100101	11101110111001100000101000001010011100101101010101110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100101010001100000101111010101001100111100101	01101110111001100000110000001010011100101101010111110111
00101101101100111010001100001101111010101001100110100101	01101110111011100000000100001010010100101101010111110111
01111101101100101010001100000101111010101011100110100101	01101110111001100000100000001110011100101101010111110111
01111101101100001010001100000101111010101001100110100101	01101110110001100000100000001010011100101101010111110111
01111101101100101010001000000101111010101001100110100101	01101110111001100000100000001010011100101101000111110111
01111110100100101010001100000101101010111001100110110100	01100100111001100000100000011010111000111101010111010111
01111101101100100010001100000101111010101001100010100101	01101110011001100000100000001010011100101101010101110111
01111101101100101010101100000101111010101001110110100101	01101111111101100000100000001010011100101101010111110111
01111101101100101010001100000101111010101001101110100101	01101110111001100000100010001010011100101101010111110111
11111101101100101010001100000101111010101001100110100101	01101110111001100100100000001010011100101101010111110111
01111111101100101010001100000101111010101001100110101101	01101110111001100001100000001010111100101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101100100101010001100000101111010100001100110100101	01101110111001100000100000001010011100101101010111010011
01111101101100101010001100000100111010101001100110100101	01101110111001100000100000001010011100101100010111110111
01101101101100101011101100000101110010101001100110100101	01101110111101100000100000001011010100101101010111110110
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100101010001101100101110010101001100110100101	01101110111001110000100001001010011100101101010111110110
01111101101100100010101100000101111010101000100110100101	01101010111101100000100000001010011100101101010101110111
01111101101100101010001100000110111010101001101110100101	01101110111001101000100010001010011100101100010111110111
10111101101100101010001100000101111110101001101110100101	01101110111001100100000010001010011100101101011111110111
00111101101100101010011100000101111010101001100110100101	01101110111001100000000000001010011100101101010111111111
01111101101100101010001100000101010010101001100110100101	01101110111001100000100000001010011100101101010111100110
01111101100100100010001100000101111010101101100110100101	01111110111001100000100000001010011100101101010101010111
01111101101100101010001000000101111010101011100110100001	01101110101001100000100000001110011100101101000111110111
01111101101000101010001100000111111110101001100111100101	01101110111001001000110000001010011100101101011111110111
01111111101100101010001100010001011010101001100110100101	00101110111001100010100000001010111100101101010111100111
01111101101100101010001100000101111010101001100010100101	01101110011001100000100000001010011100101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100101010001101000101111010101001100110100101	01101110111001100000100001001010011100101101010111110111
01111101101100111010001100000101111010101001101110100101	01101110111011100000100010001010011100101101010111110111
01111101101100101110001100000101111010101001100110100101	01101110111001100000100000001010011100101111010111110111
01111101101100101010001100000101111010101001000101100101	01001110111001100000110000001010011100100101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100101110001100000101111010101001100110100101	01101110111001100000100000001010011100101111010111110111
01111101101100001010001100000101111010101001100110101101	01101110110001100001100000001010011100101101010111110111
11111101101100101010000000010101111010101001100110100101	01101110111001100110100000001010011100101101000011110111
01111101101100101010001101000101111010001011100110100001	01101110101000100000100001001110011100101101010111110111
01111101101100101010001100000101110010101001100110100101	01101110111001100000100000001010011100101101010111110110
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111100101010101010001100000101111110101001100110000111	01101100111001000000100000001010011110101101111111110101
01111101101100101010001100000101111010101001100010100101	01101110011001100000100000001010011100101101010111110111
01111111101100111010001100000100111010101001100110100101	01101110111011100000100000001010111100101100010111110111
01111101101100101010001101000111111010101001100110100101	01101110111001101000100001001010011100101101010111110111
01111101101100101010001100000101111010101001100111100101	01101110111001100000110000001010011100101101010111110111
01111100101100101010001001000101111010101001100110100101	01101100111001100000100001001010011100101101000111110111
01111101101000101010001100100001111010101001110110100101	00101111111001010000100000001010011100101101010111110111
01111101101100101010001100000101011010101001000110100101	01101110111001100000100000001010011100100101010111100111
01111101101100101010001101000101111010101001100101000101	01001110111001100000110001001010011100101101010111110101
01111101101100101010010100000101110010101001100110100101	01101110111001100000100000001010011100101101010011111110
01111101101101101010001100000101111010101010100110100101	01101010111001100000100000101110011100101101010111110111
01111011101100101010001100000101111010001001100110100101	01101110111000100000100000000010111100101101010111110111
01111101101110101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101110111110111
01111101101000001010101100000101111010101001101110100101	01101110110101000000100010001010011100101101010111110111
01111101101100101010001100000101111010101001100110100111	01101110111001100000100000001010011110101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100101010001100000101101010101001100110100101	01100110111001100000100000001010011100101101010111110111
01111101101100101010001100000101111011101001101010100101	11101110011001100000100010001010011100101101010111110111
01111101101100101010001101100101111010101001100110110101	01101110111001110000100001011010011100101101010111110111
01111101001100001010001100000101111010101001100110100101	01101110110001100000100000001000011100101101010111110111
01111100101100101010001100000101111110101001100101100101	01001100111001100000110000001010011100101101011111110111
01111101101100101010001100000101111010101001100100100101	01001110111001100000100000001010011100101101010111110111
01110101101110101010001100100101111010101001100100100101	01001110111001110000100000001010011100101101110110110111
01111101101100111010001100000101111010101001101110000001	01101110101011100000100010001010011100101101010111110101
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
11111101001100101010001100000101111010101001100010100101	01101110011001100100100000001000011100101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100011010001100000101111010101001100110100101	01101110110011100000100000001010011100101101010111110111
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101101100101010001100001101111010101000100110100101	01101010111001100000100100001010011100101101010111110111
00111101101100101010001100000101110010101001110110100101	01101111111001100000000000001010011100101101010111110110
01111001101100101010101100010101111010101001100110100101	01101110111101100010100000000010011100101101010111110111
01111101101100101010001100000101111010001001100110100101	01101110111000100000100000001010011100101101010111110111
01111101101100101010001100000101111010100001100110100101	01101110111001100000100000001010011100101101010111110011
01111101101100101010001100000101111010101001100110100101	01101110111001100000100000001010011100101101010111110111
01111101111100101010011000000101111110101001101110100101	01101110111001100000100010001010011101101101001111111111
01111101101000101010001100000100111010101001100110100101	01101110111001000000100000001010011100101100010111110111
01111101101100111010011101000101111010101001000110100100	01101110111011100000100001001010011000100101010111111111
01111101001100111010001100001101111010101001000110100101	01101110111011100000100100001000011100100101010111110111
