time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s,termination_reason,termination_detail,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
1.3952427499898477,rewiring,left,initial,1.245066041010432,1355,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7528299580008024,rewiring,right,initial,1.3572154169960413,1561,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.832154666990391,absorbing,,,,,,,L,1,0,1353,1559,0,0,0,11,0,0,0.03403516700200271,0.025849416997516528,0.059884583999519236,0.06037612499494571,224,512,1,4,False,False,False,False,224,1,False,512,0.0006,128,224,0,total_elems,224,512,1,1,,,,0.0,1,4,224,334,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8899575419927714,absorbing,,,,,,,R,1,1,1353,1559,0,0,0,12,0,0,0.027969665999989957,0.025172583002131432,0.05314224900212139,0.053719292001915164,520,512,4,4,False,False,False,False,512,4,False,512,0.0006,128,224,0,total_elems,520,512,1,1,,,,0.0,4,4,512,406,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9464702080003917,absorbing,,,,,,,L,2,1,1353,1559,1,0,1,11,1,1,0.027346625007339753,0.02666408399818465,0.054010709005524404,0.0545604170038132,844,1168,4,4,False,False,False,False,844,4,False,512,0.0006,128,224,0,total_elems,844,1168,1,1,,,,0.0,4,4,844,450,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.002766666992102,absorbing,,,,,,,R,2,2,1353,1559,1,1,2,10,1,2,0.026557834004051983,0.027229832994635217,0.0537876669986872,0.05433341700700112,1864,1456,16,4,False,False,False,False,1456,4,False,512,0.0006,128,224,0,total_elems,1864,1456,1,1,,,,0.0,4,4,1456,504,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0576484999910463,absorbing,,,,,,,L,3,2,1353,1559,1,1,2,14,0,2,0.026672958003473468,0.02576487499754876,0.05243783300102223,0.052959832988562994,2464,2732,16,16,False,False,False,False,2464,16,False,512,0.0006,128,224,0,total_elems,2464,2732,1,1,,,,0.0,16,4,2464,576,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.114446791994851,absorbing,,,,,,,R,3,3,1353,1559,1,1,2,13,0,2,0.02831987499666866,0.026052125002024695,0.054371999998693354,0.0549045830121031,5280,4316,16,16,False,False,False,False,4316,16,False,512,0.0006,128,224,0,total_elems,5280,4316,1,1,,,,0.0,16,4,4316,700,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.173082458000863,absorbing,,,,,,,R,3,4,1353,1559,1,1,2,13,0,2,0.0286903749947669,0.027520207993802615,0.05621058298856951,0.05673845800629351,10116,9464,16,16,False,False,False,False,9464,16,False,512,0.0006,128,224,0,total_elems,10116,9464,1,1,,,,0.0,16,4,9464,844,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2366987080022227,absorbing,,,,,,,R,3,5,1353,1559,1,1,2,13,0,2,0.032343624989152886,0.02882379200309515,0.061167416992248036,0.061712499998975545,26420,13496,64,16,False,False,False,False,13496,16,False,512,0.0006,128,224,0,total_elems,26420,13496,1,1,,,,0.0,16,4,13496,988,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3012894169951323,absorbing,,,,,,,R,3,6,1353,1559,1,1,2,12,0,2,0.03347874998871703,0.028681374998996034,0.06216012498771306,0.0627044169959845,29108,17516,64,16,False,False,False,False,17516,16,False,512,0.0006,128,224,0,total_elems,29108,17516,1,1,,,,0.0,16,4,17516,1102,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.371060582998325,absorbing,,,,,,,L,4,6,1353,1559,2,1,3,14,1,3,0.03509900000062771,0.032157499997993,0.06725649999862071,0.0678366669890238,33200,36008,64,64,False,False,False,False,33200,64,False,512,0.0006,128,224,0,total_elems,33200,36008,1,1,,,,0.0,64,4,33200,1360,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4584328749915585,absorbing,,,,,,,R,4,7,1353,1559,2,1,3,12,0,3,0.047619749995647,0.03726187499705702,0.08488162499270402,0.0854439579998143,62508,50120,64,64,False,False,False,False,50120,64,False,512,0.0006,128,224,0,total_elems,62508,50120,1,1,,,,0.0,64,4,50120,1666,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5662212079914752,absorbing,,,,,,,R,4,8,1353,1559,2,2,4,10,1,4,0.058982665999792516,0.04626787499000784,0.10525054098980036,0.10582962499756832,87492,85444,64,64,False,False,False,False,85444,64,False,512,0.0006,128,224,0,total_elems,87492,85444,1,1,,,,0.0,64,4,85444,1968,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.729691707994789,absorbing,,,,,,,L,5,8,1353,1559,3,2,5,13,1,5,0.07670854100433644,0.08443474999512546,0.1611432909994619,0.16172079100215342,124352,225600,64,256,False,False,False,False,124352,64,False,512,0.0006,128,224,0,total_elems,124352,225600,1,1,,,,0.0,64,4,124352,2254,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.936520916991867,absorbing,,,,,,,L,6,8,1353,1559,4,2,6,8,1,6,0.10559175000526011,0.09883370800525881,0.20442545801051892,0.20503512500727084,154672,271712,128,256,False,False,False,False,154672,128,False,512,0.0006,128,224,0,total_elems,154672,271712,1,1,,,,0.0,128,4,154672,2488,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.197171249994426,absorbing,,,,,,,R,6,9,1353,1559,4,3,7,9,1,7,0.16906333299994003,0.08921758299402427,0.2582809159939643,0.2588961669971468,357472,230320,256,128,False,False,False,False,230320,128,False,512,0.0006,128,224,0,total_elems,357472,230320,1,1,,,,0.0,128,4,230320,2992,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.563264874988818,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,4,360032,3340,222,56,0,both,0,28,28,3,3,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.481522332993336,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,192960,2464,222,56,0,both,1,27,27,11,14,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.750488374993438,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,189156,2364,222,56,0,left,0,28,28,8,22,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.106421958000283,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,129196,2044,222,56,0,left,1,27,27,10,32,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.306459542000084,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,59812,1390,222,56,0,right,0,28,28,10,42,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.410501374994055,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,40364,1202,222,56,0,right,1,27,27,6,48,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.586785999999847,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,22856,1036,222,56,1,both,0,28,28,7,7,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.715561249991879,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,11060,794,222,56,1,both,1,27,27,10,17,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.772311458000331,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,9908,748,222,56,1,left,0,28,28,5,22,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.828788999991957,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,9824,738,222,56,1,left,1,27,27,2,24,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.88515895800083,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,9668,720,222,56,1,right,0,28,28,3,27,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.940813124994747,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,9608,714,222,56,1,right,1,27,27,1,28,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.047588791989256,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,4184,586,222,56,2,both,0,28,28,9,9,,,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.139969333002227,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1520,464,222,56,2,both,1,27,27,8,17,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.189117417001398,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1256,446,222,56,2,left,0,28,28,2,19,,,,,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.238666042001569,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,1072,432,222,56,2,left,1,27,27,2,21,,,,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.287711749988375,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,760,408,222,56,2,right,0,28,28,3,24,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.335822916997131,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,640,396,222,56,2,right,1,27,27,2,26,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.419864582989248,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,508,382,222,56,3,both,0,28,28,3,3,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.50510066699644,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,460,374,222,56,3,both,1,27,27,4,7,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.524985750002088,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,460,374,222,56,3,left,0,28,28,0,7,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.572673582995776,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,396,364,222,56,3,left,1,27,27,2,9,,,,,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.619135582994204,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,372,360,222,56,3,right,0,28,28,1,10,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.639195124997059,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,372,360,222,56,3,right,1,27,27,0,10,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.722882166999625,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,4,both,0,28,28,3,3,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.760075375001179,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,4,both,1,27,27,0,3,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.779976707999595,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,4,left,0,28,28,0,3,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.799508625001181,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,4,left,1,27,27,0,3,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.819328291996499,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,4,right,0,28,28,0,3,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.838722166998195,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,4,right,1,27,27,0,3,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.876333082997007,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,5,both,0,28,28,0,0,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.913436292001279,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,5,both,1,27,27,0,0,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.933196207988658,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,5,left,0,28,28,0,0,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.952761541993823,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,5,left,1,27,27,0,0,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.97241866699187,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,5,right,0,28,28,0,0,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.991966874993523,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,336,354,222,56,5,right,1,27,27,0,0,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.993353582991404,unswap_cycle_summary,,,,,,,,,,,,4,3,7,,,,,,,,,,,,,,,,,,,512,0.0006,,,,,,,,,,,,,4,4,336,354,222,56,,,,,,,,,,,,,,,,,,,,1,5.405605124993599,7,1885,1878,7,False,,,,,,,,,,,,,,,,,,,,,
11.262020832989947,rewiring,left,post_unswap,1.2679916250053793,1349,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,20,False,7,1,none,0.0,123,1.2679833750007674,2.7858683329977794,,,,,,,,,,,,
