start,stop,wires,status,accepted,old_two_qubit,new_two_qubit,fidelity,permutation,reason
3208,3215,"(11, 22)",verified_no_improvement,False,2,2,1.0,"(11, 22)",exact replacement does not reduce 2q count
2550,2556,"(15, 38)",verified_no_improvement,False,2,2,1.0,"(15, 38)",exact replacement does not reduce 2q count
3308,3315,"(30, 35)",verified_no_improvement,False,2,2,0.9999999999999999,"(30, 35)",exact replacement does not reduce 2q count
3315,3321,"(6, 36)",verified_no_improvement,False,2,2,1.0,"(6, 36)",exact replacement does not reduce 2q count
2372,2379,"(40, 44)",verified_no_improvement,False,2,2,1.0,"(40, 44)",exact replacement does not reduce 2q count
2297,2304,"(2, 51)",verified_no_improvement,False,2,2,0.9999999999999998,"(2, 51)",exact replacement does not reduce 2q count
3612,3619,"(38, 47)",verified_no_improvement,False,2,2,1.0,"(38, 47)",exact replacement does not reduce 2q count
3708,3714,"(19, 32)",verified_no_improvement,False,2,2,1.0,"(19, 32)",exact replacement does not reduce 2q count
2092,2099,"(1, 4)",verified_no_improvement,False,2,2,1.0,"(1, 4)",exact replacement does not reduce 2q count
3775,3782,"(15, 25)",verified_no_improvement,False,2,2,0.9999999999999999,"(15, 25)",exact replacement does not reduce 2q count
1992,1999,"(14, 29)",verified_no_improvement,False,2,2,0.9999999999999998,"(14, 29)",exact replacement does not reduce 2q count
3829,3834,"(12, 37)",verified_no_improvement,False,2,2,1.0,"(12, 37)",exact replacement does not reduce 2q count
1946,1953,"(22, 49)",verified_no_improvement,False,2,2,1.0000000000000004,"(22, 49)",exact replacement does not reduce 2q count
1934,1941,"(11, 39)",verified_no_improvement,False,2,2,1.0000000000000004,"(11, 39)",exact replacement does not reduce 2q count
1844,1850,"(14, 42)",verified_no_improvement,False,2,2,1.0,"(14, 42)",exact replacement does not reduce 2q count
3972,3978,"(28, 37)",verified_no_improvement,False,2,2,0.9999999999999999,"(28, 37)",exact replacement does not reduce 2q count
1690,1696,"(0, 55)",verified_no_improvement,False,2,2,1.0000000000000004,"(0, 55)",exact replacement does not reduce 2q count
4250,4257,"(34, 35)",verified_no_improvement,False,2,2,1.0,"(34, 35)",exact replacement does not reduce 2q count
4267,4273,"(26, 49)",verified_no_improvement,False,2,2,1.0,"(26, 49)",exact replacement does not reduce 2q count
1520,1527,"(20, 47)",verified_no_improvement,False,2,2,1.0000000000000002,"(20, 47)",exact replacement does not reduce 2q count
4494,4499,"(18, 43)",verified_no_improvement,False,2,2,1.0,"(18, 43)",exact replacement does not reduce 2q count
4550,4556,"(6, 24)",verified_no_improvement,False,2,2,1.0,"(6, 24)",exact replacement does not reduce 2q count
1159,1166,"(44, 46)",verified_no_improvement,False,2,2,0.9999999999999998,"(44, 46)",exact replacement does not reduce 2q count
4953,4960,"(8, 46)",verified_no_improvement,False,2,2,0.9999999999999999,"(8, 46)",exact replacement does not reduce 2q count
5023,5030,"(1, 13)",verified_no_improvement,False,2,2,1.0,"(1, 13)",exact replacement does not reduce 2q count
726,732,"(1, 54)",verified_no_improvement,False,2,2,1.0,"(1, 54)",exact replacement does not reduce 2q count
643,650,"(5, 19)",verified_no_improvement,False,2,2,0.9999999999999998,"(5, 19)",exact replacement does not reduce 2q count
5236,5243,"(19, 34)",verified_no_improvement,False,2,2,0.9999999999999998,"(19, 34)",exact replacement does not reduce 2q count
453,460,"(23, 24)",verified_no_improvement,False,2,2,1.0,"(23, 24)",exact replacement does not reduce 2q count
5737,5742,"(37, 53)",verified_no_improvement,False,2,2,1.0000000000000004,"(37, 53)",exact replacement does not reduce 2q count
41,48,"(14, 16)",verified_no_improvement,False,2,2,0.9999999999999999,"(14, 16)",exact replacement does not reduce 2q count
