logical_qubit,runs,fraction_vote_1,consensus,predicted_bit,true_bit_p9,stable_across_completed_D
0,3,0.0,1.0,0,0,True
1,3,0.3333333333333333,0.6666666666666666,0,1,False
2,3,0.6666666666666666,0.6666666666666666,1,1,False
3,3,1.0,1.0,1,0,True
4,3,0.6666666666666666,0.6666666666666666,1,1,False
5,3,0.6666666666666666,0.6666666666666666,1,1,False
6,3,0.6666666666666666,0.6666666666666666,1,1,False
7,3,0.6666666666666666,0.6666666666666666,1,0,False
8,3,0.3333333333333333,0.6666666666666666,0,1,False
9,3,0.6666666666666666,0.6666666666666666,1,1,False
10,3,0.6666666666666666,0.6666666666666666,1,1,False
11,3,0.3333333333333333,0.6666666666666666,0,0,False
12,3,0.6666666666666666,0.6666666666666666,1,0,False
13,3,0.6666666666666666,0.6666666666666666,1,1,False
14,3,0.3333333333333333,0.6666666666666666,0,1,False
15,3,0.3333333333333333,0.6666666666666666,0,0,False
16,3,0.3333333333333333,0.6666666666666666,0,0,False
17,3,0.3333333333333333,0.6666666666666666,0,0,False
18,3,0.3333333333333333,0.6666666666666666,0,0,False
19,3,0.3333333333333333,0.6666666666666666,0,0,False
20,3,0.6666666666666666,0.6666666666666666,1,1,False
21,3,0.3333333333333333,0.6666666666666666,0,0,False
22,3,0.3333333333333333,0.6666666666666666,0,0,False
23,3,0.0,1.0,0,0,True
24,3,0.6666666666666666,0.6666666666666666,1,0,False
25,3,0.6666666666666666,0.6666666666666666,1,0,False
26,3,0.0,1.0,0,0,True
27,3,1.0,1.0,1,0,True
28,3,0.3333333333333333,0.6666666666666666,0,1,False
29,3,0.0,1.0,0,0,True
30,3,0.3333333333333333,0.6666666666666666,0,1,False
31,3,0.6666666666666666,0.6666666666666666,1,0,False
32,3,0.0,1.0,0,0,True
33,3,0.3333333333333333,0.6666666666666666,0,1,False
34,3,1.0,1.0,1,1,True
35,3,0.0,1.0,0,1,True
36,3,0.3333333333333333,0.6666666666666666,0,0,False
37,3,0.3333333333333333,0.6666666666666666,0,0,False
38,3,0.6666666666666666,0.6666666666666666,1,1,False
39,3,0.6666666666666666,0.6666666666666666,1,0,False
40,3,1.0,1.0,1,1,True
41,3,0.0,1.0,0,1,True
42,3,0.3333333333333333,0.6666666666666666,0,0,False
43,3,1.0,1.0,1,1,True
44,3,0.3333333333333333,0.6666666666666666,0,0,False
45,3,0.6666666666666666,0.6666666666666666,1,1,False
46,3,0.6666666666666666,0.6666666666666666,1,0,False
47,3,0.3333333333333333,0.6666666666666666,0,1,False
48,3,0.0,1.0,0,1,True
49,3,0.6666666666666666,0.6666666666666666,1,1,False
50,3,0.3333333333333333,0.6666666666666666,0,1,False
51,3,0.0,1.0,0,1,True
52,3,0.0,1.0,0,0,True
53,3,1.0,1.0,1,1,True
54,3,0.0,1.0,0,1,True
55,3,0.3333333333333333,0.6666666666666666,0,1,False
