index,p5,p4,majority5,majority4,agreement,bias5,bias4,bootstrap_stability5,bootstrap_stability4,confidence_interval5,confidence_interval4
0,0.604,0.555,1,1,True,0.10399999999999998,0.05500000000000005,1.0,1.0,"[0.5733454840711704, 0.6338585501638342]","[0.5240461066241248, 0.5855329499424643]"
1,0.472,0.888,0,1,False,0.028000000000000025,0.388,0.967,1.0,"[0.44122510067058457, 0.5029891978046065]","[0.8669499763240903, 0.906080459091119]"
2,0.734,0.613,1,1,True,0.23399999999999999,0.11299999999999999,1.0,1.0,"[0.7057558002431918, 0.7604532767855683]","[0.5824343266729659, 0.6427008259092986]"
3,0.562,0.589,1,1,True,0.062000000000000055,0.08899999999999997,1.0,1.0,"[0.5310701383860444, 0.5924553435617469]","[0.5582210567913957, 0.6190977801981754]"
4,0.358,0.405,0,0,True,0.14200000000000002,0.09499999999999997,1.0,1.0,"[0.328881603627749, 0.3882051957821486]","[0.37499439177359234, 0.43573269233866313]"
5,0.69,0.427,1,0,False,0.18999999999999995,0.07300000000000001,1.0,1.0,"[0.6606534768407168, 0.7178923549347722]","[0.3966791104990976, 0.4578795962397934]"
6,0.745,0.699,1,1,True,0.245,0.19899999999999995,1.0,1.0,"[0.7170834253930005, 0.7710414629490774]","[0.6698531605689392, 0.7266237895538098]"
7,0.761,0.244,1,0,False,0.261,0.256,1.0,1.0,"[0.7336003718062974, 0.7864020602642429]","[0.2183928321652609, 0.2715664681793434]"
8,0.237,0.474,0,0,True,0.263,0.026000000000000023,1.0,0.9445,"[0.21168136426041648, 0.2643315107029855]","[0.4432107820528304, 0.5049882093884185]"
9,0.542,0.394,1,0,False,0.04200000000000004,0.10599999999999998,0.9955,1.0,"[0.5110177730722398, 0.5726607792149736]","[0.3641755734830001, 0.4246356993159376]"
10,0.361,0.333,0,0,True,0.139,0.16699999999999998,1.0,1.0,"[0.3318160018268193, 0.391247837032165]","[0.3044779033483562, 0.3628002339858192]"
11,0.674,0.275,1,0,False,0.17400000000000004,0.22499999999999998,1.0,1.0,"[0.6443294194831642, 0.7023388685638626]","[0.24822587402252644, 0.30349616729597334]"
12,0.445,0.542,0,1,False,0.05499999999999999,0.04200000000000004,0.9995,0.993,"[0.41446705005753576, 0.4759538933758753]","[0.5110177730722398, 0.5726607792149736]"
13,0.003,0.996,0,1,False,0.497,0.496,1.0,1.0,"[0.0010207838811386186, 0.008783014053503173]","[0.9897604437227377, 0.9984434118595916]"
14,0.495,0.212,0,0,True,0.0050000000000000044,0.28800000000000003,0.6355,1.0,"[0.4640902748007247, 0.525947992784131]","[0.1877940523073313, 0.2384101605803485]"
15,0.488,0.479,0,0,True,0.01200000000000001,0.02100000000000002,0.7915,0.9125,"[0.4571243966097442, 0.5189674455939091]","[0.4481771504618109, 0.5099835733945823]"
16,0.641,0.577,1,1,True,0.14100000000000001,0.07699999999999996,1.0,1.0,"[0.6107804510612619, 0.6701404030458117]","[0.546142492951032, 0.6072681862421924]"
17,0.343,0.547,0,1,False,0.15699999999999997,0.04700000000000004,1.0,0.9975,"[0.3142286235426158, 0.3729729786218485]","[0.5160261711771321, 0.5776141135252257]"
18,0.748,0.507,1,1,True,0.248,0.007000000000000006,1.0,0.6595,"[0.720176639029259, 0.7739252887619057]","[0.47604583278568624, 0.537900592595516]"
19,0.421,0.683,0,1,False,0.07900000000000001,0.18300000000000005,1.0,1.0,"[0.39075893140651674, 0.4518456964342009]","[0.6535068964204829, 0.7110925099738041]"
20,0.557,0.936,1,1,True,0.05700000000000005,0.43600000000000005,1.0,1.0,"[0.5260523439907523, 0.5875114055418946]","[0.9190992674988255, 0.9495637991017706]"
21,0.592,0.231,1,0,False,0.09199999999999997,0.269,1.0,1.0,"[0.5612435983142355, 0.6220522781244223]","[0.20593646391387108, 0.2581223321513576]"
22,0.271,0.607,0,1,False,0.22899999999999998,0.10699999999999998,1.0,1.0,"[0.2443667197375407, 0.2993859356488436]","[0.5763739069246411, 0.63680716675945]"
23,0.461,0.481,0,0,True,0.03899999999999998,0.019000000000000017,0.9935,0.8815,"[0.4303127166140634, 0.49198577054780995]","[0.4501645630755934, 0.5119808537468576]"
24,0.419,0.147,0,0,True,0.08100000000000002,0.353,1.0,1.0,"[0.3887865610288496, 0.4498333738458103]","[0.12640395855176664, 0.1702977329390353]"
25,0.658,0.439,1,0,False,0.15800000000000003,0.061,1.0,0.9995,"[0.6280436431236505, 0.6867471011949142]","[0.4085331921433528, 0.4699336723918849]"
26,0.31,0.323,0,0,True,0.19,0.177,1.0,1.0,"[0.28210764506522773, 0.3393465231592832]","[0.2947418927752481, 0.35261277972863847]"
27,0.364,0.653,0,1,False,0.136,0.15300000000000002,1.0,1.0,"[0.33475165091277503, 0.3942892273952959]","[0.6229619706570872, 0.681867041246333]"
28,0.529,0.715,1,1,True,0.029000000000000026,0.21499999999999997,0.971,1.0,"[0.49801049370900147, 0.5597675542988364]","[0.6862402708362823, 0.7421142230149289]"
29,0.423,0.622,0,1,False,0.07700000000000001,0.122,1.0,1.0,"[0.3927318137578076, 0.4538575070489678]","[0.5915339669665516, 0.651532303962973]"
30,0.349,0.454,0,0,True,0.15100000000000002,0.045999999999999985,1.0,0.9985,"[0.3200859840139804, 0.3790696970486572]","[0.4233763038248614, 0.48497575795580966]"
31,0.641,0.968,1,1,True,0.14100000000000001,0.46799999999999997,1.0,1.0,"[0.6107804510612619, 0.6701404030458117]","[0.9551752619162314, 0.9772428921412891]"
32,0.605,0.436,1,0,False,0.10499999999999998,0.064,1.0,1.0,"[0.5743548264576065, 0.634841554260427]","[0.4055679635294317, 0.46692186155671933]"
33,0.51,0.958,1,1,True,0.010000000000000009,0.45799999999999996,0.7215,1.0,"[0.47903749580454597, 0.5408859690257428]","[0.9437155747733968, 0.9687791144538346]"
34,0.588,0.37,1,0,False,0.08799999999999997,0.13,1.0,1.0,"[0.5572138017865, 0.6181126887200421]","[0.3406266753339855, 0.4003682818722588]"
35,0.468,0.152,0,0,True,0.03199999999999997,0.348,0.973,1.0,"[0.43725522419222734, 0.4989896883508483]","[0.13108250256297901, 0.17558092134296735]"
36,0.094,0.405,0,0,True,0.406,0.09499999999999997,1.0,1.0,"[0.07743417357376373, 0.11367315431650704]","[0.37499439177359234, 0.43573269233866313]"
37,0.736,0.113,1,0,False,0.236,0.387,1.0,1.0,"[0.7078137382308571, 0.7623800317639609]","[0.09484035831643467, 0.13412155275138501]"
38,0.888,0.168,1,0,False,0.388,0.33199999999999996,1.0,1.0,"[0.8669499763240903, 0.906080459091119]","[0.14610794675394784, 0.19243302088046083]"
39,0.406,0.609,0,1,False,0.09399999999999997,0.10899999999999999,1.0,1.0,"[0.37597870513494724, 0.43674072546033715]","[0.5783935161547875, 0.6387722504953615]"
