run,family,cycle,side,layer,new,total
ms1,P11,0,both,0,1,1
ms1,P11,0,both,1,1,2
ms1,P11,0,left,0,1,3
ms1,P11,0,left,1,1,4
ms1,P11,0,right,0,1,5
ms1,P11,0,right,1,1,6
ms1,P11,1,both,0,1,1
ms1,P11,1,both,1,1,2
ms1,P11,1,left,0,1,3
ms1,P11,1,left,1,1,4
ms1,P11,1,right,0,1,5
ms1,P11,1,right,1,1,6
ms1,P11,2,both,0,1,1
ms1,P11,2,both,1,1,2
ms1,P11,2,left,0,1,3
ms1,P11,2,left,1,1,4
ms1,P11,2,right,0,1,5
ms1,P11,2,right,1,1,6
ms1,P11,3,both,0,1,1
ms1,P11,3,both,1,1,2
ms1,P11,3,left,0,1,3
ms1,P11,3,left,1,1,4
ms1,P11,3,right,0,1,5
ms1,P11,3,right,1,1,6
ms1,P11,4,both,0,1,1
ms1,P11,4,both,1,1,2
ms1,P11,4,left,0,1,3
ms1,P11,4,left,1,1,4
ms1,P11,4,right,0,1,5
ms1,P11,4,right,1,1,6
ms1,P11,5,both,0,1,1
ms1,P11,5,both,1,1,2
ms1,P11,5,left,0,1,3
ms1,P11,5,left,1,1,4
ms1,P11,5,right,0,1,5
ms1,P11,5,right,1,1,6
ms1,P11,6,both,0,1,1
ms1,P11,6,both,1,1,2
ms1,P11,6,left,0,1,3
ms1,P11,6,left,1,1,4
ms1,P11,6,right,0,1,5
ms1,P11,6,right,1,1,6
ms1,P11,7,both,0,1,1
ms1,P11,7,both,1,1,2
ms1,P11,7,left,0,1,3
ms1,P11,7,left,1,1,4
ms1,P11,7,right,0,1,5
ms1,P11,7,right,1,1,6
ms1,P11,8,both,0,1,1
ms1,P11,8,both,1,1,2
ms1,P11,8,left,0,1,3
ms1,P11,8,left,1,1,4
ms1,P11,8,right,0,1,5
ms1,P11,8,right,1,1,6
ms1,P11,9,both,0,1,1
ms1,P11,9,both,1,1,2
ms1,P11,9,left,0,1,3
ms1,P11,9,left,1,1,4
ms1,P11,9,right,0,1,5
ms1,P11,9,right,1,1,6
ms1,P11,10,both,0,1,1
ms1,P11,10,both,1,1,2
ms1,P11,10,left,0,1,3
ms1,P11,10,left,1,1,4
ms1,P11,10,right,0,1,5
ms1,P11,10,right,1,1,6
ms1,P11,11,both,0,1,1
ms1,P11,11,both,1,1,2
ms1,P11,11,left,0,1,3
ms1,P11,11,left,1,1,4
ms1,P11,11,right,0,1,5
ms1,P11,11,right,1,1,6
ms1,P11,12,both,0,1,1
ms1,P11,12,both,1,1,2
ms1,P11,12,left,0,1,3
ms1,P11,12,left,1,1,4
ms1,P11,12,right,0,1,5
ms1,P11,12,right,1,1,6
ms1,P11,13,both,0,1,1
ms1,P11,13,both,1,1,2
ms1,P11,13,left,0,1,3
ms1,P11,13,left,1,1,4
ms1,P11,13,right,0,1,5
ms1,P11,13,right,1,1,6
ms1,P11,14,both,0,1,1
ms1,P11,14,both,1,1,2
ms1,P11,14,left,0,1,3
ms1,P11,14,left,1,1,4
ms1,P11,14,right,0,1,5
ms1,P11,14,right,1,1,6
ms1,P11,15,both,0,1,1
ms1,P11,15,both,1,1,2
ms1,P11,15,left,0,1,3
ms1,P11,15,left,1,1,4
ms1,P11,15,right,0,0,4
ms1,P11,15,right,1,1,5
ms1,P11,16,both,0,1,1
ms1,P11,16,both,1,1,2
ms1,P11,16,left,0,0,2
ms1,P11,16,left,1,1,3
ms1,P11,16,right,0,1,4
ms1,P11,16,right,1,1,5
ms1,P11,17,both,0,1,1
ms1,P11,17,both,1,1,2
ms1,P11,17,left,0,0,2
ms1,P11,17,left,1,1,3
ms1,P11,17,right,0,1,4
ms1,P11,17,right,1,1,5
ms1,P11,18,both,0,1,1
ms1,P11,18,both,1,1,2
ms1,P11,18,left,0,0,2
ms1,P11,18,left,1,1,3
ms1,P11,18,right,0,1,4
ms1,P11,18,right,1,1,5
ms1,P11,19,both,0,1,1
ms1,P11,19,both,1,1,2
ms1,P11,19,left,0,1,3
ms1,P11,19,left,1,1,4
ms1,P11,19,right,0,1,5
ms1,P11,19,right,1,1,6
ms1,P11,0,both,0,1,1
ms1,P11,0,both,1,1,2
ms1,P11,0,left,0,0,2
ms1,P11,0,left,1,1,3
ms1,P11,0,right,0,1,4
ms1,P11,0,right,1,1,5
ms1,P11,1,both,0,1,1
ms1,P11,1,both,1,1,2
ms1,P11,1,left,0,1,3
ms1,P11,1,left,1,1,4
ms1,P11,1,right,0,1,5
ms1,P11,1,right,1,1,6
ms1,P11,2,both,0,1,1
ms1,P11,2,both,1,1,2
ms1,P11,2,left,0,0,2
ms1,P11,2,left,1,1,3
ms1,P11,2,right,0,0,3
ms1,P11,2,right,1,1,4
ms1,P11,3,both,0,1,1
ms1,P11,3,both,1,1,2
ms1,P11,3,left,0,1,3
ms1,P11,3,left,1,1,4
ms1,P11,3,right,0,1,5
ms1,P11,3,right,1,1,6
ms1,P11,4,both,0,1,1
ms1,P11,4,both,1,1,2
ms1,P11,4,left,0,1,3
ms1,P11,4,left,1,1,4
ms1,P11,4,right,0,1,5
ms1,P11,4,right,1,1,6
ms1,P11,5,both,0,1,1
ms1,P11,5,both,1,1,2
ms1,P11,5,left,0,1,3
ms1,P11,5,left,1,1,4
ms1,P11,5,right,0,0,4
ms1,P11,5,right,1,1,5
ms1,P11,6,both,0,1,1
ms1,P11,6,both,1,1,2
ms1,P11,6,left,0,1,3
ms1,P11,6,left,1,1,4
ms1,P11,6,right,0,1,5
ms1,P11,6,right,1,0,5
ms1,P11,7,both,0,1,1
ms1,P11,7,both,1,1,2
ms1,P11,7,left,0,1,3
ms1,P11,7,left,1,1,4
ms1,P11,7,right,0,1,5
ms1,P11,7,right,1,0,5
ms1,P11,8,both,0,0,0
ms1,P11,8,both,1,0,0
ms1,P11,8,left,0,1,1
ms1,P11,8,left,1,0,1
ms1,P11,8,right,0,0,1
ms1,P11,8,right,1,0,1
ms1,P11,9,both,0,0,0
ms1,P11,9,both,1,1,1
ms1,P11,9,left,0,0,1
ms1,P11,9,left,1,0,1
ms1,P11,9,right,0,0,1
ms1,P11,9,right,1,0,1
ms1,P11,10,both,0,1,1
ms1,P11,10,both,1,1,2
ms1,P11,10,left,0,0,2
ms1,P11,10,left,1,0,2
ms1,P11,10,right,0,0,2
ms1,P11,10,right,1,0,2
ms1,P11,11,both,0,1,1
ms1,P11,11,both,1,0,1
ms1,P11,11,left,0,0,1
ms1,P11,11,left,1,0,1
ms1,P11,11,right,0,0,1
ms1,P11,11,right,1,1,2
ms1,P11,12,both,0,1,1
ms1,P11,12,both,1,0,1
ms1,P11,12,left,0,0,1
ms1,P11,12,left,1,0,1
ms1,P11,12,right,0,0,1
ms1,P11,12,right,1,1,2
ms1,P11,13,both,0,0,0
ms1,P11,13,both,1,0,0
ms1,P11,13,left,0,0,0
ms1,P11,13,left,1,0,0
ms1,P11,13,right,0,0,0
ms1,P11,13,right,1,0,0
ms1,P11,0,both,0,1,1
ms1,P11,0,both,1,1,2
ms1,P11,0,left,0,1,3
ms1,P11,0,left,1,1,4
ms1,P11,0,right,0,1,5
ms1,P11,0,right,1,1,6
ms1,P11,1,both,0,1,1
ms1,P11,1,both,1,1,2
ms1,P11,1,left,0,1,3
ms1,P11,1,left,1,1,4
ms1,P11,1,right,0,1,5
ms1,P11,1,right,1,1,6
ms1,P11,2,both,0,1,1
ms1,P11,2,both,1,1,2
ms1,P11,2,left,0,1,3
ms1,P11,2,left,1,1,4
ms1,P11,2,right,0,1,5
ms1,P11,2,right,1,1,6
ms1,P11,3,both,0,1,1
ms1,P11,3,both,1,1,2
ms1,P11,3,left,0,1,3
ms1,P11,3,left,1,1,4
ms1,P11,3,right,0,1,5
ms1,P11,3,right,1,1,6
ms1,P11,4,both,0,1,1
ms1,P11,4,both,1,1,2
ms1,P11,4,left,0,1,3
ms1,P11,4,left,1,1,4
ms1,P11,4,right,0,1,5
ms1,P11,4,right,1,1,6
ms1,P11,5,both,0,1,1
ms1,P11,5,both,1,1,2
ms1,P11,5,left,0,1,3
ms1,P11,5,left,1,1,4
ms1,P11,5,right,0,1,5
ms1,P11,5,right,1,1,6
ms1,P11,6,both,0,1,1
ms1,P11,6,both,1,1,2
ms1,P11,6,left,0,1,3
ms1,P11,6,left,1,1,4
ms1,P11,6,right,0,1,5
ms1,P11,6,right,1,1,6
ms1,P11,7,both,0,1,1
ms1,P11,7,both,1,1,2
ms1,P11,7,left,0,1,3
ms1,P11,7,left,1,1,4
ms1,P11,7,right,0,1,5
ms1,P11,7,right,1,1,6
ms1,P11,8,both,0,1,1
ms1,P11,8,both,1,1,2
ms1,P11,8,left,0,1,3
ms1,P11,8,left,1,1,4
ms1,P11,8,right,0,1,5
ms1,P11,8,right,1,1,6
ms1,P11,9,both,0,1,1
ms1,P11,9,both,1,1,2
ms1,P11,9,left,0,1,3
ms1,P11,9,left,1,1,4
ms1,P11,9,right,0,1,5
ms1,P11,9,right,1,1,6
ms1,P11,10,both,0,1,1
ms1,P11,10,both,1,1,2
ms1,P11,10,left,0,1,3
ms1,P11,10,left,1,1,4
ms1,P11,10,right,0,1,5
ms1,P11,10,right,1,1,6
ms1,P11,11,both,0,1,1
ms1,P11,11,both,1,1,2
ms1,P11,11,left,0,1,3
ms1,P11,11,left,1,1,4
ms1,P11,11,right,0,1,5
ms1,P11,11,right,1,1,6
ms1,P11,12,both,0,1,1
ms1,P11,12,both,1,0,1
ms1,P11,12,left,0,1,2
ms1,P11,12,left,1,0,2
ms1,P11,12,right,0,1,3
ms1,P11,12,right,1,1,4
ms1,P11,13,both,0,1,1
ms1,P11,13,both,1,1,2
ms1,P11,13,left,0,1,3
ms1,P11,13,left,1,0,3
ms1,P11,13,right,0,1,4
ms1,P11,13,right,1,1,5
ms1,P11,14,both,0,1,1
ms1,P11,14,both,1,1,2
ms1,P11,14,left,0,1,3
ms1,P11,14,left,1,1,4
ms1,P11,14,right,0,1,5
ms1,P11,14,right,1,1,6
ms1,P11,15,both,0,1,1
ms1,P11,15,both,1,1,2
ms1,P11,15,left,0,1,3
ms1,P11,15,left,1,1,4
ms1,P11,15,right,0,1,5
