raw	permuted
11000100111001001001101111100011100101010011	11111010001010100101111011111000000001100011
11000101010001001011111001100111010101101101	10111111111110100001111010111101000000000100
01010100111001001011010110100011100110010001	11110000001000100101010011111111010001000011
01010010111001001011011110101011100101011000	11100000000110101101110011111101010011000011
00010010101011001111011110100000100101001011	11110000000111010101100011010101010011100001
01010100111001001011011110111101100101001011	11110000001110101101110011011101010001110101
01010001111001001011011100100011000101001011	11110000100110100101110011111101010000100000
01010111111001111011101101101011100010010011	11111010101010101101010011101011110011101010
01100100111001001001001111100001100101001111	11110010011110100111110011011000000001100001
10110011111001001011101111100011100001101111	11111011110110100111111011100001010011100001
01010100111001001111011110100011011101001011	11110100001111100101110011111101011000100001
01010100111001001011111101100011111010100000	11101111001010100101010011101111011001000000
00000010111001000011011110100011100101011010	11100000000110100100110011110101000011100011
01011100111001001111011010100011000101001011	11110000001111100101110110111101010000100001
01110101111001001011011110100011111010100010	11100101101010100111010011101111011001100001
00010100111001001011011000100011100001110101	11110001011010100101110010100101010001000010
10110100111000101011111001000011000101101011	11011011001110100111111000110101110000100000
01010100101110100011111110100011100101001011	11011000001110110100100011111101110101100001
01010100111001001011011110110001100101001011	11110000001110100101110011011101010001110001
01100100111000101011011000100011100101011011	11010000001110100111110010111101100001100010
01010100111001001011011110100011000001110011	11110001001010100101110011101101010000100011
00111100111001001111011100100011100101010010	11100000001011100111110111110101010001100010
10011100111101001111000011100011100101100001	11110011001001100101111110110001010101000001
01010100111001111011011110100011110101001011	11110100001110100101110011111101110001101001
10101011111001001011001010101111100101001010	11100000100110101111111110110001000011100101
01010100111001001011011000100011101001001011	11110000001110100101110010101101011001100000
11011100111001010001111101110011111101001011	11111110001110100100111111111100011001111000
01010100111001001011011110100011110111000011	11110100001010100101110011111111010001100001
01000100111001001001100000100011000101001011	11111000001100100101110010111000000000100000
11101111111001001011011110100011100101010010	11100000101010100111111111111101000011100011
10101010111010001011011110010011110101101011	11010101000110110111111101110101000011110001
01010100011001001011111111100011010101101111	10111111011110100101110011111101010000100001
01010100101011001011111110101101100110011111	11111000011110111101000011011111010001100111
01010100111000011011101100100011101101001011	11011000001110100101110011111001011001101000
01010100111001001011101111101011111101001011	11111110001110101101110011111001011001100001
01010010111001001011011011100011100001110000	11100011000010100101110010101101010011000011
01010010111001001011011110100001100101001011	11110000000110100101110011011101010011100001
01010100101011001011000001100011000101101000	11100011001100110101100010111001010000000000
11010010111010101011011000100011000101001011	11010000000110110101111010111101110010100000
01000100110001001011011110100001100101001011	11110000001110100001110011011101000001100001
01010100111001001011011110100011100101101000	11100001001110100101110011111101010001000001
01010101000101001011011110100001100110010011	10110000101010100001000011011111010101100011
10100111111001001011011110100010000001001011	11110000101110000111111011100101000010100001
01010100111001001101111111100011100101001101	11111010011111100101110011111100010001000001
01010100110001001111011110100011000101001011	11110000001111100001110011111101010000100001
11000100111010101011011110100011100001001111	11010000011110110101111011101101100001100001
01010100111001001011000001100011000101001011	11110010001100100101110010111001010000100000
01001100110101001111011000100001100101001011	11110000001111100001110110011101000101100000
01111100101011001001010000101011000101111001	11110001001100111111100110111100010000000010
01010100011001001011010111100011000101001111	10110010011100100101110011111101010000100001
01010100011010101011011100100011011001001000	10000100001110110101110011101101111000000000
01010101111001001001011000101111100101001011	11110000101110101101110010111100010001100100
01100100111000011101111011101101000110111011	11011011001111101111010010011110000000101111
11001100111001001011011110100011110101011001	11110100001110100101111111111101000001000011
01010100101010001011011110100011100001111010	11000001001110110101100011101101010001100011
01010100111010101011011010100111000001011101	11010000011110110101110010101101110000000111
01010100111000101011011111100011000001101000	11000011001110100101110011101101110000000001
01010111111001110011011110100011100101001011	11110000101110100100110011111101110011101001
01010100111001001011011100100000010000001011	11110100001110000101010011001101010000100000
01010011111010101111011010100001000100001011	11010000100111110101010010011101110010100001
01010100111011101011101111110010100100101000	11101011001110010101010011111001110001010001
01010100111000011011011110100011000010110010	11000001001010100101010011101111010000101011
01010100111001001001111001000011100010100001	11111011001010100101010000101110010001000000
01010100111011000011101111100011100001101111	11111011011110110100110011101001010001100001
01110100111001001001011110100111100101010001	11110000001010100111110011111100010001000111
00001001111001001011001110100011100101010111	11110000110010100101110111110001000001100011
01010100111001001011011010100000100110000011	11110000001010000101010010011111010001100001
01010100111010011010011110100011100101001011	01010000001110110101110011111101010001101001
01010100010110101010101101010011000110111010	00001011001110110001010001111011110100110010
10010100111001001011111111100011010001001011	11111110001110100101111011100101010000100001
01010100111110101011011110100011100101000001	11010000001010110101110011111101110101000001
01010100111001001011111110100011100101001111	11111000011110100101110011111101010001100001
01010100111001001011011110100011100101001011	11110000001110100101110011111101010001100001
01010100111000101011011110100011100001001011	11010000001110100101110011101101110001100001
10001011111111011011011110101110110011001011	11110100100110011101111111100111000111101101
01010100111001110101011010100001000101001011	11110000001111100100110010011100110000101001
01011111111001001111000111100011100001001011	11110010101101100101110111101001010011100001
01010100111001001101011010000010111100001011	11110100001111000101010000111100011001100001
01010100011001001011110111100111100101001100	10101010011100100101110011111101010001000101
10110011111001001011110010100011100101101011	11111001100100100111111010110101010011100001
01010100110000101011111111100011011101001111	11011110011110100001110011111101111000100001
01011100111001111000011001010011111001001101	01110110011110100101110100101100111001011000
01100100011001001011011110100011100101001011	10110000001110100111110011111101000001100001
01010100110010101011111100100011000101001011	11011000001110110001110011111101110000100000
01001101110001001011011011000011000101010010	11100010101010100001110100111101000000100011
01010100111110001011011110100001000101010001	11010000001010110101110011011101010100000011
01010100111001001011111011010011111101101001	11111111001110100101110000111101011001010001
01010100111001011011111110100111100001101011	11111001001110100101110011101101010001101101
11001100111001001011000111100111100111001011	11110010001100100101111111111011000001100101
01010111111000101011011000100001000111001011	11010000101110100101110010011111110010100000
00010011010000011011101110100011100010010000	10001000100010100001010011100011010011001011
01010100111001001001011000100011100001001011	11110000001110100101110010101100010001100000
01010100111110111011011110110010100101001011	11010000001110010101110011111101110101111001
01010111111001001011011110100011100101101000	11100001101110100101110011111101010011000001
01010111111001001011000110100111100101001011	11110000101100100101110011111001010011100101
01010110111001001011001110100011010001001011	11110100001110100101110011101001010010100001
01010100111010111011111111100111100101001111	11011010011110110101110011111101110001101101
01010111100001000010011110100011100101001011	01110000101110100000100011111101010011100001
10110100111001001010011110100011100101001011	01110000001110100111111011110101010001100001
01010100111001111011011110100111100101010001	11110000001010100101110011111101110001001111
01100100011001001010101111100111100101001011	00111010001110100111110011111001000001100101
01010101001000101011101111100011100101001011	10011010101110100101100011111001110001100001
00010111111001001101101010100011000101001111	11111000111111100101110010110000010010100001
01010100111001001011011110110000100110000011	11110000001010000101010011011111010001110001
01100100111001001001011001000000110011001111	11110110011110000111110000001110000001100000
01010100111001001010011010101111100101101010	01100001001110101101110010111101010001100101
01010100111001001011001110100011100001001111	11110000011110100101110011101001010001100001
01011100111001111011101001100011100101001011	11111010001110100101110110111001110001101000
01000100011001110100000100000001111011001011	00110100001101100100110001001010101001101000
01010100111010001010011110011100100010111010	01000001001110011101010001001111010001110111
01010100111010101011101111100100101110010011	11011010001010010101010011011011111001100111
01010100111001001011011110100010100101001011	11110000001110000101110011111101010001100001
01010100111001001011011110100011100101001011	11110000001110100101110011111101010001100001
01010101100110101011101001101110000110001011	11011010101110011001000010111011110100100100
01010010111010111011011110101110100101001011	11010000000110011101110011111101110011101101
00010100111001001011111110100011101101001011	11111000001110100101110011110101011001100001
01010100111001001011011110100011100101001011	11110000001110100101110011111101010001100001
11001100111001001011011111100011100101001100	11100010011110100101111111111101000001000001
00010100010100101011011110100111101101110010	10000001001010100001110011110101111101100111
01010100111001001011011110100011010101001011	11110100001110100101110011111101010000100001
01010100111110001011010111100011100101001111	11010010011100110101110011111101010101100001
01010111111001001011011110000111100101100011	11110001101010100101110001111101010011100101
01010111111001001011011110100001100110001011	11110000101110100101010011011111010011100001
01001100101011001111011010100011000101001011	11110000001111110101100110111101000000100001
01010101101001001001011100100011100100101010	11100001101110100101000011111100010001100000
01010100110001001011011110100011100101001011	11110000001110100001110011111101010001100001
01010010111001010010101111001111000101001011	01111010000110101100110001111001010010101101
01010001111001001011101011100011000101001101	11111010110110100101110010111001010000000001
11010110111001001011011011101111100001101000	11100011001110101101111010101101010011000101
00010100111001001101011010100011100101011010	11100000001111100101110010110100010001100011
00010100111001111011010110100111100101010001	11110000001000100101110011110101110001001111
01010100111010101011010101100111001101011011	11010010001100110101110011111101111000100110
01010100111001001101011110000011100101001011	11110000001111100101110001111100010001100001
01010100111001001011010100100011100001001011	11110000001100100101110011101101010001100000
10110100111011001011101111100011100001000011	11111010001010110111111011100001010001100001
01010100110001110011011111100011100101111001	11110011001110100000110011111101110001001011
01010101101001001011011100110001111001001011	11110100101110100101100011001101011001110000
01010010111001001011111110100111101111001011	11111000000110100101110011111111011011100101
01010100111001001011001110100011100101001011	11110000001110100101110011111001010001100001
01010010111001110100111100100111101110001011	01111000000111100100010011111110111011101100
10110100111001001011100110100011000101001011	11111000001100100111111011110001010000100001
01010101000001001011011000000011000111001011	10110000101110100001100000111111010000100000
01010100111001011011011110100011100100100011	11110001001010100101010011111101010001101001
10110100110010111101010111110001000101001011	11010010001101110011111011010100110000111001
01011100111001001101011100100011100101010001	11110000001011100101110111111100010001000010
01011100111001001001101111100011100110010011	11111010001010100101010111111010010001100011
01010100111001001101011010100010000110001011	11110000001111000101010010111110010000100001
10110100011001001011011110101000111110101000	10100101001110001111011011010111011001000001
01010100101010001011011110100011101001001011	11010000001110110101100011101101011001100001
01010100111010001011011110100011000001101000	11000001001110110101110011101101010000000001
01100100111001001011011110100011100101011010	11100000001110100111110011111101000001100011
01011100111001001111011010100011100101001011	11110000001111100101110110111101010001100001
00100100111001001011011010100011110101011011	11110100001110100111110010110101000001100011
