raw	permuted
00100000010110010000100011001100110111011101	00001010110100111110100001100111000100110000
00100100010100010010111101100010100100010101	00001100111000011011000001010100000101110110
01100010000100000010000110010110100111001111	00000011010000110111100000100100011000111110
00100111010010010011100110011100111101011100	10001010101110001111100101100111011000110100
01100001010111001000111100000100110001101001	00010010110101011010100100110001000001011101
00100100001111111010100100101000110100001101	01100110011101011011000001000111000000110101
00010010010100110100011100000100111111111010	01011011100110110000111001110100010001010100
00100100000111010010011000100010101101100010	00010101001011010011000001110101000001010010
00100100010111000010101000110001111110101011	00010111111111111011000010010101001000010000
00010110010111010010011100000100101100000010	00000001101011010001101001010101010001010100
00110000000111000100100110110001111100001101	00000110010111011110011010000101001000110100
00100000010100001010011111100001111101011010	00001111100110010111000010110100000101010101
00100110010101000000000101010111011100011101	00001010111111010010100010000100011100100110
00100111000100010000000101101100111110001101	00000110011110110010100101000110010100110100
00111011000000011010011100110000011110100010	00010101000110100011001101011100011001000101
00100000110011011110111111010100111110001010	00000011100111101111110001010101001111010101
00100110001101011110100100011100100101100101	00110000011001011011110001100110011000110101
00100000010101010010000111110100111110101010	00010111100111110111100001000100001100010100
00111011000011000010101000100011010110001010	00000111000101101011001110011101010000000010
00100000001111011010101101011100111100111011	00111011010111011011100001010111001100010101
00100000010111001010011101001100010010000010	00000001100101110011100000010011000101000101
00100000010100011010101100110010111101101111	00010111110110011011000001110100001000110111
01010001011111011110011110011001110100101010	00110011100101010101011111010111001001011101
00110000010100110010110100100000011111100101	01010100110110111011001001100100000001100100
00100000000110011100011100100000111101000101	00000100010110010010010001110101000001110101
00100100000111010010100100001100010100001101	00000010011101011011100001000111000000100100
01100000010101011100001100001110101111101110	00010011100011110010110001110110000000111111
00110100011110001000100100011010111100100010	00110001101110011010001000000111001000010111
00110000000101010010011100000100111110101010	00010011000111110011101001010100000001010100
00100010010100011010100101001010001101000100	00000000100010011011000001100110010100100111
00100010100101100100100100010100111100100011	01010001010111011010110000000100011010010100
11100010001111010000100101011100011101101101	00110010010111011010100001100111111100101100
00100100000100011010100111001111111100001101	00000010011110011111100011000110000100110111
00100100000001000110111101001100011111001101	00000010011111101011110000110110000101100100
00100100010101011010101101001111111100001010	00000011101111011011100011010110000100010111
00100101110101001110111101010000110100110110	00011001101101011011010100010100001111110101
00111100010111011000111100110001111110100010	00010101101111111010001011011101001001010101
10100000010001011010111100001100111011101001	00010010110111101011100001110010100001010101
00110010000111011000111100110010111101001111	00000111010111011010001001110101011001110111
10011010000100011000001100100010101101000101	00000100010010010000001001111100110000110111
00100010000100011000011110001100111110100010	00010001000110110110100001010110010001010101
00100000000111011010111111011101111101000101	00000000010111011111100011110111001101110101
00100100000111010110000100110010111101001011	00000111011111010011010001100101001000010110
00100100010111010110111001000001101110011010	00001011101011111011010011010101000101010000
11100010001001011010111000100000111010001110	00100111000111101011000001010000110001111001
00111100001100011110111100100110101100000111	00100101011010011011111001011100000001110111
00100000000110011011101110101010100101011111	10001111010000011111000001110111000000110111
00100010010111011000100101001111111100000010	00000001100111011010100011000111010100010111
00100000010111011110111101000010110100000001	00000000110101011011010001010101000101010111
00000000001101011000001100100000111101001110	00100111000111010000000001110100000000110101
00100000010110011010111100100001111110000010	00000101100110111011000011010101000001010101
00100000000101011000111100010000010110001001	00000010010101111010000001010100001001000101
00110000010101011010011101000111101100000101	00000000110011010011101011010100000101110111
00100000010111011000001101010000110101000100	00000000100101010010000001110101001100110101
00100000010101011010011100110000110101101001	00010110110101010011000001110100001001010101
00100110000101010110000100000100111100001100	00000010001111010011110001000100010000110100
00100100010101001010000111001000101101101100	00010010101011010111000000100110000100110101
00111000000111000110010100011000111100001101	00000010010111010011011000001111001001110100
00100000010101011000011111011110001111001101	00000010110011110110100001110110001101100111
00100000010111001010100100000110011111001101	00000010110111111011100000100101000000100111
00110010000110110110011100111010011100101111	01010111010110010011011001010111011001100110
00010000110111111000011100011110100101001101	01000010110001010000101001110111001011110111
00111010010101011010101101011101100111100101	00010000110001111011101011111110011100110101
00100000010100010010000101000110011111000010	00000001100110110011100001100100000100000110
00110000010101010000111100011101111101101010	00010011100111011010101011110110001001010100
00100000010101010000100111000100111010101101	00010010110111111110100001000000000100110100
00100000000101011000111111100011110110100001	00010100010101111110000011010100000101010111
10111001100111010100110100100011101100101010	00010111000011011010011111001101100011010110
01111000000111010000100100001000111101110101	00011000010111011010001001101111000000111100
00111100000101011010101111000010101010001101	00000010011011111111001001011000000100110111
01100000010111011000111100110000111110011011	00001111110111111010000001010101001001011101
01100111001111011010111100011010011111001010	00100011001111111011000101110111011001001111
00100010000100011100110100000000100110001001	00000010010000111010010001000100010001010101
00100111000101001000000101010110010101000110	00000001001101010010100100100100011100100111
00100011010100010010011101001110101111101011	00010011110010110011100101110110010101010110
00100100010111010010100100101000011111001101	00000110111111111011000001100111000000100100
00010000000101011000010000001110001100101010	00010011000011010000101001000110000001000011
00110000000100010010011100110010110010001101	00000110010100110011001001010000001001110110
00110000010111011000001100011001111101100011	00010001110111010010001011110111001000010101
00100011000110010010011111110010101110000101	00000100010010110111000101010101011101110110
01110001010111000100100101101000011101110101	00011100110111011010011100100111000100101100
00100011000110011010111100000100111110001100	00000010000110111011100101010101010001110101
00100100011011011010100101101111111110000010	00100101101111101011100011000111000100010111
00100100110111011010011111000100011100101011	00010011111111010111100001010101000111000101
00010110010111010010111100110111111100101010	00010111101111011001101011010101011001010110
11100000110111001100111010101101111101001001	00000110110111011110110010110111100011011001
00100110100111000000000100001110001110100010	00010001001011110010100000000111010010000110
00101010010110001000111101110000111100001001	00000110110110011010000000011101011101010101
01100001010111001000011001001101111101101010	00010011100111010010100110110111000101011001
10100100000101110010000100000100101010001101	01000010011011110011100001000000100000110100
00100111100100011010000100010110110101000010	00000001001100010011100101100100011010010111
10100100010101000010111101000100111110100001	00010000111111111011100000010100100101010100
00011011000101011010111110010000111110100001	00010000010111111101001101011100011001010101
00100011010100010000111001011110111100011010	00001011100110011010100101010110011101010010
00100011010111010110000110000110101111001111	00000011110011110111110101100101010000110110
00100000000111010010100100011110110001101101	00010010010101011011100001100011001000110110
00111010100011010010011100100000011100000111	00000101010111000011001001011101010011100100
10010000000111011110111100000110101101111010	00011011000011011001111001110101100001010111
00110110000100011000101110110010110010011111	00001111011100111110001001010000011000110111
00100100010111011110000100001101011101001001	00000010111111010011110011100111000000000101
00000000010111010110000101000100111101100010	00010001100111010001110001100101000100010100
00100001010101011000011101111001111101000101	00000100110111010010000111110110001101110101
00100000010101100000100100010110010100111010	01011011100101011010100000000100001000000110
00100000000110001110011101011000100101000101	00000000010000010011010000110111001101110101
01100010010101011010111100001100111100001100	00000010100111011011100001010110010001111101
