time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s,termination_reason,termination_detail,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.600410708997515,rewiring,left,initial,0.5498040829988895,619,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1126360839989502,rewiring,right,initial,0.5120029590034392,551,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.547373041990795,absorbing,,,,,,,L,1,0,617,549,0,0,0,10,0,0,1.3950932500010822,0.02560500000254251,1.4206982500036247,1.4211662499874365,176,376,1,4,False,False,False,False,176,1,False,512,0.0006,,176,0,total_elems,176,376,1,1,,,,0.0,1,4,176,262,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.599681124993367,absorbing,,,,,,,L,2,0,617,549,2,0,2,8,2,2,0.025558707988238893,0.023416333002387546,0.04897504099062644,0.0496361249970505,532,376,4,4,False,False,False,False,532,4,False,512,0.0006,,176,0,total_elems,532,376,1,1,,,,0.0,4,4,532,330,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.649192374999984,absorbing,,,,,,,R,2,1,617,549,2,2,4,7,2,4,0.022332042004563846,0.023819750000257045,0.04615179200482089,0.04672525000933092,1012,960,4,4,False,False,False,False,960,4,False,512,0.0006,,176,0,total_elems,1012,960,1,1,,,,0.0,4,4,960,380,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6974922499939566,absorbing,,,,,,,R,2,2,617,549,2,2,4,8,0,4,0.02268254099180922,0.021692666996386833,0.04437520798819605,0.04487675000564195,1356,1500,4,8,False,False,False,False,1500,8,False,512,0.0006,,176,0,total_elems,1356,1500,1,1,,,,0.0,8,4,1500,422,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.745976583988522,absorbing,,,,,,,L,3,2,617,549,2,2,4,10,0,4,0.022086209006374702,0.022760458989068866,0.04484666799544357,0.04534324999258388,2184,2744,16,16,False,False,False,False,2184,16,False,512,0.0006,,176,0,total_elems,2184,2744,1,1,,,,0.0,16,4,2184,476,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7953933749959106,absorbing,,,,,,,L,4,2,617,549,2,2,4,10,0,4,0.022744292000425048,0.02333045899285935,0.0460747509932844,0.04655804199865088,5004,3436,16,16,False,False,False,False,5004,16,False,512,0.0006,,176,0,total_elems,5004,3436,1,1,,,,0.0,16,4,5004,580,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8471980839967728,absorbing,,,,,,,R,4,3,617,549,2,3,5,10,1,5,0.02454129100078717,0.023580708002555184,0.04812199900334235,0.04861929200706072,14284,6568,64,16,False,False,False,False,6568,16,False,512,0.0006,,176,0,total_elems,14284,6568,1,1,,,,0.0,16,4,6568,644,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9015239169966662,absorbing,,,,,,,R,4,4,617,549,2,4,6,9,1,6,0.024139124987414107,0.02687462499307003,0.051013749980484135,0.05153458399581723,15496,14728,64,43,False,False,False,False,14728,43,False,512,0.0006,,176,0,total_elems,15496,14728,1,1,,,,0.0,43,4,14728,864,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9725341249868507,absorbing,,,,,,,L,5,4,617,549,2,4,6,10,0,6,0.03391295800975058,0.03305549999640789,0.06696845800615847,0.06750275001104455,27368,28516,64,64,False,False,False,False,27368,64,False,512,0.0006,,176,0,total_elems,27368,28516,1,1,,,,0.0,64,4,27368,1008,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.055071708993637,absorbing,,,,,,,L,6,4,617,549,2,4,6,9,0,6,0.04074479099654127,0.03763320899452083,0.0783779999910621,0.07888995800749399,60328,49956,64,64,False,False,False,False,60328,64,False,512,0.0006,,176,0,total_elems,60328,49956,1,1,,,,0.0,64,4,60328,1352,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2338037919980707,absorbing,,,,,,,R,6,5,617,549,2,6,8,7,2,8,0.10763641700032167,0.06692704200395383,0.1745634590042755,0.17508895799983293,185896,117860,256,64,False,False,False,False,117860,64,False,512,0.0006,,176,0,total_elems,185896,117860,1,1,,,,0.0,64,4,117860,1686,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5612247089884477,absorbing,,,,,,,R,6,6,617,549,2,6,8,10,0,8,0.16883224999764934,0.1533939159999136,0.32222616599756293,0.32292900000174996,316388,309312,256,256,False,False,False,False,309312,256,False,512,0.0006,,176,0,total_elems,316388,309312,1,1,,,,0.0,256,4,309312,2578,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.9853399169951444,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,4,800000,3168,174,44,0,both,0,22,22,1,1,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.845722708996618,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,4,697088,2762,174,44,0,both,1,21,21,6,7,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.477545541987638,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,4,202208,1892,174,44,0,left,0,22,22,7,14,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.915974458999699,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,64544,1284,174,44,0,left,1,21,21,6,20,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.044235208988539,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,56000,1128,174,44,0,right,0,22,22,4,24,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.244367791994591,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,28268,964,174,44,0,right,1,21,21,7,31,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.368376333994092,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,12060,698,174,44,1,both,0,22,22,10,10,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.458724041993264,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,10376,618,174,44,1,both,1,21,21,6,16,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.510434208990773,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,6044,534,174,44,1,left,0,22,22,4,20,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.555706583996653,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,5924,522,174,44,1,left,1,21,21,2,22,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.602762416994665,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,5792,510,174,44,1,right,0,22,22,2,24,,,,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.650389709000592,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,5612,492,174,44,1,right,1,21,21,4,28,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.730425583999022,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,5500,480,174,44,2,both,0,22,22,3,3,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
