time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,rewire_side,rewire_phase,rewire_time_s,sabre_trials,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s
3.3913152089808136,absorbing,L,1,0,1655,1866,2,0,2,12,2,2,0.049765124975237995,0.033873000007588416,0.08363812498282641,0.084258749964647,264,448,2,4,False,False,False,False,264,2,False,512,0.00175,,248,0,total_elems,264,448,1,1,,,,0.0,2,4,264,374,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.463847834034823,absorbing,L,2,0,1655,1866,3,0,3,16,1,3,0.03504366602282971,0.0335562500404194,0.06859991606324911,0.06927887501660734,572,464,4,4,False,False,False,False,572,4,False,512,0.00175,,248,0,total_elems,572,464,1,1,,,,0.0,4,4,572,448,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5393855840084143,absorbing,R,2,1,1655,1866,3,1,4,8,1,4,0.03883141599362716,0.03328079200582579,0.07211220799945295,0.07278383296215907,1596,656,4,4,False,False,False,False,656,4,False,512,0.00175,,248,0,total_elems,1596,656,1,1,,,,0.0,4,4,656,460,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6061199590330943,absorbing,R,2,2,1655,1866,3,1,4,8,0,4,0.033642540976870805,0.02968116698320955,0.06332370796008036,0.0639579999842681,1660,1112,4,4,False,False,False,False,1112,4,False,512,0.00175,,248,0,total_elems,1660,1112,1,1,,,,0.0,4,4,1112,502,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.672973000037018,absorbing,L,3,2,1655,1866,5,1,6,17,2,6,0.03262545802863315,0.03080083301756531,0.06342629104619846,0.06406100001186132,2524,1936,16,16,False,False,False,False,2524,16,False,512,0.00175,,248,0,total_elems,2524,1936,1,1,,,,0.0,16,4,2524,612,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7474694999982603,absorbing,L,4,2,1655,1866,7,1,8,18,2,8,0.04008020902983844,0.03101070801494643,0.07109091704478487,0.0717303340206854,11300,4752,32,16,False,False,False,False,11300,32,False,512,0.00175,,248,0,total_elems,11300,4752,1,1,,,,0.0,32,4,11300,874,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8238551249960437,absorbing,R,4,3,1655,1866,7,2,9,6,1,9,0.03211349999764934,0.040285542025230825,0.07239904202288017,0.07309037499362603,17092,23040,32,64,False,False,False,False,23040,64,False,512,0.00175,,248,0,total_elems,17092,23040,1,1,,,,0.0,64,4,23040,1004,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9256194999907166,absorbing,R,4,4,1655,1866,7,2,9,8,0,9,0.0439587919972837,0.05334412504453212,0.09730291704181582,0.09801395802060142,32420,33128,64,64,False,False,False,False,33128,64,False,512,0.00175,,248,0,total_elems,32420,33128,1,1,,,,0.0,64,4,33128,1182,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.06506829202408,absorbing,L,5,4,1655,1866,7,2,9,19,0,9,0.05359720898559317,0.0807351249968633,0.13433233398245648,0.13521420798497275,56420,104656,64,128,False,False,False,False,56420,64,False,512,0.00175,,248,0,total_elems,56420,104656,1,1,,,,0.0,64,4,56420,1460,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.271375667012762,absorbing,L,6,4,1655,1866,8,2,10,18,1,10,0.09516287501901388,0.10666275001130998,0.20182562503032386,0.2031665839604102,107940,139628,128,128,False,False,False,False,107940,128,False,512,0.00175,,248,0,total_elems,107940,139628,1,1,,,,0.0,128,4,107940,1968,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
