raw	permuted
01011001000110100101101011000000100001101100100111001111110000	01110110100100010001000001110001110100000111110000000111110101
10000100101111100001111010100100100010101101000111010100010000	11100001100011111100000010000001110101001100100000000111110110
01110100101011101000001110110001100010101101010111001100000010	11100111100011101000100000100011110100001100001101110011110000
00100001101010001101100010101101100111100001100110010110101001	11111001000101110000000011010101111000001001101001011010010011
11010100001010100001101010010000100111101101000010001110110010	10100110100011110100100000110101110100000001100100000011110101
01010100000010100100101010100010100111101101100111001110101001	11111111110011000000000001110101110100000101100000001011110001
01101101001011100000111010001001101010101001101111001100001001	11101110100111101001010001000001111101000100100011011010110000
10110101010111100001111110110100100111101101000010001100011100	10100011100111011100000110110111110101010000100101001111110100
01110101001110100101111011000110110000101001110110010111110110	01110100110111110000100011100001110101010011110001100110111111
10110100001111100101001001001001100001101001111111001110111011	01111010100011111100100001110000111100000101010011111110110101
10101101111010100101001110100110110011101001101111010111111000	11110001110111110101000111010011110100001111000011001010111111
10101001001110100110001000010110100001101001000010011111010000	00110010110101100101000010010000110110000011000101000110110110
00011101101011100100111110001101101011101101101011001110011010	10110010100111101001110011110011111101001101100010011011110100
10011001101010000101101011010100101111101001100110001101111011	11111010100101110101110011110101110100001010110100001010010101
01100101101010110110101000010001100110101101100011001110110000	10110110100111100000001001000100110110001101100101010011110101
01100100101110100001111010110010100000101000011111101101001111	01101111110010110010100000000001110101011110100111101110110000
10111001111010101100111010000100100011001101100110011111100000	11110010100101100101000111110001100101001011101001000011110011
01000101101110100001100001101010100000101101111010010101010110	00100101110111110000100001000000111000011010110010100111110110
10111001101110010100111000010010100111101101001111111111010001	11111010110101100111001000110100110101001111100111000111010110
00100101111011101100011100100010100010100101111111010100000110	11110001010111101000100101000010110101011100001011100011110010
10010100111010100110111110001001100110001001101111010110000000	11110000100011100100000101100111101111001101100010010010110010
11100100101110011100111111000000100100101001101111001111001001	01111110100011100100001001000111110101001111111011001110010000
11010101111111111100101010110000100001101101001111011100111011	01111111100111101100101100110001110100001100101110001111110111
00111000111111100101111010010100110111001101000111001100001000	11110010100001111001000110110101100101001100100101001111111000
00010000101111000101001011010000101011101001101111001100100110	11110010100001111000110001110001110100011100010110000110010001
01010101111110011100001010101000110010001000101110101100100000	11110111100110100010001101100001101100001000001010000110011001
10101000101110100100101010000000100111111101100011001110111000	10110010101001100101000001010101110100001101100001001111110101
10101000001110101100010010101001110011100000101110001101101001	11111011000000100101000001010001111001000010001011011110111001
10100100001110100101101001010010101000001101101111110101001000	01110000110011110110010001000000100100000110110111001111110010
10100001101011000101111010110011100011001001000101001101011000	11110011110101111100000000010001000101001110100101011010010100
10101101001010011100001010010000110111101101110111001100100110	11110010100111100101101001010101110100010100001101100011011001
11110100101111100001101010010011100000101101000010000111001000	00100100110011111100000000100001110100001011100101011111110000
10111001101011100001101110010001100111101001000011010111100000	10100000100101111101000000110111110100001111100101010010110011
01010100001001100101101110000110101011101001001111001110111010	11010110110011111000110010110011110100000101100010001010110101
10000101001111100100101010010010101111111001101110101101110010	11110010111111101110110001010101110100000010100110000110110101
11000101111110101100111110001100100100001001101111111100111101	01111110100111100110000111000111101101011100101010001110110111
10111001111010100001101010010000110111101101100110001101000100	11100010100101110101000101110101110100011010100101000011111000
00100001101111110000001010000101100011101101000011001111101001	10101010100101101000001010010001110100001111000001011111110001
01010101101111110001111010011000100111100001001011110110011011	10101100000111111010101000110101111101001101100110001110110110
10110100001110100101100010101000100011101001100110101111001001	11111011100011110110000001110001111000000011100001001110110000
10110101101010010101111101000001100010101101001011101100100110	10110010100111110110101000100010110101011100110011010011010001
10111001111011100101101010011100100011101001111011110111010000	10110000100101111111000111110001111100001111100111100010110110
00111000101010100111101010000000100010100101000111111110100000	11110010000001110011000000100001110110001101100001000011110011
10011000111011100100101110110010100111111001000111100110111010	11110001111001101111100100110111110100001101100100001010110101
10110101101110100101111110011010101000101001101110000100110110	01110000110111110100110001100011111101011000100111000110110101
10000101101110100100111010100001101011101101101011001111100000	10110011100111100100010001010001110101001111100010010111110001
10110100001011100101001110010000100110001001010110001110100000	11110010100011111100000000100111100100000001000101100010110001
00100100111010110100101010000010100111100001100111011100110011	11111010010011100000101101010101110100001100100001000010110111
00100100111010110001101011000010100111101101001111101110111011	11101010110011110010101100010101110100001101110011001011110101
00110101101010100100101010000000100101101001100111010101101110	01110000100111100000100001110101110100011110100001001010110011
10110101101000010100101010010010100100001001001111001101001001	01011010110111100100001000100101100100001110100111001010010000
00100101001110100101111010000110100011101001000111010100010001	11111000110111110000000010010001110101000100100001000110110110
01110101001011111100001010110000100100101101110111011101100000	01110111100111101000001001100101110100000110001101100011110011
00100101101111000100101110110000100001100001100111011110111011	01111011000111101000100001010011110100001101100101001110010111
00101000101001100101101000010001100000101101100011111110111110	00010010100001111011100001000000110100011101100101011011110111
10100101101010100111101010100000100011100101111111001100110001	11111011000111110100000001010001110110001100100011100011110101
01011000111010100101111000000110100101100101000011110100111011	00111100010001110011100110110100110101001100100000001011110111
10101000101001101100100010011001100011001001001111001110101000	11010010100001101101000000010001101000001101101111011010110001
00110100101010100101001010000000100011101001011011011101011000	10110010100011110000000000110001110100001110000011101010110110
00100100101110111100111010100000100100001001100011101111000010	00110011100011100010101001000101100101001111101001000110110000
00110100101110100101101110010010101000101101000110010111010000	01110000110011110000010000100011110100001011100101000111110110
00110101001010100011101000000100100110001101001111001111100000	11100010100111110000000010100100100110000111100011000011110001
10000101100011100101101010000000100011001001101111001110111000	11110010100111011100000001010001100100001101100010001010110101
01101101111110110110101010010001100100101001001110011100101001	01111110100111100001001100000101110110001000100111011110110011
01100101101010100100100110011100100111101000101011000111101101	10111100100110100000000011010111111000011111100111001010110001
10100101101010101100101110100000100111101001000111001100000000	11110011100111100100000000010111110100001100101001000010110000
