time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,rewire_side,rewire_phase,rewire_time_s,sabre_trials,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s
3.3736662919982336,absorbing,L,1,0,1655,1866,2,0,2,12,2,2,0.040219000016804785,0.02817408402916044,0.06839308404596522,0.06892024999251589,264,448,2,4,False,False,False,False,264,2,False,512,0.0006,,248,0,total_elems,264,448,1,1,,,,0.0,2,4,264,374,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4360464170458727,absorbing,R,1,1,1655,1866,2,1,3,8,1,3,0.029442583036143333,0.028881249949336052,0.058323832985479385,0.05895387497730553,572,464,4,4,False,False,False,False,464,4,False,512,0.0006,,248,0,total_elems,572,464,1,1,,,,0.0,4,4,464,424,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4986948340083472,absorbing,L,2,1,1655,1866,3,1,4,16,1,4,0.030400749994441867,0.028102917014621198,0.058503667009063065,0.05912091600475833,656,956,4,4,False,False,False,False,656,4,False,512,0.0006,,248,0,total_elems,656,956,1,1,,,,0.0,4,4,656,460,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.563602250011172,absorbing,R,2,2,1655,1866,3,1,4,8,0,4,0.03211412497330457,0.028458875021897256,0.060572999995201826,0.061206458020024,1660,1112,4,4,False,False,False,False,1112,4,False,512,0.0006,,248,0,total_elems,1660,1112,1,1,,,,0.0,4,4,1112,502,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6292030420154333,absorbing,R,2,3,1655,1866,3,2,5,6,1,5,0.03256608301308006,0.02894300001207739,0.06150908302515745,0.062131915998179466,2524,1936,16,16,False,False,False,False,1936,16,False,512,0.0006,,248,0,total_elems,2524,1936,1,1,,,,0.0,16,4,1936,558,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.694258042029105,absorbing,R,2,4,1655,1866,3,2,5,8,0,5,0.03154120803810656,0.029409209033474326,0.06095041707158089,0.06157725001685321,4752,4432,16,16,False,False,False,False,4432,16,False,512,0.0006,,248,0,total_elems,4752,4432,1,1,,,,0.0,16,4,4432,672,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7611287090112455,absorbing,L,3,4,1655,1866,5,2,7,17,2,7,0.03284041699953377,0.029742375016212463,0.06258279201574624,0.06321954197483137,8052,9780,16,16,False,False,False,False,8052,16,False,512,0.0006,,248,0,total_elems,8052,9780,1,1,,,,0.0,16,4,8052,776,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8482998750405386,absorbing,R,3,5,1655,1866,5,2,7,10,0,7,0.048898625012952834,0.03411349997622892,0.08301212498918176,0.08366162504535168,37608,23036,64,64,False,False,False,False,23036,64,False,512,0.0006,,248,0,total_elems,37608,23036,1,1,,,,0.0,64,4,23036,1078,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0016341670416296,absorbing,R,3,6,1655,1866,5,2,7,10,0,7,0.08926416700705886,0.059409833047538996,0.14867400005459785,0.14938812499167398,109456,80444,128,64,False,False,False,False,80444,64,False,512,0.0006,,248,0,total_elems,109456,80444,1,1,,,,0.0,64,4,80444,1414,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.401420375041198,absorbing,L,4,6,1655,1866,7,2,9,18,2,9,0.2428665830520913,0.15188345802016556,0.39475004107225686,0.39593037497252226,269840,294496,256,256,False,False,False,False,269840,256,False,512,0.0006,,248,0,total_elems,269840,294496,1,1,,,,0.0,256,4,269840,2098,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.031938166997861,absorbing,L,5,6,1655,1866,7,2,9,19,0,9,0.2564090830273926,0.36931266699684784,0.6257217500242405,0.6264436249621212,361996,691640,256,256,False,False,False,True,361996,256,False,512,0.0006,,248,0,total_elems,361996,691640,1,1,,,,0.0,256,4,361996,2488,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.895462000044063,absorbing,L,6,6,1655,1866,8,2,10,18,1,10,0.3953952079755254,0.4634594160015695,0.8588546239770949,0.8595989160239697,390116,702356,256,256,False,False,False,True,390116,256,False,512,0.0006,,248,0,total_elems,390116,702356,1,1,,,,0.0,256,4,390116,2904,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.025031375000253,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,4,241616,2792,246,62,0,both,0,31,31,6,6,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.78517870901851,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,86468,1846,246,62,0,both,1,30,30,14,20,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.952927792037372,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,46088,1440,246,62,0,left,0,31,31,9,29,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.07050579204224,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,22484,1092,246,62,0,left,1,30,30,16,45,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.1545430420083,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,4,11616,888,246,62,0,right,0,31,31,10,55,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
