raw	permuted
00100101010100000011101111110111010001111101100010100111000110	11000011111011111011011100000110110000100101001001000110110110
11100101111100001011101011111111000100011001100010011011000100	01011011011010110101010100100000110010110101011101000110111110
10000110110000111011111010111111000000111111100010010110000110	01000111111000101111001100100000110011101111011100000011110110
10000100010100110101001011111111011000011101100010111110110110	01000011111111111101101100000010110101000101011100100011111100
11010101110100100011101111111111011000111001100010001010000100	01101011011011110111100100100100110000100101001101000011111110
01101101010100000111101111111111000000111001110010001011100100	01001011011110110011010100000100110100100101001101011110111110
10010101111100010101101111110111000100111000101010010111100100	01110011011110110111011010100100110101010101011001000010110110
00000101110100011011101011110111010001011001100010011011100000	11000011010011110001010100100000110111100101011001000010111110
11101101011100000011001010111111011000111010110010011001110110	01011011111001110111110000000000110100101101011101111110011100
11001101110100110001111011110111010100111010111010010110011000	01001011010011110111001010100000110001011111011011111011110110
00110100010000010111000011111111010000111011100010010111100110	01100011111111100010011100000000110101101101011100000110110100
00101100010000010111001010101111011000111110100010010110000110	01000011111101101011101000000000110001101101011100001110100100
11100101010100111011101010111111001000111110100010011010000100	01001011011000111111100000000000110011101101011101000111111110
10100101110000101111111011111111000000111111100010011011000110	01000011111110101111010100100000110010101111011101000111111110
00001101011010100111001011010111000000111111110010010111100100	01010011011110101011011100000000110100101100111001011011110100
10000101010100000001101010011111010000111111100010010111000100	01000011011001111111011100000000110000001100011101000010110110
10000111011110010001001010111111000000111101101010110111000110	01010111111000111111011110000010110001000101111101000010110100
11010001110000010101101011110111011000111111100010000110000110	01101011111111101111101100100000110001001101001001000010110010
11100001110010011011101011111111000100111111010010011001000100	01001011011010101111010100100000110011111101111101010100011010
11101001011000010011001111111111100001111101110010111011100100	11011011011010101111010101000110110101100101011101011110111000
11000101110010000011001011111011010000111100000010011010010100	01001010011011101111000000100000110000100101111101100000111100
10100101010100010011101011010011001010111001100011011011000110	01000010111010110111110100010001110001100100011001000110111110
01100001110000100111001011111111100000111101100010100110000110	01001011111110101011001101100010110000100101001101000111110000
10100110110100010111101111111111010000111100100010010110110100	01000111011111111111001000100100110101100101011100100110110110
10100101110100000111101111110111010000111000100010010111010100	01000011011111110111011000100100110000100101011001100110110110
11001110110000000011101011111111001100011001100010001011100110	01001111111010100101110100100000110100110101001100001010111110
11000101010100000111001010011111010001110100100011011010001110	11001011111101011111000000000001110000100100011111000010111100
11100110110000010101011110111111001000111001101010010111100100	01001111011100100111111110100100110101000111011100000110110100
01100111010100010111001111111111000011111101000010010011100100	11001111011110111011010100010100110101100101011101000100110100
10000111110010010001101111111111010000111011100010001110000100	01000111011011100111001100100100110001001101101101000010111110
01000100110100110111101010010111100000111110100010001010110110	01001011111100111011000001100000110101101100001000100011111110
01100111010100010101101011101111010100011101100010011011000110	01001111111111111001010100000000110001010101011101000110101110
10101111010000000011101011110111000000111101100010110111100100	01000111011010101111011100000010110100100101011001001110110110
10001111110000011011101010011111000000111100101010010011100110	01000111111000101111010010100000110111100100011101001010110110
10101101010100000011101011111011000000111101010010011010000100	01000010011010111111000100000000110000100101011101011100111110
11100001000000101111101010110011000000111000100010110111010110	01001010111100100111011000000010110010100101010001100111110010
11000101110100000001001011111011010000111101101010011011000110	01001010111011111111010110100000110000000101011101000010111100
11110101010000000111101010101111010001111000000010011110001100	11101011011101100111001000000000110000100101011111000100101110
00100010100100000111101011011111111000111001100010011011000110	01000111111111110011110101100000110000100100010100000110111010
11100101011110001011011010111011110000111101100010111010000100	01011010011001111111000101000010110010100111111101000110111100
00111110110100011011111111110111010000111011100010000110100110	01100111111011110011001100100100110111101111001000001110110110
10000111010010011011101010011111010000111100101010011010100110	01000111111001101111000010000000110111100100111101000010111110
11111100011010010011101111101011000100111110111010001011000100	01111010011010101111010010000100110001111101101100011110101110
10100101110000100111001011111111000000011110101010111010010100	01000011011110101101000010100010110000101101011101100111111100
00100110111100010011011010011111000000111101100010010010110100	01010111011000111011000100100000110101100110011100100110110100
