time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s,termination_reason,termination_detail,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
1.4614278330118395,rewiring,left,initial,1.232695665967185,1657,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.627365083026234,rewiring,right,initial,1.1657987090293318,1868,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.694999583007302,absorbing,,,,,,,L,1,0,1655,1866,2,0,2,12,2,2,0.0309210839914158,0.024727833981160074,0.05564891797257587,0.05608495802152902,264,448,2,4,False,False,False,False,264,2,False,512,0.002,,248,0,total_elems,264,448,1,1,,,,0.0,2,4,264,374,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.745232457993552,absorbing,,,,,,,R,1,1,1655,1866,2,1,3,8,1,3,0.0232790419831872,0.023890457989182323,0.04716949997236952,0.04765316698467359,572,464,4,4,False,False,False,False,464,4,False,512,0.002,,248,0,total_elems,572,464,1,1,,,,0.0,4,4,464,424,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.796046458010096,absorbing,,,,,,,L,2,1,1655,1866,3,1,4,16,1,4,0.024589792010374367,0.023141790996305645,0.04773158300668001,0.048252624983433634,656,956,4,4,False,False,False,False,656,4,False,512,0.002,,248,0,total_elems,656,956,1,1,,,,0.0,4,4,656,460,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8478461250197142,absorbing,,,,,,,R,2,2,1655,1866,3,1,4,8,0,4,0.025273124978411943,0.023207125021144748,0.04848024999955669,0.049030041962396353,1660,1112,4,4,False,False,False,False,1112,4,False,512,0.002,,248,0,total_elems,1660,1112,1,1,,,,0.0,4,4,1112,502,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.901065500045661,absorbing,,,,,,,R,2,3,1655,1866,3,2,5,6,1,5,0.026214291981887072,0.02384949999395758,0.05006379197584465,0.05055945902131498,2524,1936,16,16,False,False,False,False,1936,16,False,512,0.002,,248,0,total_elems,2524,1936,1,1,,,,0.0,16,4,1936,558,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.954810042050667,absorbing,,,,,,,R,2,4,1655,1866,3,2,5,8,0,5,0.02578554197680205,0.024735250044614077,0.05052079202141613,0.05101179197663441,4752,4432,16,16,False,False,False,False,4432,16,False,512,0.002,,248,0,total_elems,4752,4432,1,1,,,,0.0,16,4,4432,672,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.009349625033792,absorbing,,,,,,,L,3,4,1655,1866,5,2,7,17,2,7,0.0270810829824768,0.024070207960903645,0.051151290943380445,0.05166599998483434,8052,9780,16,16,False,False,False,False,8052,16,False,512,0.002,,248,0,total_elems,8052,9780,1,1,,,,0.0,16,4,8052,776,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0843201670213602,absorbing,,,,,,,R,3,5,1655,1866,5,2,7,10,0,7,0.042601208959240466,0.028941209020558745,0.07154241797979921,0.07203533395659178,36008,23036,64,64,False,False,False,False,23036,64,False,512,0.002,,248,0,total_elems,36008,23036,1,1,,,,0.0,64,4,23036,1078,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
