time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,rewire_side,rewire_phase,rewire_time_s,sabre_trials,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s
3.1546073750359938,absorbing,L,1,0,1655,1866,2,0,2,12,2,2,0.03938533295877278,0.02890241699060425,0.06828774994937703,0.06887962500331923,264,448,2,4,False,False,False,False,264,2,False,128,0.005,,248,0,total_elems,264,448,1,1,,,,0.0,2,4,264,374,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.217101125046611,absorbing,R,1,1,1655,1866,2,1,3,8,1,3,0.02958662499440834,0.029046500043477863,0.0586331250378862,0.05927029100712389,572,464,4,4,False,False,False,False,464,4,False,128,0.005,,248,0,total_elems,572,464,1,1,,,,0.0,4,4,464,424,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2801368750515394,absorbing,L,2,1,1655,1866,3,1,4,16,1,4,0.030400457966607064,0.028719042020384222,0.059119499986991286,0.05972800002200529,656,956,4,4,False,False,False,False,656,4,False,128,0.005,,248,0,total_elems,656,956,1,1,,,,0.0,4,4,656,460,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.345253458013758,absorbing,R,2,2,1655,1866,3,1,4,8,0,4,0.032244207977782935,0.028772457968443632,0.06101666594622657,0.06164649996208027,1660,1112,4,4,False,False,False,False,1112,4,False,128,0.005,,248,0,total_elems,1660,1112,1,1,,,,0.0,4,4,1112,502,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4111345420242287,absorbing,R,2,3,1655,1866,3,2,5,6,1,5,0.03221199999097735,0.029687625006772578,0.061899624997749925,0.06252029101597145,2524,1936,16,16,False,False,False,False,1936,16,False,128,0.005,,248,0,total_elems,2524,1936,1,1,,,,0.0,16,4,1936,558,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.476876542030368,absorbing,R,2,4,1655,1866,3,2,5,8,0,5,0.03212749998783693,0.029482292011380196,0.06160979199921712,0.06222895800601691,4752,4432,16,16,False,False,False,False,4432,16,False,128,0.005,,248,0,total_elems,4752,4432,1,1,,,,0.0,16,4,4432,672,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5447859580162913,absorbing,L,3,4,1655,1866,5,2,7,17,2,7,0.03342316602356732,0.03040545800467953,0.06382862402824685,0.06443816696992144,8052,9780,16,16,False,False,False,False,8052,16,False,128,0.005,,248,0,total_elems,8052,9780,1,1,,,,0.0,16,4,8052,776,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6277465000166558,absorbing,R,3,5,1655,1866,5,2,7,10,0,7,0.044717959011904895,0.0338989999727346,0.0786169589846395,0.0792560419649817,32808,23036,64,64,False,False,False,False,23036,64,False,128,0.005,,248,0,total_elems,32808,23036,1,1,,,,0.0,64,4,23036,1078,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.753919875016436,absorbing,R,3,6,1655,1866,5,2,7,10,0,7,0.0706597919925116,0.051246375020127743,0.12190616701263934,0.12259354098932818,104656,80444,128,64,True,False,False,False,80444,64,False,128,0.005,,248,0,total_elems,104656,80444,1,1,,,,0.0,64,4,80444,1414,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0385053750360385,absorbing,R,3,7,1655,1866,5,2,7,9,0,7,0.1745833749882877,0.10546220798278227,0.28004558297106996,0.2807033749995753,165968,163424,128,128,True,True,False,False,163424,128,True,128,0.005,,248,0,total_elems,165968,163424,1,1,,,,0.0,128,4,163424,1840,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.61938754201401,absorbing,L,4,7,1655,1866,7,2,9,18,2,9,0.3433665829943493,0.2329856250435114,0.5763522080378607,0.5770207499735989,219632,284660,128,128,True,True,False,False,219632,128,True,128,0.005,,248,0,total_elems,219632,284660,1,1,,,,0.0,128,4,219632,2046,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.040342000022065,absorbing,L,5,7,1655,1866,7,2,9,19,0,9,0.160121499968227,0.2560092500061728,0.4161307499743998,0.41681575000984594,239252,286808,128,128,True,True,False,False,239252,128,True,128,0.005,,248,0,total_elems,239252,286808,1,1,,,,0.0,128,4,239252,2334,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5608070000307634,absorbing,L,6,7,1655,1866,8,2,10,18,1,10,0.23441991698928177,0.2814325419603847,0.5158524589496665,0.5165384159772657,257156,317660,128,128,True,True,False,False,257156,128,True,128,0.005,,248,0,total_elems,257156,317660,1,1,,,,0.0,128,4,257156,2722,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.052808875043411,absorbing,L,7,7,1655,1866,8,2,10,15,0,10,0.21319112495984882,0.2742750409524888,0.4874661659123376,0.4881450000102632,293640,331768,128,128,True,True,False,False,293640,128,True,128,0.005,,248,0,total_elems,293640,331768,1,1,,,,0.0,128,4,293640,3214,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
