raw	permuted
00000001000100110010101010111110001110101111001001110111011111	11100011000101111010111111011011010100110110010010010010101000
00100001000101100110001010111110011110010111001110110111001001	11111001100001111010110111011001100100110101010011010010010000
10000011001100100100101000101110011110111101011101110101011101	00111011000101100110111111011011110110111110010000010110010000
10000001101100101100111010111110011100100111001100110100111001	11111011001101110101110101011001011100111100010000010010010010
00000001100100100100111010100110100100010011000110110001001101	01101011000000010001011111011000100100110101001000010010010010
00100001000100100010101010100110001100110110001101110100011100	01100011000101110000011100011001110100010110010011010010010000
10100001100101110000011000110110011110010110001100110110011001	11110001100101101111010100011001100100110100010001010010011010
10100001101100110110001010110111000110010111010101110101110101	11101001000100110111011111011001101010111110000011010011011000
10000001111101100100000010101110011100011011001101110100010011	01111000100111110101110101011010100000111110010000010010110000
00100001100100100010111010110110000110100111001010110110011101	11100011000101111011011101011001010100110101000011010010000010
10100001000100100000111010110110000110111011110100110110011001	11100011000100111110010101011010110111110100000001010010010010
00000001100100101100011010110110001010110111000110110110010101	11101001001100111011011101011001110000110001010000010010010010
10000101100011100110011010111110010110011111000101110111011111	11111001100100111111111011011011100100110110000010011010110110
00000001100100100110001000110110001110011011001100110111011101	11101001000101101011011111011010100100110100010010010010010000
10100011110100101010111000111110000010011111011101110111101011	11100011001011101111110111011011101110110010000011010110110010
00100001100100100110111010100111010110010101010100100111011101	00111011000100111011011111011001100110110100000011000011010010
10000011101101110010111010100110011010011111001110110110011001	01110011100101111111010101011011100100111001010010010110011010
10100001000110100000101000100110010110111111011101110100011001	01110011000101100110010101011011110110110110000001010010010100
10000011100100110110011000101110000100010101011100100110111011	00101001000101101101110101011001101110110100000010000110111010
01000001100100110000101010110110000110111110011111110111011101	11100111000101111011011110011011110110110111000000010010011000
11100001000100100010111010111110001110001110011001110111000101	11100111000001111110111110011011000010110110010011010010000010
00010001101100100011111010100111010110100111010100110100011011	01110011000100110011010101111001010110111100000010110011110010
11100001100100100000011010110110000100010111001100110100011000	11100101000101110101010101011001100100010100000001010010010010
00000001001110100100111010110010000110110111011111100111011101	11101011000101111010011111011001110110101111000000000010010110
10100011100100110110011000110110010110100011011101100100011101	11111001000101100111011101011000010110110110000011000110011010
10100011100100110100111010101111001110100011010100110100111101	01101011000100110111111101011000011110110100010001010111011010
10100011100100110100101010011110000110110111000101110101111101	11101011000100110111111111001001111100110110000001010110011000
10110011010101101010011000110111001010001001011101110111011011	10100001101111101110010111111010000110110010010011010111110010
10100001000100100111011000111110000100111101011101110110011101	10101001000101101100111101011011110110110110000011110010010010
00000001000000100010101000111110000110100011010111110110111111	11100011000100101010111001011000011110110111000010010010110000
00010001000101111010111010110110011110110111110101110111010001	11110011101100111010010111111001110011110110010010010010011010
00000001100100101110101010111110000110111110011100110110011100	11101011001101111011111100011011110110010100000010010010010000
00010001100100100010111000101111001110011111001100010111011001	01100011000101101011110111111011100100110100010010010001010010
10100011001111101100101010101110111010110111001100110010010001	01111011101101011110110101011001110000111000011001010110010100
10000011000100100000111000100110000100011001001100100110001000	00100011000001101100010101011010100100010100000000000110010010
11100001000101101000101010100010000110111001010101110110011000	00100111101100111110010101011010110110000110000001010010010000
10100001000100101110011010111110010110111111011101110011011101	11111001001101011110111111011011110110110110000011010010010010
10100011100100100110011000110110000110011111011101110110001101	11101001000001101111011101011011100110110110000011010110010010
00100011001110100000011010100110000110110011011100110100011101	01100001000101110010011101011000110110111100000001010110010110
10110001100100100010111000111110000100100111011100100111011101	11100011000101101101111111111001010110110100000011000010010010
00100001000101000110011000111110001110111111010000100111011011	11101001100100101010100111011011110110110100010011000010100010
00001001100100110110011010101110000110110011001000110101011101	01101001000101110011111111011000110100110100000010010010001011
10010011101100110000111010100111001110111111011110110100011001	01100011000101110111010101111011110110111101010000010111011010
01100011100000100010111010101110010100110111000100110111011001	01110111000100111001110011011001110100110100000011010110010010
10000001000100110010111010100111000110110111001101100100001101	01100011000001110110011101011001110100110110000010000011011010
10100001000100100110111000111110000110110111000111110110101011	11101011000000101110110101011001111100110111000011010010110010
10000001100100111010011010110111001110111111001110110111011101	11100001001101111111011111011011110100110101010010010011011010
10010001001100100000001000110110000110000111100101110110110011	11100001000100101110010101111001001001111110000000010010110000
00100001100100100110011010111110010110111011001101110110011001	11111001000101111011110101011010110100110110000011010010010010
00000001000100100000111000110011001100010111011100110110011101	11100011000101101000011101011001100110100100010000010011010010
10000001101100101100111000111110001110110001001111100110011001	10101011001101101111110101011000110100111111010000000010010010
10000001000100100000011010111110010110111111010101100100111101	11110001000100110110111101011011111110110110000000000010010010
10000001100110100110111010100111000010100111011100110111010101	01101011000101111111011111011001010010110000000010010011010110
10000001001100000010111010110111011110011111011111110100111011	11110011000101110110000101011011101110111111010010010011110010
10000001100100100010101010110110000100110111011100110110011101	11100011000101111101011101011001110110110100000010010010010000
10010001000100100010111010110111001100101111010100100111011001	11100011000100111100010111111011010110110100010010000011010010
10000001000100100001110000110110011110110011010100110110001101	11110010000000101110011101011000110110110100010000110010010010
10100001100100110100011010110110000110010111010110110111011101	11101001000100111111011111011001100110110101000001010010011010
10110001100000100100011010100110001000111110000001110111011111	01101001000100111101011010111011110100110010010001010010100010
01000001000000100100011000111111000110010111011101110111010001	11101101000101101010110011011001100010110110000000010011010010
10000001101100100000110010110111010100110111001101110110011101	11110010000101111101011101011001110100111110000000010011010010
01000011100110100010001010110110000110110101001100110110011101	10100101000101111011011101011001110100110100000010010110010100
10100011000100101010111010111110011010101111001111100110001111	11110011001001111110111101011011010100110011010011000110110010
11100001000000100010011000110110001110010111010000110110011101	11100101000100101110011001011001100110110100010011010010000010
01000001000100100110011010111110010110110111001111100111011001	11111101000101111010110111011001110100110111000010000010010010
00000011100110101010111010100110000110110100001101110110001101	00100011001001111011011100011001110100110110000010010110010110
10100001101100100010111000100111001110010111001101110101101101	01100011000001100111011111011001101100111110010011010011010010
00010001000100000000001000111110000110110111101100100111001000	11100001000001101010100111111001110101010100000000000010010000
10001011100100100111101000111110001110111101011101110111011001	10101011000101101111110111011011110110110110010010110110010001
10000101100100100000111000110011001100110111001111110100010101	11100011000101100101011101011001110000100111010000011011010010
10000011100100100110101000110110001110110011000001110100011111	11101011000100100111011101011000110100110110010010010110100000
00000001100000100010111010100110000110110111001110110110011101	01100011000101111011011001011001110100110101000010010010010010
10010101000100100000011010100110011110110111010000100110000101	01110001000000111110011101111001110010110100010000001010000010
00000001100100100000111010111111000100011011000000110111011101	11100011000100111001111111011010100100110100000000010011000010
10000001100100100010011010111110010100111111000101110111011111	11110001000100111101111111011011110100110110000010010010110010
00000001000100100001011010101110000110111101010101110111011101	00100001000100111010111111011011110110110110000000110010010010
10000001100100110010001000100110000000010111011111110100011101	01100001000101100101011101011001100110110011000010010010011000
10100011101000100010111000110110000110011111100110110010001101	11100011000000001111011001011011100101111101000011010110010010
10100001000000000110111010101110000110110101001101110110010001	00101011000101111110100001011001110000110110000011010010010010
10000001000000111110101010111110001110010111000100110110011001	11101011001100111110110001011001100100110100010010010010011000
00000001000100100110101000111110000110110111010101110110000101	11101011000000101010111101011001110010110110000010010010010000
01000011100100110000111010110110001110111111011101110110011111	11100111000101111011011101011011110110110110010000010110111010
00100011100100100000111010100110001100110111010110110111111100	01100011000100111001011111011001111110010101010001010110010010
10100011100100100010001010100110011110110111010101010100000001	01110001000000110111010101011001110010110110010011010100010000
10100001110110100000101010100110001110110111001101110110010001	01100011000111111111010101011001110000110110010001010010010100
00100001001100110010111010100110001110010111001100110100011001	01100011000101110010010101011001100100111100010011010010011010
10100011100100110000001010110110001100101111001101110110001101	11100001000001111101011101011011010100110110010001010110011000
00000001000100100000111010111110010110111011000001110110001001	11110011000000111010110101011010110100110110000000010010000010
10100011100100101010011010111110001110110111010100110100010001	11100001001100110111110101011001110010110100010011010110010010
01000001000100110110101010100110001110010010010100110110011101	01101111000100111010011100011000100110110100010010010010011000
00100001000100100000011010100110011010110111000101100100001101	01110001000000110010011101011001110100110010010001000010010010
10100000000100101010011000111111000110010111011100010110011101	11000001001101101110111101011001100110110100000011010001010010
00100001100111000000001000100111011110010111010100110111010101	01110001100100101011001111011001100010110100010001010011010100
10100001000101100110101010111110000110110110000001110111111101	11101011100100111110111110011001111100110110000011010010000000
01000001000110110010110010101110011110111111001101110110001111	01110110000001111010111101011011110100110110010010010010111110
00010001100100100010101010110110100110111111001101110111001101	11100011000001111011011111111011110100110110001010010010010000
00100001000100101011111000110110010110100011001110110110011001	11110011001101101010010101011000010100110101000011110010010010
00001011100100000110110000110110101110011111011101100110111100	11101010000101101011001101011011101110010110011010000110010011
10000011101000101110011010101110000110011011011001110110011001	01101001001101111111110001011010100110111110000010010110000010
10100001100100100010111010110110000110110110001101110111011001	11100011000101111111010110011001110100110110000011010010010010
00000001100100100101101010100110011110100111011100110100011001	01111011000101110011010101011001010110110100010000110010010000
01100011100101100000111010100010000000111111100100101011011101	01100111110100011001011111011011110101100000000001000110010010
00100001000101101010111010110111001110000100010100110101010101	10100011101100110010011110011001000010110100010011010011010010
10000001000100100110111010111110010110110111010111110111011101	11111011000100111110111111011001110110110111000010010010010010
10100001100100000011111010111110000100110111001101110101101001	11100011000001110101100111011001111100110110000011110010010010
00100011100100110010111000101110000110111111000101100101010101	01100011000100100011111111011011110000110110000011000110011010
10000001000100101010111010101110000010110111000101100110001111	01100011001000111110111101011001110100110010000010000010110010
11100011000100000100111010111110000110110011011101110101001001	11101111000001110110100111011000110110110110000001010110010010
11100001101100000100111010000110010100101111001101110101011001	01111111000101110101000111001011010100111110000001010010010010
10100001100100100010111000111110000110011111001100110101101011	11100011000001100111110111011011101100110100000011010010110010
10000001110100110000111010111110010110111111010100101100011101	11110011010110110111111101011011110110110100000000000010011010
00100101110100110010111000110110001000100111010100110100011001	11100011000110100001010101011001010110110000010011011010011010
00010101100100100010011010111110001110111111010101100110011011	11100001000100111011110101111011110110110110010010001010110010
00000011001100100001110000100110000110010001000100100011011101	00100010000100001010011111011000100100111100000000100110010010
10000001100100100110001010110110000000111011001101110110111101	11101001000101111101011101011010111100110010000010010010010000
10000001100100100010111010111111000000111111011100110100011001	11100011000101110101110101011011110110110000000010010011010010
00100001100100101010011010100110001110101100001001110011010001	00100001001101011011010110011011010000110110010011010010000010
10100001000101100010101010111110010110110000011101110100011001	10110011100101110110110100011000110110110110000011010010010000
10110001100101101010111010101110000110110001010101110000011111	00100011101100010111111101111000110110110110000011010010110010
00101001100100100110111010110111001110110111001100110110010111	11101011000101111011011101011001110000110100010011010011110011
10000011000101110010111000110110011110000101100110110110010101	10110011100100101110011101011001000001110101010010010110011010
00000001000100110000011010110110000100110111100100100110011101	11100001000100111000011101011001110101110100000000000010011010
10000011100100100000111010110110001100110011010101110100011001	11100011000100110101010101011000110110110110010000010110010010
10000000000101101110111010111111000110110111011101110101111001	11001011101101110110110111011001111110110110000010010011010010
00100011000100100110111010110110000110111111011101100010001101	11101011000001011010011101011011110110110110000011000110010010
01000011000000100000011010110111000110111111001101110010011101	11100101000101011010011001011011110100110110000000010111010010
00100011101100101000111000110111010110010111000101110111011011	11110011001100101011010111011001100100111110000001010111110010
00100011101100100010101010100110000110111111011000110111011011	01100011000101111011010111011011110110111100000011010110100000
01000011100100100000011010100110001110011011100000100110000001	01100101000000111011010101011010100001110100010000000110000010
01000011100110100110011000101110000110011111010100100100011111	01101101000100100011111101011011100110110100000010000110110110
01000001100100101010011010101111010110010111001101110110011011	01110101001101111011110101011001100100110110000010010011110010
10000001101100110000101000101110001100111111010100110110010001	01100011000100101101110101011011110010111100010000010010011000
00100001000000100100111000100110001010110011011101100100011101	01101011000101100010011001011000110110110010010001000010010010
11100011101100000100111010111110010100110101010101110111011001	10111111000100111101100111011001110110111110000001010110010010
00100011100101100110111010101110000010011111001101110100011101	01101011100101110011111101011011100100110010000011010110010010
11100011100100011110001000110110000010110111000001010101010101	11101101001100100111001111011001110000110010000011010100001000
10100011001101101000101010111110001110111011000100110110011011	11100011101100111110110101011010110100111100010001010110110000
10000011001100100000111010110110000110100111011000110100011101	11100011000101110110011101011001010110111100000000010110000010
00100001100100100000111010111110000110110111011101100001010001	11100011000101010011110111011001110010110110000001000010010010
00100001100100100011111010100111010110110111010100110110011001	01110011000100111011010101011001110110110100000011110011010010
01000001100110100000011010111111001110110111011100110101101011	11100101000001110011110111011001111110110100010000010011110110
00000001000000100010111010111111000100111101001101100010011001	10100011000101011000110001011011110100110110000010000011010010
01000011001110101000111010111110000100010111100100100100001011	11100111001000110000110101011001100101111100000000000110110110
10010001100000111010111010110110011100000101010101110111001011	10110011001000111101010011111001000110110110010010010010111010
00100011100100100000011010111110000000110111000101110010111101	11100001000100011001111101011001111100110010000001010110010010
01000001101101100010111000110110010000010101011101110111011101	10110111100101101001011111011001100110111010000010010010010010
01000001000110101010111010110110000110110111010111110100001101	11100111001000110010011101011001110110110111000010010010010110
00000001000100100000111010101110000010111111010100100001010111	01100011000100010010111111011011110010110000000000000010110010
00100111101100101100111010111110000110110111000111110100011101	11101011001100110011111101011001110100111111000001011110010010
10000011100100100111011000111110001110100111010101100101010101	11101001000100100111111111011001010010110110010010100110010010
00100101101100110010011000100110001110110101001111100100011001	00100001000101100011010101011001110100111111010011001010011010
10000011100100100000111010111111100110110111010101110101011011	11100011000100110111110111011001110110110110001000010111110010
00000001110101100010111000100110000110111101011100110110001111	00100011100011101011011101011011110110110100000010010010110010
00100001100110110010111010111110001110110101010100110101111011	10100011000100110011110111011001111110110100010011010010111110
00100011100100100000011010111111000110111111010100100111011001	11100001000100111011110111011011110110110100000001000111010010
10100001100100111000011010111110011110111001011100110111011101	10110001001101111111111111011010110110110100010001010010011010
11100001000100111010111000111110011110100111000101110100001101	11110111001000100110111101011001010100110110010011010010011010
10100001000100101010111000100110011010010111000101100010010100	01110011001100001110011101011001100000010010010011000010010010
10100001000000100010011010111110000110010101011111110101011111	10100001000101110110111011011001100110110111000011010010110010
00000011001100100000111010011110010110011011000100110100011111	11110011000100110010111101001010100100111100000000010110110010
01000011100100100010010000100110000010110111000101110111011101	01100100000100101011011111011001110100110010000010010110010010
11100001110100100010101010101111010110100111101101110110010001	01110111000111111111110101011001010001110110000011010011010000
00100011000100101010111010111110001110111111001110110111011001	11100011001101111010110111011011110100110101010011010110010010
00001001100100100011000010100110010010111111011100110110111001	01110000000101111011010101011011111110110000000010110010010001
01000001100100100010101010111111110110011101010111110110010111	10110111000100111011111101011011100010110111001010010011110000
00000011110100100000101000110110001110000011001100110110011001	11100011000111101011010101011000000100110100010000010110010000
00100001001100100010011000101110000110101011000100110101001101	01100001000000100010111111011010010100111100000011010010010010
01010011000101110110111000111110001110110110111100110101001101	11101111100001100010111110111001110111110100010010010110011010
00100001100100101010111010110110001100111011000101110100011101	11100011001100110001011101011010110100110110010011010010010010
00100001000100100110111010110111010010000111011100110100111101	11111011000101110010011101011001001110110000000011010011010010
00100001100100101000111010100110001110100110011101110010011111	01100011001101011011011100011001010110110110010001010010110010
10000010100100111110011010110110010010010111001110110110011101	11011001001101111111011101011001100100110001000010010110011010
00100011100100100101101010111111000110110110000100110101011101	11101011000100110011111110011001110100110100000001110111010000
10100001100100000110101010101110000100101111011100100100010101	01101011000101110101101101011011010010110100000011000010010000
10000001000100100000111010100110001110010111000100110110011001	01100011000100111110010101011001100100110100010000010010010010
10100011000100100000111000111110001110011111000111100101001011	11100011000000100110110111011011100100110111010001000110110010
10000011001100100100111010100111001010110101010100100100010101	00101011000100110110011101011001110010111000010000000111010010
00100001001100110110111000110100000110010111000011110110011101	11101011000100101010011101010001100100111111000011010010001010
10100001101100100010011000110110000110111111010011110111111101	11100001000100101111011111011011111110111111000011010010000010
00100011000100100010111010110110001110111101010100110111111001	10100011000100111010010111011011111110110100010011010110010010
10000001000110110010101010111110000110010101010110110110011101	10100011000100111110111101011001100110110101000010010010011100
00000001101000100100111010111110010100011011001100110000001110	11111011000001010001111001011010100100011100000000010010110010
11100001100100110000010010110111000110010111000100110110010110	11100100000100111111011101011001100000010100000001010011111010
10000001100110000010111010010110001110011101000100110110001101	10100011000000111111001101001011100100110100010010010010010110
00000001100101101110011010100110000110111101011110110110111101	00101001101101111011011101011011111110110101000010010010010010
