time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,rewire_side,rewire_phase,rewire_time_s,sabre_trials,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s
3.1113026670063846,absorbing,L,1,0,1655,1866,2,0,2,12,2,2,0.044254374981392175,0.030822667002212256,0.07507704198360443,0.07570649997796863,264,448,2,4,False,False,False,False,264,2,False,512,0.002,,248,0,total_elems,264,448,1,1,,,,0.0,2,4,264,374,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.179252667003311,absorbing,L,2,0,1655,1866,3,0,3,16,1,3,0.032800332992337644,0.03111016604816541,0.06391049904050305,0.0649601670447737,572,464,4,4,False,False,False,False,572,4,False,512,0.002,,248,0,total_elems,572,464,1,1,,,,0.0,4,4,572,448,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.252795334032271,absorbing,R,2,1,1655,1866,3,1,4,8,1,4,0.03718012501485646,0.032909083005506545,0.070089208020363,0.07076750003034249,1596,656,4,4,False,False,False,False,656,4,False,512,0.002,,248,0,total_elems,1596,656,1,1,,,,0.0,4,4,656,460,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3255233750096522,absorbing,R,2,2,1655,1866,3,1,4,8,0,4,0.03527375002158806,0.033445583016145974,0.06871933303773403,0.0694070840254426,1660,1112,4,4,False,False,False,False,1112,4,False,512,0.002,,248,0,total_elems,1660,1112,1,1,,,,0.0,4,4,1112,502,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3982489589834586,absorbing,L,3,2,1655,1866,5,1,6,17,2,6,0.035916084016207606,0.03284412500215694,0.06876020901836455,0.06939345900900662,2524,1936,16,16,False,False,False,False,2524,16,False,512,0.002,,248,0,total_elems,2524,1936,1,1,,,,0.0,16,4,2524,612,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.473378208989743,absorbing,L,4,2,1655,1866,7,1,8,18,2,8,0.03880645800381899,0.03295245801564306,0.07175891601946205,0.07239937502890825,11172,4752,32,16,False,False,False,False,11172,32,False,512,0.002,,248,0,total_elems,11172,4752,1,1,,,,0.0,32,4,11172,872,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.555510709004011,absorbing,R,4,3,1655,1866,7,2,9,6,1,9,0.035584500001277775,0.0423954589641653,0.07797995896544307,0.07891850004671142,16836,22400,32,64,False,False,False,False,22400,64,False,512,0.002,,248,0,total_elems,16836,22400,1,1,,,,0.0,64,4,22400,1000,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.660315749992151,absorbing,R,4,4,1655,1866,7,2,9,8,0,9,0.043541999999433756,0.05727691698120907,0.10081891698064283,0.1014825829770416,32100,32808,64,64,False,False,False,False,32808,64,False,512,0.002,,248,0,total_elems,32100,32808,1,1,,,,0.0,64,4,32808,1180,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.825566459039692,absorbing,L,5,4,1655,1866,7,2,9,19,0,9,0.05854908295441419,0.10254045797046274,0.16108954092487693,0.16200537496479228,56420,104656,64,128,False,False,False,False,56420,64,False,512,0.002,,248,0,total_elems,56420,104656,1,1,,,,0.0,64,4,56420,1460,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.069515167037025,absorbing,L,6,4,1655,1866,8,2,10,18,1,10,0.11134812503587455,0.12792916595935822,0.23927729099523276,0.24014704098226503,107940,139628,128,128,False,False,False,False,107940,128,False,512,0.002,,248,0,total_elems,107940,139628,1,1,,,,0.0,128,4,107940,1968,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
