raw	permuted
01110001010001010010111001100011111100101100111011000011001111	11101100001110100010010111010110011111000001011111001010100101
01110010110111000100001001101001011111001100111011000011110101	11001100001100110011011010010110111100000011101101101011001011
01100001010011000100101001100001101101001100111111010011011110	11101000101110100010011010010110001100000001111101111010100110
00001100110101111100101001000100101111111100111011010111110111	11111010001000010110011010111111001110001011011110110011001111
00000001110101010000101001000011111101101100011111010001010111	11101000101010010010011100010100011110000011011110111010000101
01100000101001010101101001000011011101001100111101000111011111	11101000100100000010011110010111011110000010011101101110110011
01100011010011000100001001000001111111100100111111000011110101	11001000101110000011011010000110011100000001101111101011001111
00000001000101010110101001101101101101101100111011100011011111	11101000001010110010011010010110101111001100011110101010100111
00100001110101011100001000101001111101001100111111000111010111	10001010101010110010011010010111111110000011011101101010000111
00000011110111000010101011000011111101001100011011000011010111	11101000001011010011011100010110011101000011111100101010000101
01001001000111001101011001000001011101101100111111000111001111	11001010101110010010010011110111011100000000111110101110100011
01010001110101001100001001100011101101001100111011000011010111	11001110001110110010011110010110001100000011011100101010000111
01000100110101110001101101100010111101101100101111001001010111	11111001111100110110011110010100010110000011011110100110000101
10100100110111001100001001100010110101101100111011011111010010	11001010011000110110001110010011011100100011111111110010000110
01100101110011000101101001100011001100001100111111000111011011	11101000101110100110001110010111001100000011111101001110100011
00100101110101011100101001000001111101001100111111010011110111	11101010101010010110011010010110011110000011011101111010001111
01100000010111000101001001101011111101001110111111010011011111	11001000101100110010111110010110111100000001111101111110100111
01001000110111011101101001000110111101001100111111100101010001	11101010101100010010001110110101011110001111101100100110000111
11100100010111011010111001100011110101001100111011010011011001	11101010001100110110001111010010011111100001101101111010100101
01000000110001011101001001100101101101001100111111110101000000	11001010101100100010000010010101001110001111001100111110000110
00100001110111010110001101101111111100101100111011001101110011	11001001011010110010001110010101111111001011111111001010001111
01001001110001010101101001000101111111100100101011010011011111	11101000001110000010011010100110010110001011011110111111100111
00100100110101010111001001000011111100001100111111110111110010	11001000101000010110001110010111011111000111011101011110001110
00110100100101011100101001100111111101001100111111011111011111	11101110111000110110011110010111011110001010011101111010100111
00100100110111000100101001001010111101001100111001000111110111	11101000000000010110011110010111111100000011111101100010001111
01100000010011000111001001010101111101101100111101000011010011	11001000100100001010001010010110011101001001111111101110000111
00110000100111110111111001000011010101001100111101100001110101	11111100100000010010011111010000011111000110101101101110001011
01100010110001000101101001100101110100001100101101101011100001	11101000110100100011000010010010010100001111001101001110001111
01000000110001011000111001100001101101101100011101010011010111	11101010100100100010011001010110001110000011011110111010000101
01100000010101000010001000101011111101101100111101011011110111	10001000110100110010011110010110111101000001011111111010001101
01110110110011011100001001000111111100000100111111001101010101	11001110111100000111011110000101011110001011101101001010000111
01110000010011011101101001100001111101011100111101000111010101	11101110100100100010011010011111011110000001101101101110000111
01100001010111100100101001001101111101001100111011101111010011	11111000011110010010001010010111111100001101111101101010000111
01000000010001001100001001000001111100100100111111111111011011	11001010111100000010001010000111011100000101011110011010100111
01100101110101000100101001100011101100001100111011001001000111	11101000011110110110010110010100001100000011011101001010000111
01110001110101000111001001000101100100000100101011100111000101	11001100001110010010010010000011000101001111001101001110000111
00000001110101000101101001100010110101001100111111010011010111	11101000101010110010011110010010011100000011011100110110000111
01110000110101000001101001000011111101001100111011010001010111	11101100001100010010011110010100011100000011011101111110000101
