time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,rewire_side,rewire_phase,rewire_time_s,sabre_trials,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s
3.368354292004369,absorbing,L,1,0,1655,1866,2,0,2,12,2,2,0.040747958002611995,0.030793667014222592,0.07154162501683459,0.07210250000935048,264,448,2,4,False,False,False,False,264,2,False,512,0.0006,,248,0,total_elems,264,448,1,1,,,,0.0,2,4,264,374,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.433942499978002,absorbing,R,1,1,1655,1866,2,1,3,8,1,3,0.030551375006325543,0.030316875025164336,0.06086825003148988,0.06149883399484679,572,464,4,4,False,False,False,False,464,4,False,512,0.0006,,248,0,total_elems,572,464,1,1,,,,0.0,4,4,464,424,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.500009000010323,absorbing,L,2,1,1655,1866,3,1,4,16,1,4,0.032317332981619984,0.029632374993525445,0.06194970797514543,0.06256437499541789,656,956,4,4,False,False,False,False,656,4,False,512,0.0006,,248,0,total_elems,656,956,1,1,,,,0.0,4,4,656,460,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.568616207980085,absorbing,R,2,2,1655,1866,3,1,4,8,0,4,0.03483649995177984,0.029671584023162723,0.06450808397494256,0.06512929202290252,1660,1112,4,4,False,False,False,False,1112,4,False,512,0.0006,,248,0,total_elems,1660,1112,1,1,,,,0.0,4,4,1112,502,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.637624458002392,absorbing,R,2,3,1655,1866,3,2,5,6,1,5,0.033379375003278255,0.03162583301309496,0.06500520801637322,0.06562074995599687,2524,1936,16,16,False,False,False,False,1936,16,False,512,0.0006,,248,0,total_elems,2524,1936,1,1,,,,0.0,16,4,1936,558,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.705036207975354,absorbing,R,2,4,1655,1866,3,2,5,8,0,5,0.03287029196508229,0.030359583033714443,0.06322987499879673,0.06385316699743271,4752,4432,16,16,False,False,False,False,4432,16,False,512,0.0006,,248,0,total_elems,4752,4432,1,1,,,,0.0,16,4,4432,672,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7759734169812873,absorbing,L,3,4,1655,1866,5,2,7,17,2,7,0.03537370800040662,0.031211041030474007,0.06658474903088063,0.06726837501628324,8052,9780,16,16,False,False,False,False,8052,16,False,512,0.0006,,248,0,total_elems,8052,9780,1,1,,,,0.0,16,4,8052,776,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8807417919742875,absorbing,R,3,5,1655,1866,5,2,7,10,0,7,0.06328404200030491,0.03715462499530986,0.10043866699561477,0.10110591602278873,37608,23036,64,64,False,False,False,False,23036,64,False,512,0.0006,,248,0,total_elems,37608,23036,1,1,,,,0.0,64,4,23036,1078,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.076878666994162,absorbing,R,3,6,1655,1866,5,2,7,10,0,7,0.10939879197394475,0.08089054102310911,0.19028933299705386,0.19153004104737192,109456,80444,128,64,False,False,False,False,80444,64,False,512,0.0006,,248,0,total_elems,109456,80444,1,1,,,,0.0,64,4,80444,1414,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.718341167026665,absorbing,L,4,6,1655,1866,7,2,9,18,2,9,0.39439504203619435,0.24183729197829962,0.636232334014494,0.6374424579553306,269840,294496,256,256,False,False,False,False,269840,256,False,512,0.0006,,248,0,total_elems,269840,294496,1,1,,,,0.0,256,4,269840,2098,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.7269098330289125,absorbing,L,5,6,1655,1866,7,2,9,19,0,9,0.3974461670150049,0.6047921249992214,1.0022382920142263,1.0032742079929449,361996,691640,256,256,False,False,False,True,361996,256,False,512,0.0006,,248,0,total_elems,361996,691640,1,1,,,,0.0,256,4,361996,2488,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.169429833011236,absorbing,L,6,6,1655,1866,8,2,10,18,1,10,0.6404332909733057,0.7957502499921247,1.4361835409654304,1.4375370829948224,390116,702356,256,256,False,False,False,True,390116,256,False,512,0.0006,,248,0,total_elems,390116,702356,1,1,,,,0.0,256,4,390116,2904,246,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81.72113512502983,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256,4,265184,3042,246,62,0,both,0,31,31,2,2,36,8,"(390116, 256)","(265184, 256)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99.3565403749817,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,134624,2442,246,62,0,both,1,30,30,2,4,36,8,"(265184, 256)","(134624, 64)",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.54540604201611,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,103904,2250,246,62,0,left,0,31,31,2,6,36,8,"(134624, 64)","(103904, 64)",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.90211500000441,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,86560,2084,246,62,0,left,1,30,30,2,8,36,8,"(103904, 64)","(86560, 64)",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.0890988750034,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,65760,1954,246,62,0,right,0,31,31,2,10,36,8,"(86560, 64)","(65760, 64)",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.01790149998851,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,4,55712,1856,246,62,0,right,1,30,30,2,12,36,8,"(65760, 64)","(55712, 64)",16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.15528691699728,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,40656,1650,246,62,1,both,0,31,31,2,2,36,8,"(55712, 64)","(40656, 32)",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.76832475000992,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,36576,1572,246,62,1,both,1,30,30,2,4,36,8,"(40656, 32)","(36576, 32)",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118.00893187499605,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,32416,1514,246,62,1,left,0,31,31,2,6,36,8,"(36576, 32)","(32416, 32)",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119.29539283300983,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,4,26272,1442,246,62,1,left,1,30,30,2,8,36,8,"(32416, 32)","(26272, 32)",20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.49539237498539,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,24352,1386,246,62,1,right,0,31,31,2,10,36,8,"(26272, 32)","(24352, 16)",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121.58673341700342,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,21280,1338,246,62,1,right,1,30,30,2,12,36,8,"(24352, 16)","(21280, 16)",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123.61489187501138,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,19840,1284,246,62,2,both,0,31,31,2,2,36,8,"(21280, 16)","(19840, 16)",26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125.50870895799017,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,17920,1236,246,62,2,both,1,30,30,2,4,36,8,"(19840, 16)","(17920, 16)",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126.60085645801155,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,17152,1188,246,62,2,left,0,31,31,2,6,36,8,"(17920, 16)","(17152, 16)",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127.63978820800548,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,15360,1148,246,62,2,left,1,30,30,2,8,36,8,"(17152, 16)","(15360, 16)",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128.6426770000253,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,14592,1108,246,62,2,right,0,31,31,2,10,36,8,"(15360, 16)","(14592, 16)",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.66690129198832,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,13056,1060,246,62,2,right,1,30,30,2,12,36,8,"(14592, 16)","(13056, 16)",40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131.501563082973,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,11136,1012,246,62,3,both,0,31,31,2,2,36,8,"(13056, 16)","(11136, 16)",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133.67752949998248,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,9536,972,246,62,3,both,1,30,30,2,4,36,8,"(11136, 16)","(9536, 16)",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134.75469745800365,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,7872,932,246,62,3,left,0,31,31,2,6,36,8,"(9536, 16)","(7872, 16)",44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135.99066499999026,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,6528,884,246,62,3,left,1,30,30,2,8,36,8,"(7872, 16)","(6528, 16)",48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137.12470024998765,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,5760,836,246,62,3,right,0,31,31,2,10,36,8,"(6528, 16)","(5760, 16)",50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138.116521708027,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,4992,788,246,62,3,right,1,30,30,2,12,36,8,"(5760, 16)","(4992, 16)",54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.07951108302223,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,4672,772,246,62,4,both,0,31,31,2,2,36,8,"(4992, 16)","(4672, 16)",56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142.298965999973,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4032,736,246,62,4,both,1,30,30,2,4,36,8,"(4672, 16)","(4032, 8)",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143.49069833301473,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4032,736,246,62,4,left,0,31,31,0,4,36,8,"(4032, 8)","(4032, 8)",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.49015641701408,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4032,736,246,62,4,left,1,30,30,0,4,36,8,"(4032, 8)","(4032, 8)",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.27718937501777,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,4032,736,246,62,4,right,0,31,31,0,4,36,8,"(4032, 8)","(4032, 8)",58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.04336695797974,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3840,724,246,62,4,right,1,30,30,1,5,36,8,"(4032, 8)","(3840, 8)",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.5909632500261,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3600,712,246,62,5,both,0,31,31,2,2,36,8,"(3840, 8)","(3600, 8)",60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149.329087332997,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3424,700,246,62,5,both,1,30,30,2,4,36,8,"(3600, 8)","(3424, 8)",64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150.3631939580082,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3376,696,246,62,5,left,0,31,31,1,5,36,8,"(3424, 8)","(3376, 8)",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151.32970345800277,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3220,684,246,62,5,left,1,30,30,2,7,36,8,"(3376, 8)","(3220, 8)",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152.2117820000276,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3184,678,246,62,5,right,0,31,31,1,8,36,8,"(3220, 8)","(3184, 8)",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.06469241698505,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3124,672,246,62,5,right,1,30,30,1,9,36,8,"(3184, 8)","(3124, 8)",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154.65547879197402,unswapping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,4,3016,662,246,62,6,both,0,31,31,2,2,36,8,"(3124, 8)","(3016, 8)",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
