time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s,termination_reason,termination_detail,stall_mode,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.2612124169827439,rewiring,left,initial,0.20490608300315216,239,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.49190304201329127,rewiring,right,initial,0.2303944579907693,249,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5580012919963337,absorbing,,,,,,,L,1,0,237,247,4,0,4,5,4,4,0.03371049999259412,0.01877870800672099,0.05248920799931511,0.052869792038109154,256,280,4,4,False,False,False,False,256,4,False,512,0.0006,,160,0,total_elems,256,280,1,1,,,,0.0,4,4,256,262,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6035724169923924,absorbing,,,,,,,R,1,1,237,247,4,0,4,5,0,4,0.023544875031802803,0.01869591703871265,0.042240792070515454,0.04267895797966048,592,388,4,4,False,False,False,False,388,4,False,512,0.0006,,160,0,total_elems,592,388,1,1,,,,0.0,4,4,388,286,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6491333330050111,absorbing,,,,,,,R,1,2,237,247,4,0,4,5,0,4,0.02345258300192654,0.018637500004842877,0.04209008300676942,0.042524208955001086,796,628,4,4,False,False,False,False,628,4,False,512,0.0006,,160,0,total_elems,796,628,1,1,,,,0.0,4,4,628,310,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6962791249970905,absorbing,,,,,,,L,2,2,237,247,7,0,7,4,3,7,0.023545958974864334,0.020090749952942133,0.04363670892780647,0.044141999969724566,976,1516,4,16,False,False,False,False,976,4,False,512,0.0006,,160,0,total_elems,976,1516,1,1,,,,0.0,4,4,976,352,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7441013749921694,absorbing,,,,,,,L,3,2,237,247,10,0,10,5,3,10,0.024872415990103036,0.01925587496953085,0.04412829095963389,0.04459291702369228,1192,1900,4,16,False,False,False,False,1192,4,False,512,0.0006,,160,0,total_elems,1192,1900,1,1,,,,0.0,4,4,1192,370,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.788739292009268,absorbing,,,,,,,L,4,2,237,247,12,0,12,6,2,12,0.02264662500238046,0.018461708968970925,0.041108333971351385,0.04152666701702401,1696,2116,16,16,False,False,False,False,1696,16,False,512,0.0006,,160,0,total_elems,1696,2116,1,1,,,,0.0,16,4,1696,406,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8371535419719294,absorbing,,,,,,,R,4,3,237,247,12,0,12,4,0,12,0.024902709003072232,0.02021275000879541,0.04511545901186764,0.0456014170194976,3616,3196,16,16,False,False,False,False,3196,16,False,512,0.0006,,160,0,total_elems,3616,3196,1,1,,,,0.0,16,4,3196,466,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8909845000016503,absorbing,,,,,,,L,5,3,237,247,15,0,15,6,3,15,0.02645250002387911,0.023677250021137297,0.05012975004501641,0.050605750002432615,5116,5176,16,16,False,False,False,False,5116,16,False,512,0.0006,,160,0,total_elems,5116,5176,1,1,,,,0.0,16,4,5116,550,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
