time,stage,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,rewire_side,rewire_phase,rewire_time_s,sabre_trials,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s
0.532029792026151,absorbing,L,1,0,237,247,4,0,4,5,4,4,0.03768279094947502,0.019107834028545767,0.05679062497802079,0.05718570901080966,256,280,4,4,False,False,False,False,256,4,False,512,0.0006,,160,0,total_elems,256,280,1,1,,,,0.0,4,4,256,262,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5787974590202793,absorbing,R,1,1,237,247,4,0,4,5,0,4,0.024027167004533112,0.019656167016364634,0.043683334020897746,0.04416958399815485,592,388,4,4,False,False,False,False,388,4,False,512,0.0006,,160,0,total_elems,592,388,1,1,,,,0.0,4,4,388,286,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6256650420255028,absorbing,R,1,2,237,247,4,0,4,5,0,4,0.02433995803585276,0.0193591249990277,0.04369908303488046,0.044144249986857176,796,628,4,4,False,False,False,False,628,4,False,512,0.0006,,160,0,total_elems,796,628,1,1,,,,0.0,4,4,628,310,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6735484999953769,absorbing,L,2,2,237,247,7,0,7,4,3,7,0.024438209016807377,0.01979241700610146,0.04423062602290884,0.04469045897712931,976,1516,4,16,False,False,False,False,976,4,False,512,0.0006,,160,0,total_elems,976,1516,1,1,,,,0.0,4,4,976,352,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7234273750218563,absorbing,L,3,2,237,247,10,0,10,5,3,10,0.025873041013255715,0.019922791980206966,0.04579583299346268,0.04624737496487796,1192,1900,4,16,False,False,False,False,1192,4,False,512,0.0006,,160,0,total_elems,1192,1900,1,1,,,,0.0,4,4,1192,370,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7699073340045288,absorbing,L,4,2,237,247,12,0,12,6,2,12,0.023301958048250526,0.0194046669639647,0.04270662501221523,0.04314945900114253,1696,2116,16,16,False,False,False,False,1696,16,False,512,0.0006,,160,0,total_elems,1696,2116,1,1,,,,0.0,16,4,1696,406,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8193428750382736,absorbing,R,4,3,237,247,12,0,12,4,0,12,0.02499504102161154,0.021032333024777472,0.046027374046389014,0.04651329101761803,3616,3196,16,16,False,False,False,False,3196,16,False,512,0.0006,,160,0,total_elems,3616,3196,1,1,,,,0.0,16,4,3196,466,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.8754078750498593,absorbing,L,5,3,237,247,15,0,15,6,3,15,0.027757625037338585,0.024420083966106176,0.05217770900344476,0.05271966598229483,5116,5176,16,16,False,False,False,False,5116,16,False,512,0.0006,,160,0,total_elems,5116,5176,1,1,,,,0.0,16,4,5116,550,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.930851542041637,absorbing,R,5,4,237,247,15,2,17,3,2,17,0.027980916027445346,0.023896082944702357,0.0518769989721477,0.05234412499703467,10168,7096,16,16,False,False,False,False,7096,16,False,512,0.0006,,160,0,total_elems,10168,7096,1,1,,,,0.0,16,4,7096,604,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9899578340118751,absorbing,L,6,4,237,247,19,2,21,5,4,21,0.030199208005797118,0.02473483298672363,0.05493404099252075,0.05539483396569267,12724,14320,16,64,False,False,False,False,12724,16,False,512,0.0006,,160,0,total_elems,12724,14320,1,1,,,,0.0,16,4,12724,742,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.047341875033453,absorbing,R,6,5,237,247,19,3,22,4,1,22,0.027456958021502942,0.02589516603620723,0.05335212405771017,0.05382354196626693,19720,18988,64,64,False,False,False,False,18988,64,False,512,0.0006,,160,0,total_elems,19720,18988,1,1,,,,0.0,64,4,18988,850,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1135567500023171,absorbing,L,7,5,237,247,21,3,24,8,2,24,0.02874662500107661,0.03348637500312179,0.0622330000041984,0.06272362498566508,26020,34728,64,64,False,False,False,False,26020,64,False,512,0.0006,,160,0,total_elems,26020,34728,1,1,,,,0.0,64,4,26020,1006,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2002877500490285,absorbing,R,7,6,237,247,21,4,25,4,1,25,0.04764258401701227,0.03478158405050635,0.08242416806751862,0.08298445801483467,60292,41760,64,64,False,False,False,False,41760,64,False,512,0.0006,,160,0,total_elems,60292,41760,1,1,,,,0.0,64,4,41760,1116,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3097529590013437,absorbing,R,7,7,237,247,21,6,27,3,2,27,0.06196004099911079,0.04343162500299513,0.10539166600210592,0.10607154096942395,60672,57792,64,64,False,False,False,False,57792,64,False,512,0.0006,,160,0,total_elems,60672,57792,1,1,,,,0.0,64,4,57792,1242,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.453555417014286,absorbing,R,7,8,237,247,21,6,27,4,0,27,0.0991162919672206,0.040643292013555765,0.13975958398077637,0.1403300830279477,76704,58752,64,64,False,False,False,False,58752,64,False,512,0.0006,,160,0,total_elems,76704,58752,1,1,,,,0.0,64,4,58752,1266,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.601669416995719,absorbing,R,7,9,237,247,21,8,29,3,2,29,0.09759974997723475,0.0462497080443427,0.14384945802157745,0.14442324999254197,78048,62976,64,64,False,False,False,False,62976,64,False,512,0.0006,,160,0,total_elems,78048,62976,1,1,,,,0.0,64,4,62976,1344,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7638731670449488,absorbing,R,7,10,237,247,21,8,29,5,0,29,0.11149837501579896,0.046070292009972036,0.157568667025771,0.15865383396157995,83104,67584,64,64,False,False,False,False,67584,64,False,512,0.0006,,160,0,total_elems,83104,67584,1,1,,,,0.0,64,4,67584,1470,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9303791670245118,absorbing,R,7,11,237,247,21,11,32,1,3,32,0.10657866700785235,0.0547613330418244,0.16134000004967675,0.16230849997373298,88032,75072,64,64,False,False,False,False,75072,64,False,512,0.0006,,160,0,total_elems,88032,75072,1,1,,,,0.0,64,4,75072,1570,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0888550000381656,absorbing,R,7,12,237,247,21,13,34,2,2,34,0.10117416601860896,0.05243466701358557,0.15360883303219453,0.15423133299918845,95520,75072,64,64,False,False,False,False,75072,64,False,512,0.0006,,160,0,total_elems,95520,75072,1,1,,,,0.0,64,4,75072,1570,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.261068375024479,absorbing,R,7,13,237,247,21,14,35,2,1,35,0.11445462499978021,0.05198220902821049,0.1664368340279907,0.16746145795332268,101664,74112,64,64,False,False,False,False,74112,64,False,512,0.0006,,160,0,total_elems,101664,74112,1,1,,,,0.0,64,4,74112,1546,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4216759169939905,absorbing,R,7,14,237,247,21,16,37,2,2,37,0.10555229103192687,0.05028237501392141,0.15583466604584828,0.15654024999821559,100704,73728,64,64,False,False,False,False,73728,64,False,512,0.0006,,160,0,total_elems,100704,73728,1,1,,,,0.0,64,4,73728,1522,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.584540667012334,absorbing,R,7,15,237,247,21,16,37,3,0,37,0.10874312499072403,0.0487873749807477,0.15753049997147173,0.15821424999739975,99744,83328,64,64,False,False,False,False,83328,64,False,512,0.0006,,160,0,total_elems,99744,83328,1,1,,,,0.0,64,4,83328,1642,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7759947089944035,absorbing,L,8,15,237,247,24,16,40,5,3,40,0.1086811670102179,0.07762262504547834,0.18630379205569625,0.18715158302802593,109920,132864,64,116,False,False,False,False,109920,64,False,512,0.0006,,160,0,total_elems,109920,132864,1,1,,,,0.0,64,4,109920,1936,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9693384999991395,absorbing,L,9,15,237,247,27,16,43,3,3,43,0.09664212499046698,0.09182104101637378,0.18846316600684077,0.1889904999989085,118560,158496,64,116,False,False,False,False,118560,64,False,512,0.0006,,160,0,total_elems,118560,158496,1,1,,,,0.0,64,4,118560,2080,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2240007090149447,absorbing,L,10,15,237,247,30,16,46,2,3,46,0.08734195900615305,0.16213933401741087,0.24948129302356392,0.25003070797538385,141024,167136,64,116,False,False,False,False,141024,64,False,512,0.0006,,160,0,total_elems,141024,167136,1,1,,,,0.0,64,4,141024,2296,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4895273339934647,absorbing,R,10,16,237,247,30,17,47,5,1,47,0.1532746670418419,0.10694133304059505,0.26021600008243695,0.26097008399665356,279264,183456,256,116,False,False,False,False,183456,116,False,512,0.0006,,160,0,total_elems,279264,183456,1,1,,,,0.0,116,4,183456,2488,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8938674590317532,absorbing,L,11,16,237,247,32,17,49,5,2,49,0.18212387501262128,0.21598787500988692,0.3981117500225082,0.39911466697230935,320160,362016,256,250,False,False,False,False,320160,256,False,512,0.0006,,160,0,total_elems,320160,362016,1,1,,,,0.0,256,4,320160,3056,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
