time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,late_gate_beam_plan_id,late_gate_beam_preferred_side,late_gate_beam_plan_remaining,flip_freq_active,flip_schedule,flip_schedule_switch_gate,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,new_swap_pairs,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,cycle_memory_enabled,cycle_memory_repeat,cycle_memory_repeat_of,cycle_memory_tabu_pairs,work_counters,perm_left,perm_right,next_left,next_right,bond_profile_coarse,routing_state_hash,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_lookahead,parallel_route_candidates,route_candidate_workers,route_chosen_seed,route_score_value,route_score_time_s,route_rewire_time_s,route_candidate_scores,route_total_time_s,rewire_wall_time_s,termination_reason,termination_detail,stall_mode,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.17682575003709644,rewiring,left,initial,0.1397242079838179,256,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3191307500237599,rewiring,right,initial,0.1421714579919353,247,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.3690390410483815,absorbing,,,,,,,L,1,0,254,245,4,0,4,3,4,4,0.02541045896941796,0.014268833969254047,0.039679292938672006,0.03997733298456296,256,280,4,4,False,False,False,False,256,4,False,512,0.0006,,160,0,total_elems,256,280,1,1,,,,0.0,,,,2,"[2, 4]",760,4,4,256,262,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40384720801375806,absorbing,,,,,,,L,2,0,254,245,6,0,6,5,2,6,0.01724370796000585,0.0141671669553034,0.03141087491530925,0.0317587080062367,448,388,4,4,False,False,False,False,448,4,False,512,0.0006,,160,0,total_elems,448,388,1,1,,,,0.0,,,,2,"[2, 4]",760,4,4,448,292,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.43949662504019216,absorbing,,,,,,,R,2,1,254,245,6,0,6,5,0,6,0.018975916027557105,0.014565416960977018,0.03354133298853412,0.03391708299750462,748,652,4,4,False,False,False,False,652,4,False,512,0.0006,,160,0,total_elems,748,652,1,1,,,,0.0,,,,2,"[2, 4]",760,4,4,652,316,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4743098330218345,absorbing,,,,,,,R,2,2,254,245,6,0,6,4,0,6,0.018475707969628274,0.0142665000166744,0.032742207986302674,0.033064500021282583,988,772,4,4,False,False,False,False,772,4,False,512,0.0006,,160,0,total_elems,988,772,1,1,,,,0.0,,,,2,"[2, 4]",760,4,4,772,328,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5089920409955084,absorbing,,,,,,,L,3,2,254,245,10,0,10,4,4,10,0.01830937503837049,0.014217583986464888,0.03252695902483538,0.03284704202087596,1108,1660,4,16,False,False,False,False,1108,4,False,512,0.0006,,160,0,total_elems,1108,1660,1,1,,,,0.0,,,,2,"[2, 4]",760,4,4,1108,358,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5423289160244167,absorbing,,,,,,,L,4,2,254,245,12,0,12,5,2,12,0.016937959007918835,0.01429116603685543,0.031229125044774264,0.031556083005853,1672,1996,16,16,False,False,False,False,1672,16,False,512,0.0006,,160,0,total_elems,1672,1996,1,1,,,,0.0,,,,2,"[2, 4]",760,16,4,1672,400,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.57751625002129,absorbing,,,,,,,R,4,3,254,245,12,0,12,4,0,12,0.018430791969876736,0.014600957976654172,0.03303174994653091,0.033365749986842275,3592,3136,16,16,False,False,False,False,3136,16,False,512,0.0006,,160,0,total_elems,3592,3136,1,1,,,,0.0,,,,2,"[2, 4]",760,16,4,3136,460,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6154885000432841,absorbing,,,,,,,R,4,4,254,245,12,2,14,3,2,14,0.018877916038036346,0.016785082989372313,0.03566299902740866,0.03600591601571068,5056,5176,16,16,False,False,False,False,5176,16,False,512,0.0006,,160,0,total_elems,5056,5176,1,1,,,,0.0,,,,2,"[2, 4]",760,16,4,5176,520,158,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
