time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s,termination_reason,termination_detail,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
1.7319098750012927,rewiring,left,initial,1.556642165989615,1355,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.36433162499452,rewiring,right,initial,1.6322332920390181,1561,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4582107920432463,absorbing,,,,,,,L,1,0,1353,1559,0,0,0,11,0,0,0.045234541001264006,0.030071458022575825,0.07530599902383983,0.07592516602016985,224,512,1,4,False,False,False,False,224,1,False,512,0.0015,,224,0,total_elems,224,512,1,1,,,,0.0,1,4,224,334,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.522912292042747,absorbing,,,,,,,R,1,1,1353,1559,0,0,0,12,0,0,0.030909750028513372,0.02939045795938,0.06030020798789337,0.0609213340212591,520,512,4,4,False,False,False,False,512,4,False,512,0.0015,,224,0,total_elems,520,512,1,1,,,,0.0,4,4,512,406,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5892794580431655,absorbing,,,,,,,L,2,1,1353,1559,1,0,1,11,1,1,0.031106334005016834,0.031236791983246803,0.06234312598826364,0.06295158300781623,844,1168,4,4,False,False,False,False,844,4,False,512,0.0015,,224,0,total_elems,844,1168,1,1,,,,0.0,4,4,844,450,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.655800958047621,absorbing,,,,,,,R,2,2,1353,1559,1,1,2,10,1,2,0.031224083970300853,0.0314781250199303,0.06270220899023116,0.0633105409797281,1864,1456,16,4,False,False,False,False,1456,4,False,512,0.0015,,224,0,total_elems,1864,1456,1,1,,,,0.0,4,4,1456,504,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7193334579933435,absorbing,,,,,,,L,3,2,1353,1559,1,1,2,14,0,2,0.031396750011481345,0.02800429199123755,0.059401042002718896,0.06003574997885153,2464,2732,16,16,False,False,False,False,2464,16,False,512,0.0015,,224,0,total_elems,2464,2732,1,1,,,,0.0,16,4,2464,576,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.782465292024426,absorbing,,,,,,,R,3,3,1353,1559,1,1,2,13,0,2,0.03120845800731331,0.028054916008841246,0.05926337401615456,0.05987904197536409,5280,4316,16,16,False,False,False,False,4316,16,False,512,0.0015,,224,0,total_elems,5280,4316,1,1,,,,0.0,16,4,4316,700,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.845455167000182,absorbing,,,,,,,R,3,4,1353,1559,1,1,2,13,0,2,0.029927791969384998,0.02897612500237301,0.05890391697175801,0.05951575003564358,10116,9464,16,16,False,False,False,False,9464,16,False,512,0.0015,,224,0,total_elems,10116,9464,1,1,,,,0.0,16,4,9464,844,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.913958500023,absorbing,,,,,,,R,3,5,1353,1559,1,1,2,13,0,2,0.03452108398778364,0.029991290997713804,0.06451237498549744,0.06510566599899903,26420,13496,64,16,False,False,False,False,13496,16,False,512,0.0015,,224,0,total_elems,26420,13496,1,1,,,,0.0,16,4,13496,988,222,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
