time,stage,rewire_side,rewire_phase,rewire_time_s,remaining_layers_before_rewire,parallel_rewire,adaptive_parallel_rewire,absorb_side,it_left,it_right,layers_left,layers_right,u_consumed_total_left,u_consumed_total_right,u_consumed_total,swap_consumed,u_consumed,u_consumed_after_unswap,probe_left_time_s,probe_right_time_s,probe_total_time_s,probe_wall_time_s,probe_left_total_elems,probe_right_total_elems,probe_left_max_bond,probe_right_max_bond,probe_left_hit_max_bond,probe_right_hit_max_bond,probe_left_over_unswap_threshold,probe_right_over_unswap_threshold,selected_total_elems,selected_max_bond,selected_hit_max_bond,compression_max_bond_limit,compression_cutoff,unswap_trigger_max_bond,cycle_start_total_elems,no_progress_unswap_cycles,absorb_score_mode,probe_left_score,probe_right_score,absorb_lookahead_depth,absorb_lookahead_depth_used,absorb_lookahead_candidates,absorb_lookahead_choice,absorb_lookahead_score,absorb_lookahead_time_s,late_gate_beam_plan_id,late_gate_beam_preferred_side,late_gate_beam_plan_remaining,flip_freq_active,flip_schedule,flip_schedule_switch_gate,max_bond,max_links,total_elems,total_shapes,total_links,num_tensors,iteration,side,parity,candidate_pairs,candidate_pairs_total,new_swaps,new_swap_pairs,total_swaps,pair_lookahead_probes,pair_lookahead_candidates,pair_lookahead_current_score,pair_lookahead_best_score,alignment_score,route_proxy_weight,route_proxy_lookahead,route_proxy_rejected_swaps,route_proxy_added_swaps,alignment_weight,alignment_protect_gain,alignment_tie_loss,unswap_cycle,unswap_cycle_time_s,gates_consumed,total_work_gates,remaining_work_gates,cycle_gates_consumed,hit_max_bond,cycle_memory_enabled,cycle_memory_repeat,cycle_memory_repeat_of,cycle_memory_tabu_pairs,work_counters,perm_left,perm_right,next_left,next_right,bond_profile_coarse,routing_state_hash,sabre_trials,adaptive_parallel_rewire_probed,cycle_work_consumed_before_rewire,route_candidates,route_score,route_score_time_s,route_chosen_seed,route_rewire_time_s,rewire_wall_time_s,termination_reason,termination_detail,abort_after_no_progress_unswap_cycles,initial_rewire_time_s,initial_rewire_wall_time_s,post_unswap_rewire_time_s,post_unswap_rewire_wall_time_s,absorb_probe_time_s,absorb_probe_wall_time_s,unswap_time_s,accounted_time_s,accounted_wall_time_s
0.5885960419545881,rewiring,left,initial,0.5008230000385083,597,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9855319169582799,rewiring,right,initial,0.39669587498065084,634,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.061091999989003,absorbing,,,,,,,L,1,0,595,632,0,0,0,9,0,0,0.03322225000010803,0.02723720797803253,0.06045945797814056,0.060911958978977054,176,376,1,4,False,False,False,False,176,1,False,512,0.0006,,176,0,total_elems,176,376,1,1,,,,0.0,,,,,,,1,4,176,262,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1207198330084793,absorbing,,,,,,,R,1,1,595,632,0,2,2,7,2,2,0.029609583027195185,0.026363999990280718,0.0559735830174759,0.05651541595580056,508,376,4,4,False,False,False,False,376,4,False,512,0.0006,,176,0,total_elems,508,376,1,1,,,,0.0,,,,,,,4,4,376,312,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.17759912495967,absorbing,,,,,,,L,2,1,595,632,2,2,4,8,2,4,0.029174832976423204,0.023618125007487833,0.05279295798391104,0.05337137501919642,780,868,4,4,False,False,False,False,780,4,False,512,0.0006,,176,0,total_elems,780,868,1,1,,,,0.0,,,,,,,4,4,780,362,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2295955829904415,absorbing,,,,,,,L,3,1,595,632,2,2,4,9,0,4,0.024378375033847988,0.023866750008892268,0.048245125042740256,0.04878166696289554,1140,1320,4,8,False,False,False,False,1140,4,False,512,0.0006,,176,0,total_elems,1140,1320,1,1,,,,0.0,,,,,,,4,4,1140,398,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2807535419706255,absorbing,,,,,,,R,3,2,595,632,2,2,4,8,0,4,0.023586583032738417,0.02349499997217208,0.0470815830049105,0.047778792039025575,2484,1968,16,16,False,False,False,False,1968,16,False,512,0.0006,,176,0,total_elems,2484,1968,1,1,,,,0.0,,,,,,,16,4,1968,458,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3346355829853565,absorbing,,,,,,,R,3,3,595,632,2,3,5,10,1,5,0.02441866701701656,0.02563129097688943,0.05004995799390599,0.05058675003238022,4788,3220,16,16,False,False,False,False,3220,16,False,512,0.0006,,176,0,total_elems,4788,3220,1,1,,,,0.0,,,,,,,16,4,3220,528,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.398003082955256,absorbing,,,,,,,L,4,3,595,632,2,3,5,10,0,5,0.025524709024466574,0.03355762496357784,0.05908233398804441,0.059687667002435774,6352,7476,16,16,False,False,False,False,6352,16,False,512,0.0006,,176,0,total_elems,6352,7476,1,1,,,,0.0,,,,,,,16,4,6352,626,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4595849170000292,absorbing,,,,,,,R,4,4,595,632,2,4,6,9,1,6,0.027758165961131454,0.02951858303276822,0.05727674899389967,0.05783866695128381,15280,14512,64,43,False,False,False,False,14512,43,False,512,0.0006,,176,0,total_elems,15280,14512,1,1,,,,0.0,,,,,,,43,4,14512,854,174,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
