model,shots,error_rate,seed,method,unique_strings,exact_recovery,correct_bits,percentage_correct,hamming_distance,runtime_seconds,bootstrap_exact_stability,bootstrap_stable_bits
independent,50,0.01,12345,most_frequent,28,True,98,100.0,0,0.00030487500043818727,1.0,98
independent,50,0.01,12345,bitwise_majority,28,True,98,100.0,0,0.0005302499994286336,1.0,98
independent,50,0.01,12345,weighted_observed_medoid,28,True,98,100.0,0,0.0004789580016222317,1.0,98
independent,50,0.01,12345,cluster_consensus,28,True,98,100.0,0,0.0013530840005842037,1.0,98
independent,100,0.01,12346,most_frequent,56,True,98,100.0,0,0.00035766700239037164,1.0,98
independent,100,0.01,12346,bitwise_majority,56,True,98,100.0,0,0.0004302080014895182,1.0,98
independent,100,0.01,12346,weighted_observed_medoid,56,True,98,100.0,0,0.0007412080012727529,1.0,98
independent,100,0.01,12346,cluster_consensus,56,True,98,100.0,0,0.0008390410002903081,1.0,98
independent,250,0.01,12347,most_frequent,126,True,98,100.0,0,0.0007701249996898696,1.0,98
independent,250,0.01,12347,bitwise_majority,126,True,98,100.0,0,0.0008769589985604398,1.0,98
independent,250,0.01,12347,weighted_observed_medoid,126,True,98,100.0,0,0.00544524999713758,1.0,98
independent,250,0.01,12347,cluster_consensus,126,True,98,100.0,0,0.0017549580006743781,1.0,98
independent,500,0.01,12348,most_frequent,220,True,98,100.0,0,0.0015074170005391352,1.0,98
independent,500,0.01,12348,bitwise_majority,220,True,98,100.0,0,0.0013804999980493449,1.0,98
independent,500,0.01,12348,weighted_observed_medoid,220,True,98,100.0,0,0.0044077919992560055,1.0,98
independent,500,0.01,12348,cluster_consensus,220,True,98,100.0,0,0.0030337919997691642,1.0,98
independent,1000,0.01,12349,most_frequent,330,True,98,100.0,0,0.0019286669994471595,1.0,98
independent,1000,0.01,12349,bitwise_majority,330,True,98,100.0,0,0.0019467499987513293,1.0,98
independent,1000,0.01,12349,weighted_observed_medoid,330,True,98,100.0,0,0.0043624579993775114,1.0,98
independent,1000,0.01,12349,cluster_consensus,330,True,98,100.0,0,0.004449915999430232,1.0,98
