HEADER	schema_id	labeled
HEADER	schema_version	2.1
START
METADATA	entry_point
METADATA	qir_profiles	custom
METADATA	required_num_qubits	40
METADATA	required_num_results	40
OUTPUT	RESULT	1	m016[0]
OUTPUT	RESULT	0	m018[0]
OUTPUT	RESULT	1	m019[0]
OUTPUT	RESULT	1	m024[0]
OUTPUT	RESULT	1	m026[0]
OUTPUT	RESULT	1	m037[0]
OUTPUT	RESULT	1	m039[0]
OUTPUT	RESULT	1	m004[0]
OUTPUT	RESULT	1	m009[0]
OUTPUT	RESULT	1	m010[0]
OUTPUT	RESULT	1	m017[0]
OUTPUT	RESULT	0	m025[0]
OUTPUT	RESULT	1	m031[0]
OUTPUT	RESULT	1	m032[0]
OUTPUT	RESULT	0	m036[0]
OUTPUT	RESULT	1	m038[0]
OUTPUT	RESULT	0	m003[0]
OUTPUT	RESULT	0	m000[0]
OUTPUT	RESULT	1	m007[0]
OUTPUT	RESULT	0	m008[0]
OUTPUT	RESULT	1	m015[0]
OUTPUT	RESULT	1	m023[0]
OUTPUT	RESULT	0	m033[0]
OUTPUT	RESULT	1	m035[0]
OUTPUT	RESULT	1	m001[0]
OUTPUT	RESULT	1	m002[0]
OUTPUT	RESULT	0	m005[0]
OUTPUT	RESULT	1	m006[0]
OUTPUT	RESULT	1	m011[0]
OUTPUT	RESULT	1	m012[0]
OUTPUT	RESULT	1	m013[0]
OUTPUT	RESULT	0	m014[0]
OUTPUT	RESULT	1	m020[0]
OUTPUT	RESULT	1	m021[0]
OUTPUT	RESULT	0	m022[0]
OUTPUT	RESULT	1	m027[0]
OUTPUT	RESULT	1	m028[0]
OUTPUT	RESULT	0	m029[0]
OUTPUT	RESULT	0	m030[0]
OUTPUT	RESULT	0	m034[0]
END	0
START
OUTPUT	RESULT	0	m016[0]
OUTPUT	RESULT	0	m018[0]
OUTPUT	RESULT	1	m019[0]
OUTPUT	RESULT	1	m024[0]
OUTPUT	RESULT	0	m026[0]
OUTPUT	RESULT	1	m037[0]
OUTPUT	RESULT	0	m039[0]
OUTPUT	RESULT	1	m004[0]
OUTPUT	RESULT	0	m009[0]
OUTPUT	RESULT	1	m010[0]
OUTPUT	RESULT	0	m017[0]
OUTPUT	RESULT	0	m025[0]
OUTPUT	RESULT	0	m031[0]
OUTPUT	RESULT	0	m032[0]
OUTPUT	RESULT	1	m036[0]
OUTPUT	RESULT	1	m038[0]
OUTPUT	RESULT	0	m003[0]
OUTPUT	RESULT	0	m000[0]
OUTPUT	RESULT	1	m007[0]
OUTPUT	RESULT	1	m008[0]
OUTPUT	RESULT	1	m015[0]
OUTPUT	RESULT	1	m023[0]
OUTPUT	RESULT	0	m033[0]
OUTPUT	RESULT	0	m035[0]
OUTPUT	RESULT	1	m001[0]
OUTPUT	RESULT	0	m002[0]
OUTPUT	RESULT	0	m005[0]
OUTPUT	RESULT	1	m006[0]
OUTPUT	RESULT	0	m011[0]
OUTPUT	RESULT	1	m012[0]
OUTPUT	RESULT	0	m013[0]
OUTPUT	RESULT	0	m014[0]
OUTPUT	RESULT	0	m020[0]
OUTPUT	RESULT	0	m021[0]
OUTPUT	RESULT	1	m022[0]
OUTPUT	RESULT	1	m027[0]
OUTPUT	RESULT	0	m028[0]
OUTPUT	RESULT	1	m029[0]
OUTPUT	RESULT	0	m030[0]
OUTPUT	RESULT	1	m034[0]
END	0
START
OUTPUT	RESULT	0	m016[0]
OUTPUT	RESULT	0	m018[0]
OUTPUT	RESULT	0	m019[0]
OUTPUT	RESULT	1	m024[0]
OUTPUT	RESULT	0	m026[0]
OUTPUT	RESULT	0	m037[0]
OUTPUT	RESULT	0	m039[0]
OUTPUT	RESULT	1	m004[0]
OUTPUT	RESULT	0	m009[0]
OUTPUT	RESULT	0	m010[0]
OUTPUT	RESULT	1	m017[0]
OUTPUT	RESULT	1	m025[0]
OUTPUT	RESULT	0	m031[0]
OUTPUT	RESULT	1	m032[0]
OUTPUT	RESULT	0	m036[0]
OUTPUT	RESULT	0	m038[0]
OUTPUT	RESULT	1	m003[0]
OUTPUT	RESULT	0	m000[0]
OUTPUT	RESULT	0	m007[0]
OUTPUT	RESULT	1	m008[0]
OUTPUT	RESULT	1	m015[0]
OUTPUT	RESULT	1	m023[0]
OUTPUT	RESULT	0	m033[0]
OUTPUT	RESULT	1	m035[0]
OUTPUT	RESULT	0	m001[0]
OUTPUT	RESULT	1	m002[0]
OUTPUT	RESULT	0	m005[0]
OUTPUT	RESULT	1	m006[0]
OUTPUT	RESULT	1	m011[0]
OUTPUT	RESULT	1	m012[0]
OUTPUT	RESULT	1	m013[0]
OUTPUT	RESULT	1	m014[0]
OUTPUT	RESULT	0	m020[0]
OUTPUT	RESULT	0	m021[0]
OUTPUT	RESULT	0	m022[0]
OUTPUT	RESULT	1	m027[0]
OUTPUT	RESULT	0	m028[0]
OUTPUT	RESULT	1	m029[0]
OUTPUT	RESULT	0	m030[0]
OUTPUT	RESULT	1	m034[0]
END	0
START
OUTPUT	RESULT	1	m016[0]
OUTPUT	RESULT	1	m018[0]
OUTPUT	RESULT	1	m019[0]
OUTPUT	RESULT	0	m024[0]
OUTPUT	RESULT	1	m026[0]
OUTPUT	RESULT	1	m037[0]
OUTPUT	RESULT	1	m039[0]
OUTPUT	RESULT	1	m004[0]
OUTPUT	RESULT	0	m009[0]
OUTPUT	RESULT	1	m010[0]
OUTPUT	RESULT	1	m017[0]
OUTPUT	RESULT	1	m025[0]
OUTPUT	RESULT	1	m031[0]
OUTPUT	RESULT	0	m032[0]
OUTPUT	RESULT	1	m036[0]
OUTPUT	RESULT	1	m038[0]
OUTPUT	RESULT	1	m003[0]
OUTPUT	RESULT	0	m000[0]
OUTPUT	RESULT	1	m007[0]
OUTPUT	RESULT	0	m008[0]
OUTPUT	RESULT	0	m015[0]
OUTPUT	RESULT	0	m023[0]
OUTPUT	RESULT	1	m033[0]
OUTPUT	RESULT	0	m035[0]
OUTPUT	RESULT	0	m001[0]
OUTPUT	RESULT	0	m002[0]
OUTPUT	RESULT	1	m005[0]
OUTPUT	RESULT	1	m006[0]
OUTPUT	RESULT	0	m011[0]
OUTPUT	RESULT	0	m012[0]
OUTPUT	RESULT	1	m013[0]
OUTPUT	RESULT	1	m014[0]
OUTPUT	RESULT	1	m020[0]
OUTPUT	RESULT	1	m021[0]
OUTPUT	RESULT	0	m022[0]
OUTPUT	RESULT	0	m027[0]
OUTPUT	RESULT	1	m028[0]
OUTPUT	RESULT	0	m029[0]
OUTPUT	RESULT	1	m030[0]
OUTPUT	RESULT	1	m034[0]
END	0
START
OUTPUT	RESULT	0	m016[0]
OUTPUT	RESULT	1	m018[0]
OUTPUT	RESULT	0	m019[0]
OUTPUT	RESULT	1	m024[0]
OUTPUT	RESULT	1	m026[0]
OUTPUT	RESULT	0	m037[0]
OUTPUT	RESULT	1	m039[0]
OUTPUT	RESULT	0	m004[0]
OUTPUT	RESULT	0	m009[0]
OUTPUT	RESULT	1	m010[0]
OUTPUT	RESULT	0	m017[0]
OUTPUT	RESULT	1	m025[0]
OUTPUT	RESULT	1	m031[0]
OUTPUT	RESULT	0	m032[0]
OUTPUT	RESULT	0	m036[0]
OUTPUT	RESULT	1	m038[0]
OUTPUT	RESULT	0	m003[0]
OUTPUT	RESULT	1	m000[0]
OUTPUT	RESULT	0	m007[0]
OUTPUT	RESULT	0	m008[0]
OUTPUT	RESULT	0	m015[0]
OUTPUT	RESULT	0	m023[0]
OUTPUT	RESULT	1	m033[0]
OUTPUT	RESULT	1	m035[0]
OUTPUT	RESULT	1	m001[0]
OUTPUT	RESULT	1	m002[0]
OUTPUT	RESULT	0	m005[0]
OUTPUT	RESULT	1	m006[0]
OUTPUT	RESULT	0	m011[0]
OUTPUT	RESULT	0	m012[0]
OUTPUT	RESULT	0	m013[0]
OUTPUT	RESULT	0	m014[0]
OUTPUT	RESULT	1	m020[0]
OUTPUT	RESULT	1	m021[0]
OUTPUT	RESULT	1	m022[0]
OUTPUT	RESULT	1	m027[0]
OUTPUT	RESULT	1	m028[0]
OUTPUT	RESULT	1	m029[0]
OUTPUT	RESULT	1	m030[0]
OUTPUT	RESULT	0	m034[0]
END	0
