HEADER	schema_id	labeled
HEADER	schema_version	2.1
START
METADATA	entry_point
METADATA	qir_profiles	custom
METADATA	required_num_qubits	62
METADATA	required_num_results	62
OUTPUT	RESULT	0	m017[0]
OUTPUT	RESULT	1	m026[0]
OUTPUT	RESULT	1	m061[0]
OUTPUT	RESULT	1	m005[0]
OUTPUT	RESULT	1	m049[0]
OUTPUT	RESULT	0	m011[0]
OUTPUT	RESULT	0	m038[0]
OUTPUT	RESULT	0	m004[0]
OUTPUT	RESULT	0	m014[0]
OUTPUT	RESULT	1	m016[0]
OUTPUT	RESULT	1	m022[0]
OUTPUT	RESULT	1	m035[0]
OUTPUT	RESULT	0	m054[0]
OUTPUT	RESULT	1	m056[0]
OUTPUT	RESULT	0	m045[0]
OUTPUT	RESULT	1	m051[0]
OUTPUT	RESULT	0	m009[0]
OUTPUT	RESULT	1	m020[0]
OUTPUT	RESULT	0	m039[0]
OUTPUT	RESULT	1	m013[0]
OUTPUT	RESULT	1	m025[0]
OUTPUT	RESULT	0	m024[0]
OUTPUT	RESULT	0	m034[0]
OUTPUT	RESULT	1	m057[0]
OUTPUT	RESULT	0	m001[0]
OUTPUT	RESULT	0	m006[0]
OUTPUT	RESULT	1	m032[0]
OUTPUT	RESULT	0	m060[0]
OUTPUT	RESULT	1	m018[0]
OUTPUT	RESULT	0	m041[0]
OUTPUT	RESULT	1	m040[0]
OUTPUT	RESULT	1	m042[0]
OUTPUT	RESULT	1	m043[0]
OUTPUT	RESULT	1	m023[0]
OUTPUT	RESULT	1	m002[0]
OUTPUT	RESULT	1	m003[0]
OUTPUT	RESULT	0	m015[0]
OUTPUT	RESULT	0	m028[0]
OUTPUT	RESULT	0	m044[0]
OUTPUT	RESULT	0	m046[0]
OUTPUT	RESULT	0	m053[0]
OUTPUT	RESULT	1	m055[0]
OUTPUT	RESULT	1	m030[0]
OUTPUT	RESULT	0	m021[0]
OUTPUT	RESULT	1	m031[0]
OUTPUT	RESULT	0	m033[0]
OUTPUT	RESULT	1	m037[0]
OUTPUT	RESULT	1	m048[0]
OUTPUT	RESULT	0	m058[0]
OUTPUT	RESULT	0	m029[0]
OUTPUT	RESULT	0	m036[0]
OUTPUT	RESULT	0	m050[0]
OUTPUT	RESULT	0	m010[0]
OUTPUT	RESULT	0	m008[0]
OUTPUT	RESULT	0	m000[0]
OUTPUT	RESULT	1	m027[0]
OUTPUT	RESULT	0	m052[0]
OUTPUT	RESULT	1	m059[0]
OUTPUT	RESULT	1	m007[0]
OUTPUT	RESULT	1	m012[0]
OUTPUT	RESULT	0	m019[0]
OUTPUT	RESULT	0	m047[0]
END	0
