model,shots,error_rate,seed,method,unique_strings,exact_recovery,correct_bits,percentage_correct,hamming_distance,runtime_seconds,bootstrap_exact_stability,bootstrap_stable_bits
independent,50,0.01,12345,most_frequent,28,True,98,100.0,0,0.00020562500139931217,1.0,98
independent,50,0.01,12345,bitwise_majority,28,True,98,100.0,0,0.0003036249981960282,1.0,98
independent,50,0.01,12345,weighted_observed_medoid,28,True,98,100.0,0,0.0003846670006169006,1.0,98
independent,50,0.01,12345,cluster_consensus,28,True,98,100.0,0,0.0008196669987228233,1.0,98
independent,100,0.01,12346,most_frequent,56,True,98,100.0,0,0.000339541002176702,1.0,98
independent,100,0.01,12346,bitwise_majority,56,True,98,100.0,0,0.000395333998312708,1.0,98
independent,100,0.01,12346,weighted_observed_medoid,56,True,98,100.0,0,0.0007336659982684068,1.0,98
independent,100,0.01,12346,cluster_consensus,56,True,98,100.0,0,0.0006404580017260741,1.0,98
independent,250,0.01,12347,most_frequent,126,True,98,100.0,0,0.0007504169989260845,1.0,98
independent,250,0.01,12347,bitwise_majority,126,True,98,100.0,0,0.0007945420002215542,1.0,98
independent,250,0.01,12347,weighted_observed_medoid,126,True,98,100.0,0,0.001999416999751702,1.0,98
independent,250,0.01,12347,cluster_consensus,126,True,98,100.0,0,0.0013605829990410712,1.0,98
independent,500,0.01,12348,most_frequent,220,True,98,100.0,0,0.001324290999036748,1.0,98
independent,500,0.01,12348,bitwise_majority,220,True,98,100.0,0,0.0013257919999887235,1.0,98
independent,500,0.01,12348,weighted_observed_medoid,220,True,98,100.0,0,0.004334625002229586,1.0,98
independent,500,0.01,12348,cluster_consensus,220,True,98,100.0,0,0.0027771669992944226,1.0,98
independent,1000,0.01,12349,most_frequent,330,True,98,100.0,0,0.0019403750011406373,1.0,98
independent,1000,0.01,12349,bitwise_majority,330,True,98,100.0,0,0.0019487500030663796,1.0,98
independent,1000,0.01,12349,weighted_observed_medoid,330,True,98,100.0,0,0.004334291999839479,1.0,98
independent,1000,0.01,12349,cluster_consensus,330,True,98,100.0,0,0.004667375000281027,1.0,98
independent,2000,0.01,12350,most_frequent,608,True,98,100.0,0,0.0035892080013582017,1.0,98
independent,2000,0.01,12350,bitwise_majority,608,True,98,100.0,0,0.0035848330007866025,1.0,98
independent,2000,0.01,12350,weighted_observed_medoid,608,True,98,100.0,0,0.007413583000015933,1.0,98
independent,2000,0.01,12350,cluster_consensus,608,True,98,100.0,0,0.0061322500005189795,1.0,98
independent,50,0.03,12351,most_frequent,48,False,97,98.9795918367347,1,0.0002970000023196917,0.1,80
independent,50,0.03,12351,bitwise_majority,48,True,98,100.0,0,0.0003555839975888375,1.0,98
independent,50,0.03,12351,weighted_observed_medoid,48,True,98,100.0,0,0.0006159170006867498,1.0,98
independent,50,0.03,12351,cluster_consensus,48,True,98,100.0,0,0.0006346250011119992,1.0,98
independent,100,0.03,12352,most_frequent,95,True,98,100.0,0,0.0007030839988146909,0.4,76
independent,100,0.03,12352,bitwise_majority,95,True,98,100.0,0,0.0006176249989948701,1.0,98
independent,100,0.03,12352,weighted_observed_medoid,95,True,98,100.0,0,0.0013861250008631032,1.0,98
independent,100,0.03,12352,cluster_consensus,95,True,98,100.0,0,0.001017916998534929,1.0,98
independent,250,0.03,12353,most_frequent,233,True,98,100.0,0,0.0013582079991465434,0.9,97
independent,250,0.03,12353,bitwise_majority,233,True,98,100.0,0,0.0013964579993626103,1.0,98
independent,250,0.03,12353,weighted_observed_medoid,233,True,98,100.0,0,0.004676291999203386,1.0,98
independent,250,0.03,12353,cluster_consensus,233,True,98,100.0,0,0.002962540998851182,1.0,98
